"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002M","B19001I_002MA","B19001I_002EA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004M","B19001I_004MA","B19001I_004EA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007M","B19001I_007MA","B19001I_007EA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011EA","B19001I_011M","B19001I_011MA","B19001I_012E","B19001I_012M","B19001I_012MA","B19001I_012EA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014M","B19001I_014MA","B19001I_014EA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016EA","B19001I_016M","B19001I_016MA","B19001I_017E","B19001I_017M","B19001I_017MA","B19001I_017EA",
"1400000US04013109602","Census Tract 1096.02, Maricopa County, Arizona","1142","122","null","null","114","85","null","null","33","null","46","null","77","59","null","null","232","null","100","null","39","null","36","null","113","81","null","null","78","64","null","null","25","null","28","null","112","null","74","null","48","null","51","null","109","69","null","null","86","null","55","null","51","55","null","null","0","132","null","null","25","null","36","null","0","132","null","null",
"1400000US04013109603","Census Tract 1096.03, Maricopa County, Arizona","778","96","null","null","37","44","null","null","0","null","132","null","0","132","null","null","37","null","45","null","33","null","44","null","13","18","null","null","57","59","null","null","15","null","19","null","124","null","87","null","157","null","105","null","95","87","null","null","108","null","76","null","0","132","null","null","18","29","null","null","84","null","73","null","0","132","null","null",
"1400000US04013109604","Census Tract 1096.04, Maricopa County, Arizona","614","88","null","null","74","58","null","null","41","null","60","null","53","60","null","null","124","null","91","null","22","null","25","null","28","33","null","null","44","51","null","null","37","null","40","null","44","null","36","null","37","null","32","null","12","18","null","null","68","null","68","null","6","12","null","null","24","37","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109701","Census Tract 1097.01, Maricopa County, Arizona","1343","224","null","null","88","77","null","null","39","null","49","null","98","87","null","null","170","null","118","null","196","null","108","null","104","94","null","null","22","35","null","null","80","null","66","null","127","null","105","null","152","null","114","null","142","110","null","null","63","null","53","null","32","37","null","null","30","47","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109702","Census Tract 1097.02, Maricopa County, Arizona","725","117","null","null","64","58","null","null","88","null","76","null","72","74","null","null","31","null","28","null","93","null","62","null","95","76","null","null","58","49","null","null","0","null","132","null","12","null","22","null","59","null","59","null","32","34","null","null","57","null","54","null","49","51","null","null","15","24","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109703","Census Tract 1097.03, Maricopa County, Arizona","608","83","null","null","42","40","null","null","0","null","132","null","70","55","null","null","50","null","57","null","51","null","59","null","62","51","null","null","86","65","null","null","49","null","48","null","17","null","27","null","44","null","52","null","72","56","null","null","12","null","19","null","53","62","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109704","Census Tract 1097.04, Maricopa County, Arizona","456","59","null","null","14","23","null","null","0","null","132","null","31","35","null","null","102","null","85","null","27","null","36","null","35","39","null","null","59","62","null","null","24","null","30","null","0","null","132","null","40","null","38","null","62","47","null","null","21","null","25","null","18","23","null","null","18","29","null","null","5","null","10","null","0","132","null","null",
"1400000US04013109705","Census Tract 1097.05, Maricopa County, Arizona","348","43","null","null","0","132","null","null","16","null","30","null","34","40","null","null","0","null","132","null","0","null","132","null","33","41","null","null","6","10","null","null","40","null","39","null","122","null","80","null","8","null","15","null","6","11","null","null","39","null","48","null","31","47","null","null","13","24","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109801","Census Tract 1098.01, Maricopa County, Arizona","642","108","null","null","61","56","null","null","35","null","40","null","35","39","null","null","43","null","40","null","98","null","67","null","117","79","null","null","0","132","null","null","15","null","25","null","12","null","20","null","58","null","59","null","117","83","null","null","51","null","44","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013109802","Census Tract 1098.02, Maricopa County, Arizona","839","99","null","null","0","132","null","null","23","null","31","null","79","65","null","null","32","null","35","null","68","null","56","null","89","66","null","null","67","63","null","null","65","null","53","null","41","null","48","null","69","null","45","null","167","104","null","null","66","null","56","null","11","18","null","null","5","12","null","null","47","null","41","null","10","15","null","null",
"1400000US04013109900","Census Tract 1099, Maricopa County, Arizona","1245","125","null","null","81","60","null","null","94","null","64","null","73","51","null","null","88","null","72","null","207","null","92","null","125","73","null","null","58","52","null","null","51","null","43","null","133","null","80","null","82","null","63","null","149","74","null","null","12","null","16","null","66","44","null","null","26","36","null","null","0","null","132","null","0","132","null","null",
"1400000US04013110001","Census Tract 1100.01, Maricopa County, Arizona","681","98","null","null","18","27","null","null","83","null","66","null","0","132","null","null","46","null","60","null","0","null","132","null","78","56","null","null","80","71","null","null","9","null","16","null","73","null","56","null","117","null","87","null","68","58","null","null","95","null","62","null","14","22","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013110002","Census Tract 1100.02, Maricopa County, Arizona","946","91","null","null","88","60","null","null","21","null","27","null","94","66","null","null","117","null","72","null","94","null","66","null","55","37","null","null","162","94","null","null","0","null","132","null","72","null","63","null","59","null","48","null","45","46","null","null","58","null","40","null","32","38","null","null","20","23","null","null","29","null","38","null","0","132","null","null",
"1400000US04013110100","Census Tract 1101, Maricopa County, Arizona","1438","146","null","null","79","62","null","null","94","null","60","null","124","79","null","null","144","null","87","null","98","null","69","null","204","101","null","null","127","82","null","null","121","null","78","null","131","null","84","null","67","null","44","null","104","64","null","null","110","null","65","null","26","30","null","null","9","14","null","null","0","null","132","null","0","132","null","null",
"1400000US04013110400","Census Tract 1104, Maricopa County, Arizona","666","159","null","null","13","22","null","null","43","null","44","null","160","110","null","null","57","null","82","null","10","null","16","null","63","77","null","null","11","17","null","null","44","null","44","null","96","null","69","null","95","null","66","null","14","22","null","null","0","null","132","null","0","132","null","null","60","86","null","null","0","null","132","null","0","132","null","null",
