"GEO_ID","NAME","B19001I_001E","B19001I_001EA","B19001I_001M","B19001I_001MA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003M","B19001I_003MA","B19001I_003EA","B19001I_004E","B19001I_004M","B19001I_004MA","B19001I_004EA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009M","B19001I_009MA","B19001I_009EA","B19001I_010E","B19001I_010M","B19001I_010MA","B19001I_010EA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04013110100","Census Tract 1101, Maricopa County, Arizona","1420","null","141","null","87","null","61","null","77","55","null","null","193","93","null","null","153","95","null","null","53","null","32","null","171","null","87","null","135","72","null","null","111","80","null","null","78","67","null","null","96","61","null","null","155","null","76","null","46","null","39","null","41","null","41","null","24","null","26","null","0","101","null","null","0","null","101","null",
"1400000US04013110400","Census Tract 1104, Maricopa County, Arizona","710","null","177","null","13","null","21","null","67","64","null","null","181","167","null","null","44","68","null","null","0","null","101","null","72","null","74","null","0","101","null","null","39","43","null","null","51","64","null","null","144","103","null","null","13","null","23","null","0","null","101","null","0","null","101","null","86","null","110","null","0","101","null","null","0","null","101","null",
"1400000US04013110501","Census Tract 1105.01, Maricopa County, Arizona","172","null","93","null","76","null","68","null","10","18","null","null","0","101","null","null","0","101","null","null","25","null","39","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","31","52","null","null","0","null","101","null","14","null","25","null","16","null","26","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013110502","Census Tract 1105.02, Maricopa County, Arizona","129","null","82","null","15","null","24","null","11","17","null","null","0","101","null","null","0","101","null","null","0","null","101","null","48","null","65","null","16","25","null","null","0","101","null","null","27","39","null","null","0","101","null","null","0","null","101","null","12","null","20","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013110600","Census Tract 1106, Maricopa County, Arizona","538","null","196","null","55","null","73","null","88","73","null","null","13","21","null","null","0","101","null","null","150","null","128","null","0","null","101","null","44","59","null","null","12","22","null","null","0","101","null","null","61","54","null","null","115","null","124","null","0","null","101","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013110701","Census Tract 1107.01, Maricopa County, Arizona","453","null","117","null","77","null","67","null","20","32","null","null","0","101","null","null","88","61","null","null","11","null","16","null","59","null","62","null","33","31","null","null","21","33","null","null","9","16","null","null","72","60","null","null","41","null","40","null","13","null","20","null","0","null","101","null","0","null","101","null","0","101","null","null","9","null","15","null",
"1400000US04013110702","Census Tract 1107.02, Maricopa County, Arizona","510","null","115","null","0","null","101","null","46","58","null","null","72","62","null","null","58","60","null","null","82","null","72","null","21","null","27","null","51","59","null","null","47","49","null","null","0","101","null","null","14","16","null","null","41","null","40","null","49","null","39","null","0","null","101","null","29","null","43","null","0","101","null","null","0","null","101","null",
"1400000US04013110801","Census Tract 1108.01, Maricopa County, Arizona","411","null","171","null","80","null","77","null","77","85","null","null","23","38","null","null","66","85","null","null","0","null","101","null","35","null","57","null","59","69","null","null","15","26","null","null","22","34","null","null","19","27","null","null","0","null","101","null","0","null","101","null","0","null","101","null","0","null","101","null","15","24","null","null","0","null","101","null",
"1400000US04013110802","Census Tract 1108.02, Maricopa County, Arizona","140","null","95","null","0","null","101","null","0","101","null","null","0","101","null","null","27","42","null","null","7","null","14","null","19","null","31","null","25","40","null","null","0","101","null","null","0","101","null","null","0","101","null","null","9","null","18","null","40","null","50","null","0","null","101","null","13","null","22","null","0","101","null","null","0","null","101","null",
"1400000US04013110901","Census Tract 1109.01, Maricopa County, Arizona","367","null","118","null","90","null","53","null","23","27","null","null","34","54","null","null","34","42","null","null","26","null","42","null","52","null","68","null","26","44","null","null","26","42","null","null","0","101","null","null","0","101","null","null","0","null","101","null","14","null","20","null","42","null","46","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013110902","Census Tract 1109.02, Maricopa County, Arizona","753","null","216","null","93","null","94","null","15","27","null","null","100","88","null","null","108","123","null","null","114","null","92","null","60","null","53","null","0","101","null","null","58","77","null","null","29","42","null","null","61","77","null","null","73","null","84","null","0","null","101","null","42","null","70","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111000","Census Tract 1110, Maricopa County, Arizona","543","null","198","null","0","null","101","null","36","59","null","null","92","84","null","null","61","82","null","null","0","null","101","null","18","null","32","null","42","69","null","null","80","80","null","null","0","101","null","null","47","69","null","null","62","null","78","null","10","null","15","null","25","null","30","null","18","null","31","null","52","75","null","null","0","null","101","null",
"1400000US04013111100","Census Tract 1111, Maricopa County, Arizona","176","null","79","null","45","null","65","null","0","101","null","null","20","32","null","null","25","27","null","null","0","null","101","null","0","null","101","null","27","30","null","null","0","101","null","null","0","101","null","null","0","101","null","null","20","null","22","null","0","null","101","null","39","null","42","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111201","Census Tract 1112.01, Maricopa County, Arizona","593","null","159","null","42","null","62","null","53","59","null","null","82","70","null","null","32","36","null","null","71","null","62","null","65","null","67","null","13","20","null","null","47","60","null","null","49","57","null","null","75","72","null","null","14","null","22","null","0","null","101","null","29","null","32","null","0","null","101","null","0","101","null","null","21","null","35","null",
"1400000US04013111202","Census Tract 1112.02, Maricopa County, Arizona","361","null","86","null","22","null","24","null","49","43","null","null","28","31","null","null","81","52","null","null","47","null","42","null","29","null","27","null","12","19","null","null","0","101","null","null","0","101","null","null","21","23","null","null","72","null","50","null","0","null","101","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111203","Census Tract 1112.03, Maricopa County, Arizona","76","null","35","null","0","null","101","null","18","19","null","null","23","27","null","null","0","101","null","null","0","null","101","null","0","null","101","null","0","101","null","null","10","14","null","null","0","101","null","null","4","7","null","null","4","null","7","null","17","null","19","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111204","Census Tract 1112.04, Maricopa County, Arizona","196","null","81","null","36","null","30","null","0","101","null","null","12","21","null","null","8","12","null","null","37","null","37","null","9","null","15","null","35","41","null","null","9","14","null","null","20","32","null","null","0","101","null","null","30","null","35","null","0","null","101","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111300","Census Tract 1113, Maricopa County, Arizona","630","null","177","null","38","null","64","null","46","73","null","null","24","38","null","null","34","54","null","null","28","null","33","null","48","null","64","null","21","23","null","null","162","107","null","null","11","19","null","null","27","30","null","null","49","null","70","null","50","null","40","null","92","null","76","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111401","Census Tract 1114.01, Maricopa County, Arizona","833","null","128","null","115","null","79","null","43","64","null","null","20","23","null","null","92","76","null","null","73","null","49","null","62","null","51","null","69","68","null","null","66","58","null","null","17","20","null","null","65","53","null","null","18","null","22","null","154","null","123","null","39","null","44","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111402","Census Tract 1114.02, Maricopa County, Arizona","680","null","121","null","129","null","79","null","41","47","null","null","24","27","null","null","94","63","null","null","123","null","79","null","52","null","51","null","37","41","null","null","6","10","null","null","29","34","null","null","53","48","null","null","57","null","58","null","17","null","20","null","0","null","101","null","18","null","30","null","0","101","null","null","0","null","101","null",
"1400000US04013111501","Census Tract 1115.01, Maricopa County, Arizona","458","null","87","null","55","null","46","null","108","72","null","null","18","24","null","null","75","38","null","null","29","null","28","null","0","null","101","null","29","42","null","null","0","101","null","null","0","101","null","null","58","51","null","null","22","null","26","null","23","null","24","null","29","null","36","null","12","null","17","null","0","101","null","null","0","null","101","null",
"1400000US04013111502","Census Tract 1115.02, Maricopa County, Arizona","1293","null","146","null","126","null","110","null","143","89","null","null","109","89","null","null","215","115","null","null","221","null","142","null","130","null","107","null","78","80","null","null","38","50","null","null","24","38","null","null","54","63","null","null","95","null","72","null","18","null","32","null","42","null","52","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111601","Census Tract 1116.01, Maricopa County, Arizona","568","null","105","null","119","null","70","null","54","51","null","null","44","44","null","null","84","70","null","null","67","null","54","null","39","null","39","null","53","42","null","null","14","22","null","null","63","54","null","null","9","15","null","null","0","null","101","null","22","null","28","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111602","Census Tract 1116.02, Maricopa County, Arizona","1083","null","145","null","297","null","111","null","113","63","null","null","193","100","null","null","121","67","null","null","25","null","33","null","119","null","84","null","32","36","null","null","57","43","null","null","0","101","null","null","7","13","null","null","29","null","34","null","90","null","59","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013111700","Census Tract 1117, Maricopa County, Arizona","745","null","182","null","144","null","94","null","111","114","null","null","17","20","null","null","42","45","null","null","61","null","56","null","33","null","48","null","26","27","null","null","24","29","null","null","0","101","null","null","0","101","null","null","138","null","115","null","85","null","70","null","26","null","36","null","13","null","21","null","0","101","null","null","25","null","29","null",
"1400000US04013111800","Census Tract 1118, Maricopa County, Arizona","245","null","146","null","0","null","101","null","15","25","null","null","48","45","null","null","46","67","null","null","0","null","101","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","12","19","null","null","0","null","101","null","49","null","67","null","59","null","78","null","16","null","28","null","0","101","null","null","0","null","101","null",
"1400000US04013111900","Census Tract 1119, Maricopa County, Arizona","116","null","56","null","29","null","45","null","0","101","null","null","0","101","null","null","0","101","null","null","34","null","19","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","10","20","null","null","7","null","13","null","11","null","18","null","15","null","21","null","0","null","101","null","10","16","null","null","0","null","101","null",
"1400000US04013112100","Census Tract 1121, Maricopa County, Arizona","899","null","92","null","80","null","74","null","77","64","null","null","73","45","null","null","167","70","null","null","80","null","75","null","23","null","24","null","48","41","null","null","89","76","null","null","78","58","null","null","114","63","null","null","41","null","39","null","25","null","28","null","4","null","15","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112201","Census Tract 1122.01, Maricopa County, Arizona","872","null","98","null","109","null","67","null","53","48","null","null","22","21","null","null","98","77","null","null","38","null","34","null","32","null","41","null","30","29","null","null","114","84","null","null","65","60","null","null","81","58","null","null","139","null","95","null","26","null","25","null","26","null","39","null","20","null","32","null","19","32","null","null","0","null","101","null",
"1400000US04013112202","Census Tract 1122.02, Maricopa County, Arizona","1055","null","104","null","86","null","55","null","126","83","null","null","75","41","null","null","104","80","null","null","114","null","61","null","106","null","69","null","89","56","null","null","92","62","null","null","27","29","null","null","29","38","null","null","136","null","93","null","18","null","20","null","26","null","31","null","19","null","31","null","8","14","null","null","0","null","101","null",
"1400000US04013112301","Census Tract 1123.01, Maricopa County, Arizona","1430","null","115","null","260","null","112","null","10","16","null","null","151","83","null","null","174","90","null","null","108","null","58","null","101","null","67","null","162","90","null","null","67","51","null","null","63","55","null","null","45","47","null","null","85","null","55","null","149","null","75","null","55","null","39","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112302","Census Tract 1123.02, Maricopa County, Arizona","1389","null","181","null","300","null","135","null","4","11","null","null","129","89","null","null","112","76","null","null","48","null","53","null","155","null","102","null","69","59","null","null","151","82","null","null","67","64","null","null","71","67","null","null","167","null","99","null","73","null","66","null","22","null","35","null","21","null","33","null","0","101","null","null","0","null","101","null",
