"GEO_ID","NAME","B19001I_001E","B19001I_001EA","B19001I_001M","B19001I_001MA","B19001I_002E","B19001I_002M","B19001I_002MA","B19001I_002EA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008EA","B19001I_008M","B19001I_008MA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","22","null","18","null","14","16","null","null","4","null","6","null","1","null","2","null","0","null","13","null","3","null","5","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","17","null","21","null","0","13","null","null","7","null","11","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","10","null","18","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","18","null","23","null","16","23","null","null","0","null","13","null","0","null","13","null","0","null","13","null","2","null","3","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","8","null","10","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","9","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","3","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","112","null","93","null","0","13","null","null","11","null","19","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","41","null","61","null","0","null","13","null","15","20","null","null","0","null","13","null","0","null","13","null","0","null","13","null","45","null","64","null","0","13","null","null","0","null","13","null",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","34","null","39","null","0","13","null","null","0","null","13","null","5","null","9","null","0","null","13","null","16","null","25","null","0","null","13","null","13","null","25","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","272","null","118","null","26","41","null","null","0","null","13","null","26","null","39","null","35","null","63","null","17","null","22","null","18","null","30","null","16","null","21","null","0","null","13","null","9","null","13","null","38","60","null","null","0","null","13","null","44","null","48","null","25","null","33","null","0","null","13","null","18","34","null","null","0","null","13","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","263","null","99","null","27","31","null","null","11","null","19","null","9","null","16","null","11","null","15","null","55","null","66","null","0","null","13","null","36","null","40","null","14","null","22","null","0","null","13","null","0","13","null","null","17","null","14","null","44","null","33","null","14","null","21","null","25","null","35","null","0","13","null","null","0","null","13","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","164","null","69","null","7","13","null","null","0","null","13","null","0","null","13","null","4","null","7","null","27","null","26","null","14","null","15","null","4","null","6","null","0","null","13","null","2","null","4","null","0","13","null","null","33","null","30","null","29","null","28","null","2","null","4","null","15","null","19","null","18","30","null","null","9","null","14","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","196","null","62","null","20","21","null","null","0","null","13","null","27","null","20","null","12","null","11","null","7","null","8","null","20","null","15","null","6","null","5","null","36","null","36","null","26","null","23","null","14","12","null","null","3","null","4","null","9","null","9","null","0","null","13","null","14","null","17","null","0","13","null","null","2","null","3","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","38","null","39","null","0","13","null","null","0","null","13","null","0","null","13","null","1","null","5","null","23","null","35","null","0","null","13","null","0","null","13","null","8","null","13","null","0","null","13","null","2","3","null","null","0","null","13","null","0","null","13","null","4","null","6","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","354","null","89","null","0","13","null","null","0","null","13","null","0","null","13","null","9","null","15","null","0","null","13","null","36","null","52","null","0","null","13","null","38","null","39","null","32","null","50","null","22","26","null","null","44","null","47","null","68","null","50","null","19","null","24","null","8","null","15","null","48","63","null","null","30","null","46","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","599","null","156","null","124","66","null","null","65","null","51","null","27","null","28","null","15","null","22","null","92","null","101","null","60","null","72","null","53","null","47","null","0","null","13","null","8","null","16","null","29","35","null","null","0","null","13","null","97","null","77","null","9","null","19","null","20","null","24","null","0","13","null","null","0","null","13","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","192","null","106","null","2","3","null","null","0","null","13","null","15","null","16","null","14","null","22","null","20","null","19","null","15","null","22","null","0","null","13","null","10","null","12","null","9","null","12","null","0","13","null","null","46","null","61","null","8","null","15","null","43","null","68","null","0","null","13","null","0","13","null","null","10","null","14","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","460","null","142","null","80","74","null","null","46","null","53","null","0","null","13","null","28","null","36","null","22","null","35","null","12","null","19","null","0","null","13","null","52","null","55","null","0","null","13","null","36","46","null","null","38","null","43","null","64","null","45","null","82","null","71","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","156","null","89","null","0","13","null","null","0","null","13","null","39","null","41","null","0","null","13","null","0","null","13","null","0","null","13","null","24","null","30","null","0","null","13","null","7","null","14","null","46","72","null","null","6","null","9","null","23","null","35","null","0","null","13","null","11","null","17","null","0","13","null","null","0","null","13","null",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","33","null","40","null","14","22","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","19","null","31","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","47","null","41","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","47","41","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","80","null","36","null","0","13","null","null","9","null","12","null","5","null","9","null","0","null","13","null","11","null","13","null","7","null","11","null","0","null","13","null","0","null","13","null","8","null","12","null","0","13","null","null","14","null","15","null","12","null","14","null","11","null","14","null","3","null","4","null","0","13","null","null","0","null","13","null",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","130","null","70","null","11","15","null","null","0","null","13","null","0","null","13","null","14","null","11","null","0","null","13","null","0","null","13","null","0","null","13","null","28","null","27","null","3","null","4","null","27","23","null","null","38","null","46","null","2","null","3","null","3","null","7","null","4","null","5","null","0","13","null","null","0","null","13","null",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","54","null","40","null","0","13","null","null","18","null","17","null","23","null","36","null","7","null","11","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","6","null","0","13","null","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","3","null","4","null","0","13","null","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","672","null","126","null","56","61","null","null","72","null","71","null","20","null","33","null","0","null","13","null","55","null","62","null","21","null","32","null","31","null","29","null","47","null","51","null","0","null","13","null","67","57","null","null","104","null","74","null","93","null","68","null","55","null","63","null","18","null","20","null","0","13","null","null","33","null","40","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","1364","null","186","null","74","50","null","null","95","null","63","null","93","null","48","null","177","null","128","null","32","null","26","null","108","null","78","null","33","null","30","null","58","null","53","null","72","null","78","null","139","64","null","null","72","null","52","null","267","null","114","null","56","null","46","null","39","null","30","null","49","37","null","null","0","null","13","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1341","null","197","null","126","84","null","null","79","null","55","null","23","null","30","null","25","null","27","null","177","null","90","null","90","null","58","null","55","null","51","null","59","null","43","null","87","null","71","null","166","99","null","null","176","null","96","null","147","null","86","null","37","null","35","null","0","null","13","null","71","59","null","null","23","null","25","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","922","null","126","null","136","74","null","null","92","null","56","null","83","null","63","null","65","null","51","null","58","null","44","null","76","null","62","null","45","null","42","null","54","null","39","null","17","null","26","null","59","45","null","null","70","null","53","null","64","null","53","null","60","null","57","null","0","null","13","null","43","61","null","null","0","null","13","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","759","null","142","null","21","21","null","null","149","null","85","null","87","null","51","null","68","null","45","null","68","null","55","null","74","null","42","null","46","null","41","null","5","null","8","null","25","null","28","null","86","57","null","null","59","null","75","null","39","null","33","null","23","null","24","null","9","null","11","null","0","13","null","null","0","null","13","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","77","null","54","null","16","25","null","null","0","null","13","null","0","null","13","null","14","null","21","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","21","null","17","29","null","null","17","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","591","null","177","null","35","29","null","null","72","null","94","null","2","null","5","null","25","null","27","null","87","null","63","null","34","null","34","null","55","null","42","null","50","null","46","null","6","null","12","null","130","121","null","null","20","null","19","null","47","null","29","null","14","null","17","null","14","null","22","null","0","13","null","null","0","null","13","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","408","null","152","null","112","82","null","null","59","null","47","null","12","null","18","null","10","null","12","null","38","null","35","null","5","null","8","null","23","null","29","null","16","null","23","null","0","null","13","null","0","13","null","null","3","null","6","null","42","null","33","null","78","null","77","null","10","null","17","null","0","13","null","null","0","null","13","null",
"1400000US04003001301","Census Tract 13.01, Cochise County, Arizona","158","null","180","null","4","8","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","14","null","22","null","0","null","13","null","0","13","null","null","0","null","13","null","140","null","180","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001302","Census Tract 13.02, Cochise County, Arizona","116","null","52","null","15","19","null","null","4","null","8","null","4","null","6","null","26","null","20","null","11","null","19","null","9","null","13","null","8","null","13","null","13","null","20","null","0","null","13","null","10","15","null","null","0","null","13","null","5","null","9","null","4","null","6","null","0","null","13","null","7","8","null","null","0","null","13","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","98","null","49","null","0","13","null","null","0","null","13","null","6","null","10","null","9","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","20","null","23","null","0","null","13","null","6","10","null","null","23","null","27","null","8","null","10","null","13","null","19","null","13","null","20","null","0","13","null","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","54","null","50","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","27","null","44","null","0","null","13","null","0","null","13","null","20","28","null","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","587","null","208","null","107","69","null","null","101","null","105","null","0","null","13","null","32","null","53","null","0","null","13","null","167","null","142","null","58","null","71","null","17","null","30","null","16","null","29","null","0","13","null","null","0","null","13","null","75","null","63","null","12","null","18","null","0","null","13","null","0","13","null","null","2","null","10","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","460","null","142","null","11","17","null","null","0","null","13","null","7","null","11","null","114","null","92","null","0","null","13","null","20","null","22","null","8","null","14","null","14","null","16","null","58","null","71","null","103","66","null","null","25","null","26","null","24","null","38","null","61","null","78","null","0","null","13","null","15","24","null","null","0","null","13","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","726","null","310","null","0","13","null","null","66","null","102","null","0","null","13","null","0","null","13","null","0","null","13","null","24","null","39","null","45","null","51","null","28","null","43","null","11","null","17","null","109","90","null","null","0","null","13","null","55","null","66","null","33","null","48","null","50","null","60","null","305","281","null","null","0","null","13","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","258","null","102","null","22","25","null","null","18","null","21","null","47","null","52","null","0","null","13","null","22","null","23","null","10","null","15","null","0","null","13","null","12","null","18","null","0","null","13","null","56","55","null","null","0","null","13","null","19","null","24","null","0","null","13","null","52","null","60","null","0","13","null","null","0","null","13","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","430","null","168","null","0","13","null","null","21","null","33","null","0","null","13","null","18","null","32","null","41","null","45","null","77","null","89","null","0","null","13","null","0","null","13","null","31","null","57","null","0","13","null","null","50","null","44","null","28","null","42","null","126","null","124","null","0","null","13","null","38","46","null","null","0","null","13","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","221","null","97","null","12","21","null","null","9","null","16","null","0","null","13","null","14","null","22","null","0","null","13","null","16","null","26","null","6","null","12","null","22","null","24","null","14","null","22","null","35","36","null","null","37","null","56","null","11","null","19","null","42","null","49","null","3","null","8","null","0","13","null","null","0","null","13","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","344","null","152","null","10","18","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","34","null","55","null","17","null","33","null","0","null","13","null","0","null","13","null","12","22","null","null","44","null","55","null","145","null","102","null","39","null","50","null","43","null","69","null","0","13","null","null","0","null","13","null",
"1400000US04003001801","Census Tract 18.01, Cochise County, Arizona","311","null","128","null","0","13","null","null","0","null","13","null","26","null","41","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","21","null","34","null","0","13","null","null","12","null","21","null","19","null","31","null","45","null","59","null","27","null","42","null","105","88","null","null","56","null","60","null",
"1400000US04003001802","Census Tract 18.02, Cochise County, Arizona","183","null","111","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","30","null","33","null","0","null","13","null","0","null","13","null","15","23","null","null","20","null","32","null","42","null","66","null","15","null","24","null","0","null","13","null","61","76","null","null","0","null","13","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","227","null","123","null","11","18","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","13","null","21","null","83","89","null","null","0","null","19","null","66","null","77","null","0","null","19","null","22","null","37","null","21","38","null","null","11","null","20","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","540","null","184","null","0","19","null","null","0","null","19","null","115","null","172","null","36","null","46","null","0","null","19","null","0","null","19","null","0","null","19","null","158","null","47","null","0","null","19","null","101","111","null","null","24","null","41","null","106","null","148","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","459","null","210","null","0","13","null","null","9","null","14","null","22","null","31","null","0","null","13","null","0","null","13","null","7","null","14","null","189","null","199","null","0","null","13","null","37","null","38","null","51","55","null","null","9","null","14","null","70","null","59","null","14","null","27","null","0","null","13","null","51","37","null","null","0","null","13","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","149","null","112","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","20","null","33","null","0","null","13","null","0","13","null","null","0","null","13","null","13","null","23","null","0","null","13","null","63","null","87","null","53","60","null","null","0","null","13","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","112","null","57","null","17","26","null","null","23","null","25","null","0","null","13","null","13","null","23","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","55","null","40","null","0","null","13","null","0","null","13","null","0","13","null","null","4","null","14","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","137","null","75","null","0","13","null","null","9","null","15","null","0","null","13","null","7","null","13","null","34","null","47","null","0","null","13","null","0","null","13","null","0","null","13","null","9","null","14","null","3","5","null","null","19","null","31","null","17","null","30","null","0","null","13","null","39","null","34","null","0","13","null","null","0","null","13","null",
"1400000US04005000301","Census Tract 3.01, Coconino County, Arizona","270","null","98","null","0","13","null","null","26","null","36","null","31","null","48","null","0","null","13","null","0","null","13","null","0","null","13","null","28","null","52","null","0","null","13","null","0","null","13","null","33","38","null","null","20","null","32","null","11","null","31","null","72","null","86","null","17","null","30","null","0","13","null","null","32","null","52","null",
"1400000US04005000302","Census Tract 3.02, Coconino County, Arizona","656","null","245","null","110","113","null","null","0","null","13","null","13","null","25","null","104","null","103","null","0","null","13","null","12","null","46","null","23","null","30","null","0","null","13","null","0","null","13","null","192","203","null","null","113","null","100","null","0","null","13","null","24","null","33","null","0","null","13","null","0","13","null","null","65","null","61","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","176","null","126","null","0","19","null","null","3","null","7","null","0","null","19","null","46","null","60","null","0","null","19","null","0","null","19","null","0","null","19","null","26","null","38","null","14","null","21","null","0","19","null","null","0","null","19","null","7","null","11","null","68","null","97","null","12","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","374","null","154","null","0","13","null","null","29","null","33","null","0","null","13","null","13","null","22","null","32","null","41","null","45","null","54","null","0","null","13","null","0","null","13","null","20","null","25","null","27","55","null","null","25","null","27","null","92","null","70","null","0","null","13","null","38","null","44","null","53","70","null","null","0","null","13","null",
"1400000US04005000601","Census Tract 6.01, Coconino County, Arizona","16","null","25","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","16","null","25","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000602","Census Tract 6.02, Coconino County, Arizona","81","null","70","null","0","13","null","null","0","null","13","null","0","null","13","null","7","null","14","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","22","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","16","null","27","null","0","13","null","null","45","null","60","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","249","null","169","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","19","null","30","null","12","null","24","null","0","null","13","null","0","null","13","null","1","null","4","null","0","13","null","null","118","null","143","null","83","null","87","null","11","null","17","null","0","null","13","null","0","13","null","null","5","null","8","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","308","null","137","null","49","70","null","null","21","null","23","null","10","null","18","null","0","null","19","null","0","null","19","null","42","null","45","null","37","null","40","null","0","null","19","null","0","null","19","null","17","19","null","null","26","null","32","null","76","null","67","null","0","null","19","null","17","null","27","null","13","22","null","null","0","null","19","null",
