"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003M","B19001I_003MA","B19001I_003EA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010M","B19001I_010MA","B19001I_010EA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013M","B19001I_013MA","B19001I_013EA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","253","144","null","null","58","null","73","null","16","25","null","null","0","null","19","null","0","null","19","null","0","null","19","null","16","null","24","null","28","45","null","null","17","null","28","null","15","23","null","null","0","19","null","null","48","null","76","null","55","50","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","79","57","null","null","0","null","13","null","31","35","null","null","0","null","13","null","0","null","13","null","17","null","27","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","31","33","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","87","61","null","null","0","null","13","null","0","13","null","null","10","null","16","null","0","null","13","null","0","null","13","null","19","null","31","null","0","13","null","null","18","null","30","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","40","46","null","null","0","null","13","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","121","43","null","null","6","null","12","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","8","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","36","29","null","null","0","null","13","null","25","33","null","null","10","18","null","null","36","null","43","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","188","85","null","null","0","null","13","null","0","13","null","null","0","null","13","null","38","null","56","null","3","null","10","null","0","null","13","null","0","13","null","null","0","null","13","null","7","12","null","null","21","33","null","null","20","null","26","null","43","51","null","null","35","null","43","null","6","12","null","null","15","23","null","null","0","null","13","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","272","98","null","null","13","null","21","null","0","19","null","null","0","null","19","null","15","null","28","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","47","null","57","null","90","73","null","null","0","null","19","null","81","53","null","null","0","19","null","null","26","null","41","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","69","45","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","14","19","null","null","13","null","13","null","0","13","null","null","23","null","28","null","0","13","null","null","4","8","null","null","15","null","21","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","104","44","null","null","6","null","11","null","0","13","null","null","0","null","13","null","9","null","15","null","0","null","13","null","0","null","13","null","10","16","null","null","0","null","13","null","0","13","null","null","0","13","null","null","32","null","26","null","29","28","null","null","0","null","13","null","8","12","null","null","10","17","null","null","0","null","13","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","115","60","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","14","21","null","null","0","13","null","null","27","null","32","null","13","16","null","null","15","null","23","null","46","42","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","319","190","null","null","39","null","52","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","14","null","27","null","26","31","null","null","0","null","13","null","0","13","null","null","35","44","null","null","71","null","82","null","120","156","null","null","14","null","23","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","179","73","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","33","null","48","null","0","13","null","null","40","37","null","null","7","null","12","null","53","46","null","null","16","null","26","null","0","13","null","null","7","11","null","null","23","null","27","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","531","155","null","null","57","null","41","null","29","29","null","null","26","null","35","null","27","null","30","null","22","null","26","null","44","null","39","null","28","32","null","null","24","null","32","null","11","19","null","null","61","47","null","null","71","null","69","null","131","107","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
