"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006M","B19001I_006MA","B19001I_006EA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008EA","B19001I_008M","B19001I_008MA","B19001I_009E","B19001I_009M","B19001I_009MA","B19001I_009EA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017M","B19001I_017MA","B19001I_017EA",
"1400000US04013112508","Census Tract 1125.08, Maricopa County, Arizona","371","61","null","null","4","null","6","null","16","null","15","null","22","null","22","null","46","29","null","null","67","42","null","null","31","null","32","null","28","null","23","null","28","27","null","null","28","null","25","null","25","23","null","null","42","null","28","null","30","null","27","null","4","null","6","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013112509","Census Tract 1125.09, Maricopa County, Arizona","1967","281","null","null","437","null","234","null","124","null","105","null","141","null","116","null","138","97","null","null","184","127","null","null","123","null","89","null","145","null","156","null","121","85","null","null","79","null","86","null","168","164","null","null","32","null","56","null","259","null","171","null","16","null","30","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013112510","Census Tract 1125.10, Maricopa County, Arizona","846","81","null","null","32","null","41","null","24","null","37","null","10","null","17","null","20","25","null","null","106","92","null","null","8","null","14","null","41","null","35","null","42","34","null","null","65","null","47","null","173","85","null","null","79","null","56","null","185","null","102","null","24","null","32","null","37","null","46","null","0","12","null","null","0","12","null","null",
"1400000US04013112511","Census Tract 1125.11, Maricopa County, Arizona","1414","153","null","null","80","null","68","null","8","null","14","null","109","null","82","null","12","17","null","null","27","34","null","null","98","null","96","null","57","null","48","null","17","19","null","null","80","null","79","null","242","125","null","null","312","null","141","null","204","null","115","null","138","null","96","null","15","null","24","null","15","26","null","null","0","17","null","null",
"1400000US04013112512","Census Tract 1125.12, Maricopa County, Arizona","514","94","null","null","72","null","58","null","0","null","12","null","54","null","61","null","47","37","null","null","156","128","null","null","14","null","19","null","30","null","36","null","36","37","null","null","29","null","28","null","39","29","null","null","23","null","36","null","14","null","23","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013112513","Census Tract 1125.13, Maricopa County, Arizona","1441","212","null","null","45","null","56","null","69","null","77","null","0","null","17","null","38","45","null","null","132","120","null","null","286","null","166","null","67","null","72","null","120","108","null","null","104","null","96","null","116","102","null","null","80","null","72","null","264","null","181","null","25","null","46","null","80","null","77","null","15","29","null","null","0","17","null","null",
"1400000US04013112514","Census Tract 1125.14, Maricopa County, Arizona","399","148","null","null","20","null","34","null","29","null","36","null","0","null","12","null","19","30","null","null","0","12","null","null","25","null","30","null","0","null","12","null","28","35","null","null","18","null","29","null","103","77","null","null","72","null","53","null","51","null","44","null","34","null","34","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013112601","Census Tract 1126.01, Maricopa County, Arizona","581","73","null","null","133","null","53","null","71","null","48","null","20","null","21","null","134","56","null","null","0","12","null","null","42","null","32","null","12","null","16","null","31","26","null","null","19","null","21","null","31","29","null","null","34","null","29","null","33","null","30","null","21","null","19","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013112602","Census Tract 1126.02, Maricopa County, Arizona","1642","151","null","null","423","null","116","null","233","null","98","null","115","null","73","null","305","97","null","null","182","88","null","null","88","null","58","null","59","null","38","null","19","21","null","null","52","null","52","null","42","45","null","null","14","null","26","null","43","null","40","null","67","null","52","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013112700","Census Tract 1127, Maricopa County, Arizona","1385","128","null","null","476","null","122","null","119","null","63","null","102","null","61","null","114","56","null","null","77","58","null","null","50","null","38","null","108","null","69","null","42","36","null","null","29","null","27","null","67","50","null","null","113","null","61","null","41","null","37","null","13","null","15","null","6","null","11","null","28","32","null","null","0","17","null","null",
"1400000US04013112900","Census Tract 1129, Maricopa County, Arizona","867","162","null","null","208","null","110","null","129","null","67","null","69","null","56","null","19","30","null","null","67","59","null","null","78","null","68","null","45","null","36","null","72","63","null","null","24","null","26","null","51","47","null","null","46","null","40","null","50","null","58","null","9","null","15","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013113000","Census Tract 1130, Maricopa County, Arizona","197","71","null","null","0","null","12","null","0","null","12","null","11","null","17","null","30","37","null","null","32","38","null","null","23","null","25","null","31","null","24","null","0","12","null","null","21","null","34","null","8","12","null","null","0","null","12","null","0","null","12","null","12","null","15","null","0","null","12","null","20","22","null","null","9","15","null","null",
"1400000US04013113100","Census Tract 1131, Maricopa County, Arizona","336","109","null","null","78","null","68","null","77","null","55","null","40","null","47","null","0","12","null","null","31","27","null","null","9","null","14","null","11","null","17","null","0","12","null","null","7","null","12","null","54","57","null","null","11","null","16","null","9","null","14","null","9","null","14","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113201","Census Tract 1132.01, Maricopa County, Arizona","505","81","null","null","108","null","55","null","79","null","51","null","42","null","33","null","57","42","null","null","54","40","null","null","30","null","26","null","34","null","26","null","8","10","null","null","16","null","18","null","12","13","null","null","19","null","22","null","0","null","12","null","13","null","21","null","21","null","27","null","5","7","null","null","7","10","null","null",
"1400000US04013113202","Census Tract 1132.02, Maricopa County, Arizona","453","66","null","null","92","null","56","null","99","null","46","null","29","null","28","null","45","30","null","null","43","28","null","null","22","null","20","null","39","null","28","null","11","16","null","null","12","null","17","null","22","23","null","null","26","null","24","null","6","null","12","null","7","null","10","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113203","Census Tract 1132.03, Maricopa County, Arizona","496","71","null","null","109","null","50","null","82","null","52","null","34","null","34","null","42","26","null","null","63","39","null","null","41","null","33","null","24","null","23","null","17","16","null","null","17","null","16","null","20","18","null","null","3","null","6","null","30","null","26","null","8","null","13","null","0","null","12","null","0","12","null","null","6","8","null","null",
"1400000US04013113300","Census Tract 1133, Maricopa County, Arizona","1029","132","null","null","428","null","127","null","82","null","55","null","96","null","54","null","160","75","null","null","112","74","null","null","0","null","17","null","18","null","28","null","19","30","null","null","9","null","14","null","26","21","null","null","48","null","46","null","12","null","14","null","0","null","17","null","14","null","22","null","0","17","null","null","5","8","null","null",
"1400000US04013113400","Census Tract 1134, Maricopa County, Arizona","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113501","Census Tract 1135.01, Maricopa County, Arizona","948","96","null","null","92","null","68","null","101","null","74","null","107","null","74","null","93","73","null","null","167","89","null","null","22","null","25","null","117","null","71","null","34","35","null","null","52","null","47","null","88","55","null","null","31","null","26","null","35","null","33","null","9","null","16","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113502","Census Tract 1135.02, Maricopa County, Arizona","595","50","null","null","83","null","40","null","66","null","42","null","107","null","54","null","65","38","null","null","31","30","null","null","26","null","25","null","4","null","8","null","51","36","null","null","47","null","31","null","10","15","null","null","42","null","38","null","56","null","26","null","5","null","8","null","2","null","6","null","0","12","null","null","0","12","null","null",
"1400000US04013113601","Census Tract 1136.01, Maricopa County, Arizona","860","111","null","null","114","null","66","null","65","null","54","null","49","null","47","null","20","20","null","null","69","58","null","null","64","null","52","null","78","null","52","null","84","53","null","null","70","null","57","null","87","66","null","null","62","null","43","null","75","null","57","null","17","null","27","null","0","null","12","null","6","11","null","null","0","12","null","null",
"1400000US04013113602","Census Tract 1136.02, Maricopa County, Arizona","634","111","null","null","67","null","43","null","78","null","53","null","94","null","66","null","119","77","null","null","67","55","null","null","54","null","42","null","22","null","25","null","58","40","null","null","14","null","18","null","15","19","null","null","37","null","29","null","9","null","15","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113700","Census Tract 1137, Maricopa County, Arizona","1197","277","null","null","184","null","107","null","38","null","62","null","208","null","128","null","30","34","null","null","40","64","null","null","163","null","140","null","121","null","93","null","84","83","null","null","81","null","81","null","44","53","null","null","142","null","102","null","62","null","82","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013113801","Census Tract 1138.01, Maricopa County, Arizona","257","62","null","null","42","null","30","null","9","null","9","null","31","null","26","null","29","30","null","null","12","13","null","null","21","null","17","null","30","null","32","null","3","4","null","null","4","null","7","null","36","31","null","null","13","null","14","null","0","null","12","null","18","null","22","null","9","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113802","Census Tract 1138.02, Maricopa County, Arizona","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013113900","Census Tract 1139, Maricopa County, Arizona","173","44","null","null","92","null","37","null","18","null","20","null","24","null","21","null","10","15","null","null","6","9","null","null","10","null","16","null","0","null","12","null","0","12","null","null","9","null","13","null","0","12","null","null","4","null","7","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013114000","Census Tract 1140, Maricopa County, Arizona","286","81","null","null","65","null","49","null","59","null","45","null","13","null","21","null","70","44","null","null","10","14","null","null","0","null","12","null","24","null","38","null","19","22","null","null","0","null","12","null","0","12","null","null","26","null","31","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013114100","Census Tract 1141, Maricopa County, Arizona","42","27","null","null","9","null","13","null","6","null","9","null","0","null","12","null","0","12","null","null","10","15","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","8","null","13","null","0","null","12","null","0","null","12","null","0","null","12","null","5","8","null","null","4","7","null","null",
"1400000US04013114200","Census Tract 1142, Maricopa County, Arizona","290","51","null","null","85","null","42","null","23","null","27","null","59","null","45","null","21","16","null","null","11","12","null","null","51","null","42","null","17","null","27","null","5","9","null","null","5","null","7","null","0","12","null","null","0","null","12","null","8","null","10","null","5","null","8","null","0","null","12","null","0","12","null","null","0","12","null","null",
