SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,2,2119,2,0,0,0,982,0,0,0,0,1,0,13727,153,0,0,0,3,0,0,0,0,0,0,0,0,2896,0,0,0,0,0,0,0,136,3160,1198,84,5,3,0,0,0,638051,5751,2672,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIPPING SPRINGS WASH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,129,3122,2487,250,24,1029,0,43048,0,1036693,7,3240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,18757,18469,1448,0,0,0,27793,4489,0,1454,91,543,0,113703,2048,0,0,29,419,0,3,0,0,0,0,0,0,116932,0,0,0,0,0,0,0,286,44077,16425,1471,499,287,4,0,0,3236897,44327,33250,2867,0,0,3,0,0,27,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,5,0,0,0,0,0,0
GILA VALLEY,30,88562,206,0,0,0,5437,2188,0,3396,0,1634,0,15442,1076,0,30,0,72,0,0,0,0,0,0,0,0,59277,0,226,0,0,0,447,0,267,30147,26279,2814,760,253,192,360099,14,4096193,3664,28625,73,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,2407,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,74,5111,817,4,0,117,0,22,0,832396,5,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,26032,262843,3432,0,0,0,88474,17633,0,5555,227,3138,0,159075,885,0,2,0,6684,0,167,0,0,0,0,0,2716,336409,0,0,0,0,6,4970,0,758,159710,44914,10096,2918,3552,0,0,0,2455023,2680,26322,305,25,0,5,0,0,30,51,361,0,0,0,0,186,158,0,0,0,0,0,0,0,0,4,0,0,0,0,0,81
DUNCAN VALLEY,1735,1544,34,0,0,0,61,30,0,78,0,977,0,5156,2422,0,15,0,13,0,0,0,0,0,0,0,0,13446,0,1,0,0,0,308,0,0,6997,13084,760,0,48,0,37684,4,1496894,148,1487,3,5,297,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAVAIPA CANYON,27,30,0,0,0,0,0,0,0,0,0,18,0,138,36,0,0,0,0,0,0,0,0,0,0,0,0,2239,0,8,0,0,0,12,0,28,2010,654,49,2,45,0,217308,0,1251909,11464,3307,120,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,7303,2607,128,0,19,0,0,0,860202,70,455,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,1053,8312,0,0,0,0,1175,42119,1720,157,59,12,0,101956,8088,642,1174,0,0,45807,3544,2549,0,467,0,2897,1904,44127,0,0,0,452,51859,139,0,4708,59960,62275,35984,4236,478747,531,16,0,1095853,11526,16905,2352,0,0,93,0,0,3443,133,0,286,2810,0,1,3435,0,0,63365,0,0,692,12921,918,0,0,0,0,1984,395,0,0
AVRA VALLEY,1914,55714,719,0,0,0,16040,12468,0,1,0,76,0,13784,577,0,0,0,145,0,4,0,0,0,0,0,16,29943,0,0,0,0,0,2329,0,1059,136431,30664,3841,701,8395,0,55992,0,5722693,65497,11558,135,0,0,0,0,0,1,99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,1053,0,0,0,0,0,0
TIGER WASH,0,1,0,0,0,0,45,0,0,0,0,0,0,2,0,0,8,0,0,1,1,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,879,87,0,0,6,0,3,0,193845,18151,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2598,249,16,1,1,0,2035,0,354274,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,7665,700,433,0,0,0,1304,1,0,1,0,188,0,17398,350,0,40,0,19,0,0,0,0,0,0,0,0,183225,0,2,0,0,0,31338,0,19,27018,4479,266,46,390,3,480456,40876,4032771,60937,4628,176,3383,51,0,0,0,0,0,0,0,0,0,798,0,0,78,0,0,0,0,0,0,0,0,8,0,0,0,0,0
SANTA ROSA VALLEY,1,8820,91,0,0,0,1005,0,0,17,0,1,0,335,0,0,0,0,84,0,0,0,0,0,0,0,0,3230,0,0,0,0,0,103,0,139,13948,1882,115,30,2404,0,73,0,2900556,57,11940,2,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,2,601,3,0,0,0,752,209,0,0,0,3,0,4433,76,0,0,0,1,0,0,0,0,0,0,0,93,941,0,4,0,0,0,373,0,1522,242000,377635,148370,21681,109490,0,363663,13,3665986,9242,18407,150,152,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLCOX,69541,6688,6332,0,0,0,11867,3897,0,6,0,3424,0,48148,1931,0,797,0,1,0,0,0,0,0,0,0,0,483456,0,2198,1,0,0,9262,0,428,59025,6078,537,257,143859,83,752682,6594,3498887,336013,5,60,2830,1311,0,0,0,0,0,0,0,0,0,2023,0,0,41830,0,0,0,0,0,0,0,2704,28,0,0,0,0,0
AGUIRRE VALLEY,0,4016,5,0,0,0,3748,75,0,43,0,5,0,127,1,0,0,0,71,0,1,0,0,0,0,0,10,2706,0,0,0,0,0,31,0,38,7553,860,11,0,6139,0,12726,0,2199938,32478,16469,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHILDS VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,5790,10709,1015,173,8949,0,126,0,2515757,15,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,0,71,19,0,0,0,0,1,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,7,9406,0,0,0,0,0,7,0,142,7032,2048,107,38,7499,0,33626,0,6306781,107378,98635,0,0,0,0,0,0,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEN FLAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,4,0,0,0,11,0,1,435,7,0,0,2,0,30949,0,466124,6159,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,1,0,0,0,0,0,1,0,1,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,1,0,0,13,1811,2931,67,8,187552,8,138,0,1561614,58,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,562,1216,4,0,0,0,36,0,0,11,0,122,0,1849,240,0,8,0,2,0,2,0,0,0,0,0,0,11651,0,428,0,0,0,551,0,31,103105,31340,4953,1100,625,0,320395,487,4221845,12637,11232,280,504,308,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0
CIENEGA CREEK,2,12,0,0,0,0,0,0,0,0,0,3,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,33,0,0,0,5,0,0,10720,1060,57,7,27,0,218396,232,1531999,6472,910,146,5,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,8,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064,0,0,0,0,0,2,0,0,9407,1122,155,31,96,0,55340,14,1062989,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CRUZ AMA,3,466,4,0,0,0,1,0,0,0,0,0,0,3736,152,0,0,0,0,0,0,0,0,0,0,0,40,1371,0,2,0,0,0,500,0,832,59925,11043,3209,816,383,0,123519,33,1847537,3017,4417,214,4,0,0,0,0,0,248,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN BERNARDINO VALLEY,175,175,175,175,175,175,175,175,175,175,175,176,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,587,175,175,175,175,175,183,175,176,3702,825,176,175,179,175,25023,186,1080563,3312,1138,695,180,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,261,2846,15,0,0,0,0,159981,239,485199,10465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,6,0,0,0,0,52,0,0,0,0,0,0,159,22,0,0,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,6254,3094,80,1,1683,4,197654,3,1027129,906,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
