SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,12,13,14,0,0,0,3987,26,0,361,0,1,0,11992,279,0,0,0,0,0,1,0,0,0,0,0,5,3506,0,0,0,1,0,0,0,51,1405,467,23,0,58495,0,0,0,570787,15371,2571,263,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1008,0,405,0,0,0,0,0
DRIPPING SPRINGS WASH,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,149,0,80,1414,794,108,19,1442,0,41103,1,1039771,424,4694,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,13796,709,413,0,0,0,6771,5763,0,9289,2192,731,0,183820,9101,14,0,1,289,0,51,4,0,13,0,5,26,84055,0,0,0,5,10,7,0,647,19702,15296,3478,2007,56061,0,0,0,2747928,477705,24269,16404,0,8467,86,0,0,0,0,0,0,26,0,0,7,2864,0,19,15,0,0,0,0,2037,0,1903,15,0,0,0,0
GILA VALLEY,51,92076,3635,0,0,0,161,33,0,5279,32,4480,0,17738,3001,0,13,12,551,0,0,0,0,0,0,0,1,30236,0,36,6,0,0,1806,26,214,35280,21734,5373,1187,30593,343,321976,109,4031485,88120,32331,503,58,19,0,0,0,0,0,0,0,0,0,0,0,72,19,0,11,0,0,0,0,40,11,1550,0,0,0,0,0
DONNELLY WASH,0,3,0,0,0,0,0,0,0,1,0,4,0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,88,0,8,3324,280,11,0,395,0,10,0,831862,2224,5988,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,23250,256041,2228,36,6,0,7728,24419,0,8909,10,2976,1,170961,14583,0,0,2838,1663,0,924,0,2673,0,0,1,36,398843,13,0,0,18,2,6540,0,790,104246,51033,21524,6410,33616,0,2,0,2103465,355030,17702,3137,0,7017,3,0,0,8,44,31,0,72,0,0,297,0,726,23,0,22,0,0,0,618,0,5,8,0,0,0,48
DUNCAN VALLEY,3094,1797,6,0,0,0,1,48,0,896,0,1963,0,4558,655,0,0,10,12,0,0,0,0,0,0,0,0,2791,0,0,6,0,0,1735,0,1,6862,9080,1490,49,3281,1,35072,16,1437707,70289,1615,61,10,11,0,0,0,0,0,0,0,0,0,0,0,19,69,0,10,0,0,0,0,0,9,11,0,0,0,0,0
ARAVAIPA CANYON,0,5,0,0,0,0,3,0,0,39,0,16,0,418,1,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,2,0,0,102,0,0,889,449,42,0,28,1,210354,7,1237739,34366,4267,105,10,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VEKOL VALLEY,0,5,1,0,0,0,6,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,3,0,1,1199,814,97,1,11066,0,0,0,770484,86537,557,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,1516,11198,2,243,0,0,52,80517,2085,0,0,52,213,164207,8270,986,0,0,276,210,0,1401,0,0,7,1347,992,72607,55,0,13094,7486,27630,328,0,5453,58095,61324,47946,12882,1120958,2,4,0,386772,41435,18559,1123,0,164,212,0,0,32,52,97,13,10154,37,1,29828,0,0,43485,0,0,9521,19677,758,7,0,0,6973,1054,1765,31,0
