SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
VERDE CANYON,226,0,6,0,0,0,0,1,49,0,0,0,0,208,22,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,41,0,10650,17171,10568,3506,444,2358,0,1078300,0,2645485,909,5702,3061,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER HASSAYAMPA,44,0,0,0,0,0,1,11,0,0,0,2,0,921,5,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,0,0,0,0,0,1,21241,6438,1617,439,1124,0,294926,0,1830943,106991,799,56,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONTO CREEK,0,0,2,0,0,0,0,0,6,0,0,0,0,201,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,12552,4285,982,67,680,0,1232660,0,1495581,3646,844,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALT RIVER CANYON,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,39,23283,3670,583,86,819,0,3887827,0,2207100,6089,873,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA POSA PLAINS,0,0,0,0,0,0,0,1,0,0,4,0,0,185,2,0,0,0,0,21,0,0,0,0,0,0,0,371,0,0,0,1,0,0,0,1732,15823,13216,5131,748,61268,1,56,0,3269458,1,77,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
COLORADO RIVER INDIAN RES.,496,10577,0,0,0,0,6,26386,0,0,81,1191,0,295168,12357,2,3,0,0,62,0,4267,0,0,0,0,0,62475,0,0,0,3882,1999,0,0,9660,13404,8478,2199,411,47519,3195,0,6,498894,5778,25888,3426,0,0,0,0,2608,0,0,0,51,801,0,0,20,0,0,125,0,0,0,0,0,0,0,0,7,0,0,0,0
BUTLER VALLEY,1,621,0,0,0,0,0,3,0,0,0,1,0,7289,2,0,57,0,0,0,0,0,0,0,0,0,0,4911,0,0,0,0,0,0,0,0,4072,372,15,1,226,0,79,0,809364,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE RIVER,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,10329,3064,639,142,749,20791,1483630,0,256531,48971,406,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCMULLEN VALLEY,0,48425,0,0,0,0,0,5365,0,0,0,0,0,11754,12,2,9065,0,1574,0,2538,1,0,0,0,0,7,90943,0,0,0,0,0,0,0,0,32541,2408,675,131,409,1,819,1,1541326,102600,720,213,0,0,0,0,0,10885,0,0,3904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
LAKE PLEASANT,0,0,0,0,0,0,0,2,0,0,0,0,0,408,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2821,18997,8647,6534,356,4,0,2692,0,641224,141,674,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAREFREE,18,0,0,0,0,0,0,0,0,0,0,0,0,350,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21397,21447,4996,212,0,0,630,0,356032,0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HASSAYAMPA,5426,1167,476,0,0,0,86,4254,0,0,18,92,0,41171,948,460,0,104,1,0,32,0,0,0,0,0,0,62689,0,0,0,0,0,0,0,2916,71023,11477,4109,1126,224,0,0,0,3154594,74201,9456,137,0,0,55,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
WEST SALT RIVER VALLEY,9961,20807,8885,0,0,0,1565,54695,0,0,1094,1363,0,239583,7329,4,0,2209,639,0,5922,344,0,0,0,312,17,160570,0,0,0,2,0,6,0,5446,228220,502678,543692,112256,53,0,17,0,1795104,28189,73134,68,0,0,8360,0,0,9,3,1,0,1,0,0,753,0,4,0,0,0,0,0,0,1699,0,0,1840,454,1,0,0
BLACK RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3878,6261,2710,628,93,271,6893,2990987,0,442534,153545,59,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANEGRAS PLAIN,0,742,0,0,0,0,0,367,0,0,0,0,0,18278,35,7,1729,0,1,2,0,7,0,0,0,0,30,24194,0,0,0,0,2,0,0,2,14428,10699,991,139,41988,0,0,0,2504111,3113,421,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST SALT RIVER VALLEY,15593,46291,836,0,0,0,11674,45369,240,209,0,9551,0,239660,7459,14,0,77,1,0,92,958,0,0,0,0,2729,153123,0,0,0,0,262,1204,0,4526,430511,557340,468410,83612,908,0,2206,0,2812052,872,5719,47,0,0,123,0,0,27,2138,2034,0,702,0,0,6,0,1099,0,0,0,0,0,0,0,0,0,4,12,1416,0,0
MORENCI,8,4,19,0,0,0,5,21,0,112,0,7,0,195,12,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,32,0,101,10039,8849,3465,103,43499,396,2734548,6,1770931,27776,2564,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALT RIVER LAKES,6,19,2,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,3,0,98421,20044,13329,4448,1164,31151,0,445543,0,2874200,3851,3320,139,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
FOUNTAIN HILLS,12,413,1,0,0,0,0,35,7,0,0,5,0,8486,44,0,0,0,0,0,1,0,0,0,0,0,113,278,0,0,0,0,1,332,0,1932,25859,18653,6443,535,49,0,41,0,953674,383,11873,68,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0
HARQUAHALA,15,3617,20,0,0,0,22,16266,0,0,0,0,0,78506,994,0,30,0,21,0,3112,0,0,0,0,0,5,145096,0,0,0,0,0,0,0,8,28933,2953,203,34,2498,14,447,0,1820689,95690,527,18,0,0,0,0,0,62,0,0,3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIBOLA VALLEY,6,4540,0,0,0,0,0,5470,0,0,0,4,0,15772,122,0,0,0,0,427,0,27,0,0,0,0,1,11859,0,0,0,13657,1846,0,0,16015,7158,7204,1413,214,3603,728,0,2,1862100,6024,33566,2235,0,0,0,0,4,0,0,0,0,3,0,0,23,0,0,69,0,0,0,0,0,0,0,0,5,0,0,0,0
SAN CARLOS VALLEY,69,52,0,0,0,0,4,1,0,0,0,1,0,1822,22,0,0,0,0,0,0,0,0,0,0,0,0,2202,0,0,0,0,0,66,0,6340,20027,12246,1356,67,147,0,413977,0,3523589,671,37732,18491,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WELLTON-MOHAWK,3503,14178,151,0,0,0,13677,72640,0,0,160,291,0,176158,13495,423,94,0,679,4899,1050,2079,0,0,0,82,6408,190860,0,0,0,905,3116,2,0,8200,92275,31585,3130,1091,1497738,762,2,48,15545551,23295,46100,3720,0,0,0,0,567,1624,0,0,258,1724,0,137,4487,0,0,36876,0,0,0,0,0,3,0,0,1347,43,202,90,0
BONITA CREEK,0,0,0,0,0,0,0,0,0,86,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,0,3,1502,854,173,9,107,0,180322,0,1130659,10,757,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAMMOTH,53,1134,0,0,0,0,32,1198,0,0,0,15,0,1891,23,0,12,0,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,270,0,1814,37457,12056,2075,533,22416,0,243209,45,3945846,192,39923,77,0,246,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARICOPA-STANFIELD,76988,28739,3141,0,0,0,12962,48258,0,4,1,11631,0,182444,3735,8,0,6201,3,0,1457,0,0,0,0,0,777,212789,0,0,0,0,250,3728,0,428,93293,27867,14712,923,3661,0,23,0,1271721,33,30132,18,0,0,1,0,0,23380,27,719,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
RAINBOW VALLEY,33,2443,2496,0,0,0,598,1948,0,0,0,0,0,12646,63,0,0,20,1,0,10,0,0,0,0,0,0,56864,0,0,0,0,0,0,0,49,23424,1967,100,39,7,0,0,0,1113124,159,377,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
