SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,5742,2724,164,0,0,0,91,3,0,0,0,0,0,7402,55,0,0,0,0,0,14,0,0,0,0,0,39,8138,0,0,0,0,0,0,0,73,2452,1129,17,0,10,0,0,0,637136,2969,2888,15,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIPPING SPRINGS WASH,0,1,0,0,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,2,0,75,1831,1673,257,21,298,0,58620,0,1025132,3,2007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,15949,23206,5481,0,0,0,21171,15170,0,3643,0,1304,0,95887,2078,0,11,13,174,3,0,0,0,0,0,0,7,199335,0,0,0,0,1,3,0,124,39420,14904,1584,554,285,0,0,0,3188406,13813,33285,4641,3,0,1,0,0,4,15,2,27,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0
GILA VALLEY,457,92299,601,0,0,0,1600,5141,0,3457,43,1928,0,14274,348,0,57,0,1,0,0,0,0,0,0,0,0,114090,0,0,1,0,0,3593,0,207,32534,25094,1579,5,1642,0,337300,524,4067751,4574,17716,143,452,22,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,2067,0,376,0,0,0,0,0
DONNELLY WASH,0,1,0,0,0,0,0,5,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,5,0,6,1402,897,3,0,593,0,1316,0,837856,104,2066,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,22151,309412,2290,0,101,0,43539,35818,128,2441,0,1214,0,149393,3106,0,24,3123,1104,0,1443,0,0,0,0,0,2603,268108,0,0,0,0,6,2960,0,278,158213,49528,9997,3490,2891,0,70,0,2521985,1193,24617,203,0,0,10,0,0,0,0,3,0,25,0,0,3011,0,0,0,0,0,0,0,0,3331,0,4,0,0,0,0,16
DUNCAN VALLEY,3300,2330,4,0,0,0,699,4,0,16,56,754,0,5822,1500,0,8,0,1,0,0,0,0,0,0,0,0,11825,0,0,0,0,0,607,0,0,7557,9674,190,0,217,0,33380,50,1502832,533,828,32,65,950,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAVAIPA CANYON,5,256,0,0,0,0,20,8,0,3,0,43,0,507,401,0,1,0,0,0,0,0,0,0,0,0,0,9061,0,0,0,0,0,1186,0,33,2383,1511,9,0,81,0,231958,150,1234625,3789,2963,194,45,174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
VEKOL VALLEY,0,20,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,8475,2848,112,0,61,0,0,0,857374,47,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,825,22349,0,0,0,0,3842,23117,0,0,938,2573,0,76766,2643,510,5834,0,0,55971,1242,1680,0,2638,0,52,1379,96359,0,0,0,877,69956,208,0,5383,57380,59536,34159,5909,483047,22,0,0,1053073,7226,11046,1919,4,0,0,0,0,104,56,53,0,1283,0,0,8270,0,0,19575,0,0,12040,18265,0,0,0,0,21,225,5862,29,0
AVRA VALLEY,1029,58325,53,0,0,0,7107,18486,0,2829,0,30,0,11093,4407,0,0,96,19,0,463,0,0,0,0,0,31,46142,0,0,0,0,0,1808,0,162,135676,27799,3445,478,5464,0,54437,0,5722824,57464,11311,21,0,0,0,0,0,0,15,0,0,0,0,0,190,0,0,0,0,0,0,0,0,980,0,125,0,0,0,0,0
TIGER WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4599,0,0,0,0,0,0,0,0,1163,69,0,0,1,0,114,0,194557,12659,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,6,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1588,233,16,1,0,0,2513,0,354794,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,5342,5186,1,0,0,0,41,17,0,46,1015,211,0,22616,75,0,15,0,0,0,0,0,0,0,0,0,0,321643,0,0,2,0,0,24561,0,0,32985,5915,180,0,1128,0,453039,49084,3937902,30904,2423,126,3819,654,0,0,0,0,0,0,0,0,0,104,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA ROSA VALLEY,3,11338,103,0,0,0,1060,31,0,0,0,0,0,196,5,0,0,0,39,0,0,0,0,0,0,0,1,2233,0,0,0,0,0,1,0,374,12941,2504,113,35,782,0,114,0,2904225,149,8589,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,13,2032,0,0,0,0,4,3,0,24,2,917,0,5578,85,0,2,0,21,0,0,0,0,0,0,0,26,2430,0,0,0,0,0,744,0,551,247695,373028,142072,24711,116137,390,353040,667,3685840,8292,1189,8,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
WILLCOX,83602,14861,5734,0,0,0,13789,1605,0,919,3858,12378,0,52080,4585,0,2614,0,0,0,0,0,0,0,0,0,0,535026,0,0,73,0,0,14373,0,413,74876,6409,524,4,146201,0,729264,6863,3644050,135158,260,5,1278,781,0,0,0,0,0,0,0,0,0,960,0,0,7660,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AGUIRRE VALLEY,0,5927,59,0,0,0,2260,172,0,0,0,0,0,684,20,0,0,3,72,0,0,0,0,0,0,0,9,4446,0,0,0,0,2,9,0,1,7250,996,13,0,4565,0,11324,0,2208150,27174,13935,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,0,0,39,0,0,0,122,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,124,7008,10282,634,284,16830,0,1,0,2507222,16,1487,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,18,1009,6,0,0,0,79,5,0,0,0,18,0,918,21,0,0,0,11,0,0,0,0,0,0,0,4,15000,0,0,0,0,5,15,0,65,9741,1968,93,46,3128,0,33837,0,6326646,95482,84836,120,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEN FLAT,31,18,0,0,0,0,0,0,0,1,0,5,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,10246,0,0,0,0,0,162,0,0,873,12,0,0,9,0,31104,21,458639,2607,83,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,5,0,0,0,0,20,0,0,0,0,0,0,176,0,0,0,0,59,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,3625,2878,61,10,193569,0,0,0,1553212,2,20,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,751,4502,92,0,0,0,35,10,0,46,16,1440,0,3453,207,0,141,0,0,0,0,0,0,0,0,0,0,74878,0,0,0,0,0,3658,0,64,94864,27857,6896,1244,495,0,311618,1293,4176864,4773,9838,105,144,219,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIENEGA CREEK,22,303,6,0,0,0,0,0,0,0,0,51,0,109,8,0,4,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,84,0,0,13288,1314,135,5,19,0,236905,801,1515061,1189,661,23,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,32,204,7,0,0,0,0,0,0,0,0,20,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,18045,0,0,0,0,0,6,0,6,11622,965,129,1,474,0,52640,32,1050022,1059,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CRUZ AMA,18,1689,0,0,0,0,42,43,0,2,0,1,0,6441,389,0,0,0,16,0,40,0,0,0,0,0,34,962,0,0,0,0,0,709,0,116,56255,10291,3276,798,227,0,101605,396,1868437,4090,5407,9,0,0,0,0,0,0,97,0,0,0,0,0,2,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
SAN BERNARDINO VALLEY,179,260,175,175,175,175,175,175,175,175,175,175,175,192,175,175,175,175,175,175,175,175,175,175,175,175,175,5298,175,175,175,175,175,243,175,175,4563,258,178,175,178,175,23447,224,1080186,1047,582,252,180,177,175,175,175,175,175,175,175,175,175,175,175,175,182,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,18,132,17,0,0,0,0,0,0,0,0,0,0,78,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,2819,11,0,0,24,0,151991,360,497637,5717,14,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,0,0,0,2,5642,3124,232,0,3695,5,205247,5,1023774,1734,1903,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIVWITS PLATEAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6720,1160,1598,102,3,121284,0,905892,1,4102588,97052,656,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANAB PLATEAU,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,10367,6792,1676,39,437075,761,3155827,60,7565483,1040915,1392,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11079,750,422,107,0,148367,16,64913,0,829069,120512,512,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,2159,710,4,0,15572,2,371083,0,2358734,2837,3609,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONINO PLATEAU,55,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15829,48250,16154,3541,134,429749,4103,3547262,0,11825932,840678,1984,249,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUALAPAI VALLEY,0,36,37,0,0,0,0,1,0,0,0,0,0,436,4,0,2,0,3,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,22389,65733,22345,4099,115,150251,595,222652,0,2960382,34691,1267,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEADVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,6295,3276,36,0,1509,0,43131,0,488954,31,2340,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,24928,9369,1742,0,0,0,1820,151,0,152,719,5531,0,12371,200,0,790,0,0,0,0,0,0,0,0,0,0,224322,0,0,1,0,0,4074,0,541,42467,8635,787,8,390,0,185,0,1243251,7396,20,0,164,13,0,0,0,0,0,0,0,0,0,57,0,0,6828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DETRITAL VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91578,34598,9662,238,7,45242,17,49716,0,2313242,16357,37,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE MOHAVE,2,26502,3038,0,0,0,334,4,0,0,0,0,0,44035,1946,0,0,89,77,580,0,0,0,0,0,0,0,16377,5,0,10,26,0,0,0,109279,28185,56940,19688,3551,12557,120,1610,0,2438025,377,45069,4994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACH SPRINGS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1884,4303,1325,161,1,68920,0,733852,0,2917049,324604,778,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIG CHINO,4,165,0,0,0,0,176,16,0,0,0,9,0,2313,497,0,29,2,27,0,0,0,0,0,0,0,0,3153,0,0,0,0,0,0,0,2,29557,11136,764,49,810,1,1435749,0,3771884,63044,242,374,0,0,0,0,0,0,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIKIEUP,1,2,5,0,0,0,1,7,0,0,0,0,0,528,6,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,562,13264,1993,100,12,299,21776,373442,0,2781247,45984,4199,109,189,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SACRAMENTO VALLEY,0,56,7,0,0,0,2,0,0,0,0,0,0,153,13,0,0,0,2,0,0,0,0,0,0,0,0,475,0,0,35,0,0,0,0,1685,101602,25504,1916,625,5750,7143,239451,0,4138256,37333,2077,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLE COLORADO RIVER PLATEAU,8,58,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,42251,227733,123874,35495,3160,1988105,8100,13439893,1,53706666,6678110,107987,17159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORT ROCK,1,8,0,0,0,0,0,0,0,0,0,0,0,38,103,0,0,0,1,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,14,3810,2560,187,22,417,0,645881,0,1721540,98857,196,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERDE VALLEY,2004,45,0,0,0,0,13,1,0,0,0,3,0,1856,285,0,0,0,53,0,0,0,0,0,0,0,4,123,0,0,0,0,0,12,0,549,99283,58936,11158,473,10546,669,4129327,0,2717967,151820,12938,4155,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSEPH CITY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,1614,4216,993,97,376,0,535,0,501293,3859,4530,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURRO CREEK,0,0,0,0,0,0,2,1,0,0,0,0,0,43,0,0,1,0,2,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,752,2080,909,138,34,8794,16,406879,0,1574380,2511,855,116,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLE CHINO,13,174,0,0,0,0,78,1,0,0,0,2,0,1415,89,0,1,0,177,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,731,41519,25195,10713,705,14,0,142381,0,642988,20632,107,6,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA MARIA,0,43,1,0,0,0,21,13,0,0,0,3,0,87,1,0,17,0,8,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,6,8875,3247,215,81,6124,0,263429,0,2241896,6551,363,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE HAVASU,1,29,9,0,0,0,6,1,0,0,0,0,0,558,37,0,0,0,0,0,0,0,0,0,0,0,7,645,6,0,4,4,3,0,0,36654,15286,48407,16948,3066,1835,359,18,0,596510,57,1376,2048,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER AGUA FRIA,4,367,2,0,0,0,7,0,0,0,0,2,0,602,4,0,0,0,33,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,12,18726,14723,4773,395,22,0,180262,0,274381,1338,63,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMO RESERVOIR,1,102,0,0,0,0,55,28,0,0,0,0,0,1299,160,0,0,0,0,0,0,0,0,0,0,0,0,6128,0,0,0,3,0,0,0,11689,9698,1736,61,1,6,2227,3412,0,2605401,77844,4546,123,74,0,0,0,0,31,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA FRIA,45,521,2,0,0,0,42,13,0,0,0,0,0,562,243,0,0,0,35,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,34494,31372,12789,1293,21,77,0,536544,0,3016728,767,1081,62,0,0,0,0,0,1,5,0,1,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SKULL VALLEY,3,19,11,0,0,0,88,40,0,0,0,0,0,2057,364,0,17,0,51,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9143,1669,93,2,1,0,155569,0,718074,730,241,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARA PEAK,0,367,367,0,0,0,0,965,0,0,0,0,0,1578,23,0,0,0,0,0,0,1,0,0,0,0,0,3334,1,0,0,2,0,0,0,5514,2990,1564,182,45,0,692,146,4,1466684,224,9018,28,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERDE CANYON,698,34,0,0,0,0,0,0,0,0,0,1,0,124,67,0,0,0,1,0,0,0,0,0,0,0,7,59,0,0,0,0,0,0,0,7194,18185,10555,2112,106,2538,0,1222129,223,2505268,3297,4079,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER HASSAYAMPA,2,25,0,0,0,0,34,0,0,0,0,1,0,786,36,0,10,0,43,0,1,0,0,0,0,0,0,198,0,0,0,0,0,0,0,37,20779,7289,943,135,232,0,318018,0,1777192,139089,694,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONTO CREEK,17,5,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,12143,3990,487,8,812,0,1367185,0,1360707,4953,1034,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
