SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,1335,8425,0,0,0,0,34,0,0,0,0,0,0,8731,0,0,0,0,7,9,0,0,0,0,0,0,0,3738,0,0,0,0,1,0,0,677,2653,918,50,2,0,1,5,0,634507,7169,2797,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIPPING SPRINGS WASH,0,3,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,17,0,30,4288,1973,301,23,602,0,55789,7,1025369,18,1548,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,9292,32204,1937,0,0,0,24981,6598,0,4,15,152,0,107454,0,0,0,22,2,0,17,0,0,0,0,0,0,202556,0,0,0,0,1,6,0,386,51955,17308,2296,565,40,0,7,0,3190417,6622,31541,3641,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,21,0,0,0,0,0
GILA VALLEY,826,112436,29,0,0,0,2106,2236,4,1921,0,1023,3,14284,0,0,41,0,386,0,0,0,0,0,0,0,0,80527,0,4,0,0,0,2162,0,200,35584,23956,3785,162,1232,34,353407,85,4070033,2177,20874,85,469,69,0,0,0,0,1,0,0,0,0,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONNELLY WASH,0,6,0,0,0,0,3,4,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,34,0,5,5153,865,5,0,113,0,115,0,833382,14,4492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,12100,375827,1582,0,0,0,62853,11507,0,0,0,33,0,125362,0,0,0,18,13,0,964,0,0,0,0,0,1371,307108,0,0,0,0,0,3613,0,479,165945,47788,11915,3236,3465,0,192,0,2467700,1989,19768,451,0,0,0,0,0,0,290,35,0,0,0,0,0,0,1161,0,0,0,0,0,0,0,7,0,0,0,0,0,78
DUNCAN VALLEY,3976,3173,4,0,0,0,84,17,0,209,60,1961,14,6746,0,0,2,0,0,0,0,0,0,0,0,0,0,12242,0,0,0,0,0,719,0,4,8178,15414,942,15,31,0,33767,9,1493918,294,818,3,56,534,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAVAIPA CANYON,7,37,31,0,0,0,71,0,1,1,0,212,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,65,0,25,2979,2283,43,0,68,0,214782,7,1259107,5823,2828,22,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,26,22,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1859,0,0,0,0,0,0,0,0,8789,3114,126,0,2,0,0,0,855960,39,899,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,474,23341,68,0,0,0,300,2277,0,72424,0,299,0,75966,0,1,2854,0,1295,51345,5941,494,0,0,0,21,1986,79662,7,0,0,956,72741,670,0,4992,56590,59355,35809,5200,491877,602,3,24,1065366,8499,15077,782,0,0,161,0,0,2734,335,0,2155,0,0,0,1789,0,0,8658,0,0,6784,27682,424,0,0,0,0,24,0,0,0
AVRA VALLEY,641,57643,24,0,0,0,10313,12085,0,0,0,0,0,10723,0,0,0,0,0,0,0,0,0,0,0,0,39,60451,0,0,0,0,0,2073,0,714,134790,29513,3503,710,7037,0,51633,1,5694686,89205,8762,34,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
TIGER WASH,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,888,42,1,0,0,0,10,0,194224,16375,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2547,246,19,1,0,0,2173,0,354159,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,5898,7961,12,0,0,0,174,734,0,15,50,1462,203,22258,0,0,22,0,0,0,0,0,0,0,0,0,0,308690,0,0,0,0,0,6181,0,1,36575,6256,268,7,328,0,475490,43283,3952509,23583,3497,11,3454,107,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA ROSA VALLEY,4,8682,79,0,0,0,1001,0,0,0,0,0,0,396,0,0,0,0,53,0,0,0,0,0,0,0,0,5677,0,0,0,0,0,67,0,53,16991,2821,149,34,2527,0,95,0,2895411,128,10586,86,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,39,3891,33,0,0,0,168,154,16,0,0,96,0,8140,0,0,0,4,0,0,0,0,0,0,0,0,95,2871,0,0,0,0,0,2668,0,2309,244656,378008,138134,23736,102846,0,368178,86,3666231,15438,7719,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
