SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,3,71,4,0,0,0,50,0,0,2041,245,0,0,14551,1725,0,0,0,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,0,308,2741,997,48,5,23,0,0,0,639541,1996,3234,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1397,1,0,0,0,0
DRIPPING SPRINGS WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,2278,2094,310,33,1652,0,41530,1,1038926,42,3125,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,16798,14132,20657,0,0,0,14441,0,0,7016,262,33,0,183709,1390,12,1,2,4,0,92,0,0,0,0,6,104,134295,0,0,0,0,0,0,0,544,40236,15447,1917,854,137,3,1,3,3184220,11403,32287,7012,0,0,5,0,0,48,0,0,0,1,0,0,114,74,448,21,0,0,4,1,0,2112,630,5441,48,0,0,0,0
GILA VALLEY,2,93307,15,0,0,0,58,0,0,8541,2,58,0,14505,1518,6,0,0,0,0,0,0,0,0,0,0,0,70769,0,323,0,0,0,5586,0,234,29959,21156,4634,434,4849,387,340838,104,4100588,1869,28916,591,337,35,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,538,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,27,2608,454,3,0,380,0,10,0,834672,0,6161,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,22476,282597,408,0,0,0,933,0,0,36474,190,4080,2,190299,12983,122,10990,3231,455,0,0,0,0,0,0,0,54,415356,0,0,0,0,0,4345,0,1123,156108,50188,18574,4595,3541,0,1,0,2376346,1005,25072,2303,0,153,2,0,0,143,110,19,0,241,0,1,1675,274,12,362,0,0,0,0,0,117,0,3533,3,0,0,0,79
DUNCAN VALLEY,39,2859,6,0,0,0,894,0,0,637,380,892,6,3476,8794,0,0,0,3,0,0,0,0,0,0,0,0,8643,0,33,0,0,0,1232,0,3,6874,8980,875,12,152,0,35416,19,1500956,42,1707,64,0,212,0,0,0,0,2,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0,0,0
ARAVAIPA CANYON,0,51,9,0,0,0,0,0,0,0,0,1,0,515,46,0,0,0,0,0,0,0,0,0,0,0,0,829,0,5,0,0,0,14,0,6,985,399,47,0,314,0,211076,20,1263717,7657,3574,135,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,4,6229,2007,77,0,17,0,0,0,861873,7,451,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,49,10684,0,0,0,0,416,51898,2128,0,713,2617,0,61246,25123,0,0,0,440,473,1285,3523,0,237,0,898,176,107930,0,0,0,18048,56078,482,0,6395,52875,62738,44195,10934,497018,134,60,5,1040176,1738,11931,1742,0,0,0,0,11,4303,286,109,387,9628,0,0,29708,0,0,104365,0,0,15040,22524,3821,0,0,0,2173,2286,2594,321,0
AVRA VALLEY,40,56576,1,0,0,0,765,0,0,16601,28,20,0,20966,768,3,138,12,0,0,0,0,0,0,0,0,0,53970,0,0,0,0,0,2126,0,1163,131796,31796,5667,1062,8604,0,55343,11,5724550,48897,13367,426,51,3,0,0,0,0,12,0,0,2,0,0,13,0,1,4,0,0,0,0,0,4,0,460,0,0,0,0,0
TIGER WASH,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,2,578,12,0,0,23,0,4,0,205248,6980,32,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1516,247,28,3,11,0,2049,0,355315,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,92,2227,17,0,0,0,533,0,0,249,0,550,245,17507,1197,0,0,0,1,0,0,0,0,0,0,0,0,234372,0,1,0,0,0,49661,0,0,25853,5001,674,48,303,0,369742,37491,4080271,68641,3930,393,2,21,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SANTA ROSA VALLEY,60,7018,5,0,0,0,13,0,0,0,0,0,0,223,39,0,0,0,0,0,0,0,0,0,0,0,0,7400,0,0,0,0,0,10,0,426,10411,1526,131,40,2643,0,34,0,2901726,28,13065,34,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
UPPER SANTA CRUZ,0,1858,37,0,0,0,5,0,0,0,1,2,0,4857,15,0,1,0,0,0,0,0,0,0,0,0,0,984,0,7,0,0,0,7,0,2511,236650,382595,167487,32340,128287,2,355479,60,3631038,2602,18283,191,569,1,0,0,0,1,9,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLCOX,40346,30477,1426,0,0,0,207,0,0,2603,0,12618,722,50143,6732,0,8199,0,0,0,44,0,0,0,0,0,0,555308,0,5552,33,0,0,15332,0,709,49561,5293,2065,139,148229,144,662833,7552,3546401,285470,263,172,2464,4122,0,0,0,0,22,0,0,0,0,2364,0,4166,50858,0,0,0,0,0,0,48,66,104,0,0,0,0,0
