SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,116,1062,147,0,0,0,9,1,0,0,0,0,0,14343,606,87,0,0,0,0,1,0,0,0,0,0,0,4009,0,0,0,0,13,0,0,22,3069,1784,129,7,2,0,0,0,640116,4798,598,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,52,0,0,0,0
DRIPPING SPRINGS WASH,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,24,3823,2963,324,34,957,0,41113,0,1038011,29,2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,10411,13705,2266,0,0,0,14725,2165,0,1659,9,133,0,149477,5884,1709,0,16,28,0,8,0,0,0,0,0,0,125845,0,0,0,2,81,1,0,326,43019,15700,2746,800,101,0,0,0,3214374,37219,28719,12204,0,0,50,0,0,17,0,0,0,18,0,0,27,0,0,51,0,0,0,0,0,1433,0,1914,49,0,0,30,0
GILA VALLEY,188,91836,1,0,0,0,2092,3042,198,286,0,881,0,10700,1002,0,7,0,75,0,0,0,0,0,0,0,7,63881,0,378,0,0,0,2831,0,13,27445,23461,4238,539,2980,82,316627,441,4150080,4806,17599,139,211,102,0,0,0,0,0,0,0,0,0,4,0,353,1137,0,0,0,0,0,0,192,0,1105,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,250,0,125,4702,1056,9,0,81,0,29,0,833555,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,30568,276484,3601,0,0,0,24390,44599,0,1472,301,2935,0,180839,6809,225,0,40,1131,0,0,0,0,0,0,13,3285,387929,0,0,0,1,108,6126,0,660,154580,51641,19747,4550,3007,0,7,0,2414759,2662,5941,372,0,0,0,0,0,46,49,393,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,55,0
DUNCAN VALLEY,1652,1696,0,0,0,0,799,1,0,29,0,1023,0,5119,2930,0,22,0,12,0,0,0,0,0,0,0,2,6899,0,2,0,0,0,1094,0,3,3660,10645,1004,25,59,0,38207,0,1504052,1935,886,91,79,827,0,0,0,0,0,0,0,0,0,4,0,0,477,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARAVAIPA CANYON,13,104,0,0,0,0,4,0,0,8,0,21,0,345,9,0,8,0,0,0,0,0,0,0,0,0,0,481,0,85,16,0,0,82,0,0,1638,1568,48,3,134,0,190782,15,1284162,7701,1785,239,2,15,0,0,0,0,0,0,0,0,0,3,0,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,7,3,0,0,0,1,0,0,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,1,0,0,6110,2215,147,5,17,0,0,0,861793,15,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,1080,9236,2735,0,0,0,1086,29229,0,544,523,1768,0,75628,6993,26,1909,0,619,45626,802,862,0,0,0,720,182,46955,0,0,0,1108,64769,822,0,4894,55718,58999,44979,11956,456284,296,22,64,1092069,16738,11806,750,0,0,4,0,8,2034,124,160,14,3607,0,0,2242,0,0,88223,0,0,9725,26285,495,0,0,0,2439,2589,0,19,0
AVRA VALLEY,4408,49469,0,0,0,0,9123,18947,0,3749,0,4,0,16539,798,0,1,0,10,0,0,0,0,0,0,0,0,35891,0,0,0,0,2,2830,0,501,133002,32041,5957,1077,6250,0,43119,0,5731434,74778,2443,585,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGER WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,614,60,5,0,15,0,0,0,187329,25074,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1655,259,12,3,8,0,1338,0,355896,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,6447,778,0,0,0,0,283,2,0,1067,0,113,0,18938,1281,0,391,9,1,0,0,0,0,0,0,0,41,194238,0,391,0,0,0,32842,1,1,28541,4440,1368,239,2988,7,343943,7821,4159750,86556,241,105,2416,3071,0,0,0,0,0,0,0,0,0,576,0,5,92,0,0,0,0,0,0,61,0,0,0,0,0,0,0
SANTA ROSA VALLEY,14,9226,13,0,0,0,956,60,0,0,3,2,0,923,75,0,0,0,20,0,0,0,0,0,0,0,2,3889,0,0,0,0,39,59,0,60,8487,2720,293,59,575,0,203,0,2909547,125,7480,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,66,1465,58,0,0,0,51,36,0,0,0,3,0,3279,104,0,34,57,0,0,0,0,0,0,0,0,51,1102,0,6,0,0,1,2714,0,368,242535,373015,176804,27509,110709,3,321525,425,3690374,6650,6902,24,1,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLCOX,65727,1604,0,0,0,0,11105,27,0,2977,0,3794,0,51652,2122,0,5553,652,2,0,0,0,0,0,0,0,953,490109,0,2666,47,0,0,10467,45,95,55791,5834,2185,413,144672,31,628406,1961,3613070,342253,0,67,3013,1006,0,0,0,0,0,3,0,0,0,2988,0,6166,44474,0,0,0,0,0,0,668,0,186,0,0,0,0,0
AGUIRRE VALLEY,4,4342,8,0,0,0,74,4068,0,0,0,6,0,462,33,0,0,0,7,0,0,0,0,0,0,0,4,2685,0,0,0,0,25,12,0,1,7145,689,50,0,4825,0,10200,0,2208386,33347,10678,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,0,1,2,0,0,0,2,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,229,7178,9315,1912,179,8830,0,2,0,2516162,10,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,6,178,17,0,0,0,3,1,0,0,0,0,0,735,37,0,0,2,0,0,0,0,0,0,0,0,0,10483,0,0,0,0,73,27,0,169,8964,2587,155,50,4075,0,26475,0,6321497,119854,77691,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALLEN FLAT,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,264,0,87,0,0,0,115,1,0,301,20,4,0,7,0,28641,2,465600,8787,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,0,1,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,15,4015,2578,192,188,194405,0,27,0,1552973,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,247,3040,0,0,0,0,8,1,0,1,0,3,0,2957,486,0,337,6,0,0,0,0,0,0,0,0,13,11821,0,480,0,0,0,4297,0,3,88700,28115,12747,1324,651,16,284331,1091,4258384,15396,10536,297,115,41,0,0,0,0,0,1,0,0,0,42,0,0,28,0,0,0,0,0,0,19,0,1,0,0,0,0,0
CIENEGA CREEK,0,0,0,0,0,0,0,0,0,0,0,0,0,112,1,0,0,2,0,0,0,0,0,0,0,0,0,42,0,123,0,0,0,54,0,0,6431,1574,198,18,161,2,200095,122,1553729,7158,255,23,0,1,0,0,0,0,0,0,0,0,0,7,0,44,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0
DOUGLAS,8,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,11,0,0,0,0,0,0,0,0,0,0,5737,0,1,0,0,0,5,0,0,9587,1005,363,17,54,0,55255,8,1056591,6630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CRUZ AMA,38,174,8,0,0,0,118,9,0,0,0,2,0,4968,666,0,6,0,0,0,0,0,0,0,0,0,55,113,0,29,0,0,0,1907,0,57,57656,10265,4014,1529,886,4,97695,4,1868838,9604,2729,78,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
SAN BERNARDINO VALLEY,185,226,175,175,175,175,175,175,175,175,175,175,175,187,179,175,176,175,175,175,175,175,175,175,175,175,175,1205,175,175,175,175,175,242,175,175,5098,545,302,176,176,175,21131,181,1083285,3360,503,460,184,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1716,39,27,0,1,0,135198,725,502901,18327,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,54,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,6349,2698,2373,188,411,11,205231,107,1021833,2434,4752,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIVWITS PLATEAU,0,7,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9170,1119,961,197,9,121390,5,873584,9,4079376,149129,1977,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANAB PLATEAU,0,0,117,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5435,5911,8506,649,81,437538,1265,3087769,0,7511032,1166152,754,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12307,749,614,120,0,156203,0,52547,0,831419,121731,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND WASH,0,2,0,0,0,0,0,1,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,413,1574,329,43,1,20024,2,314761,5,2400717,5447,10789,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONINO PLATEAU,0,0,8,0,0,0,1,0,0,0,0,2,0,18,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22195,50711,22832,7919,407,424399,8355,3515703,0,11772991,907311,826,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUALAPAI VALLEY,8,46,0,0,0,0,5,6,0,0,0,2,0,371,91,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,1,2,0,0,19959,68958,26269,4413,1094,170234,265,190873,24,2960839,39119,2226,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEADVIEW,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,619,7287,2038,81,1,1229,9,37681,0,487624,342,9580,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,23492,12212,0,0,0,0,2075,566,0,1063,0,295,0,9953,1555,0,396,23,0,0,0,0,0,0,0,0,84,204902,0,46,0,0,0,7062,0,228,47907,8290,2145,198,109,0,0,0,1249980,11295,16,4,73,105,0,0,0,0,0,0,0,0,0,193,0,7,12512,0,0,0,0,0,0,228,0,26,0,0,0,0,0
DETRITAL VALLEY,0,4,0,0,0,0,0,2,0,0,0,0,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,88728,31617,10441,572,3,40467,0,36899,0,2334178,15518,322,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE MOHAVE,21,25671,1368,0,0,0,1,110,0,0,0,9,0,45290,1618,0,0,0,0,26,0,0,0,0,0,0,0,11474,0,0,0,47,46,0,0,111557,19341,55516,22933,3620,11811,71,271,32,2457920,839,37659,6138,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0
PEACH SPRINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,3746,1470,203,38,64886,20,692574,1,2884038,399590,3255,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIG CHINO,6,902,30,0,0,0,1,0,0,0,0,11,0,517,109,0,2,1,0,0,0,0,0,0,0,0,0,83,0,0,0,6,0,4,0,89,21576,7258,1548,84,617,9,1403580,35,3816260,64339,492,2031,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIKIEUP,0,10,1,0,0,0,0,0,0,0,0,0,0,449,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,22,15626,3276,292,48,203,13121,333025,97,2824532,48880,4330,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SACRAMENTO VALLEY,2,48,0,0,0,0,0,0,0,0,0,0,0,115,78,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,5,6,0,0,1325,106567,23582,3828,717,3741,1480,218026,56,4155326,45642,1393,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLE COLORADO RIVER PLATEAU,0,7,0,0,0,0,0,0,0,2,0,5,0,57,44,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,27,0,45181,277337,132391,57430,7623,2117959,8629,12859423,0,53279061,7499450,75021,18981,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORT ROCK,0,101,0,0,0,0,0,0,0,0,0,0,0,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,3799,401,47,167,17,651560,5,1702598,113237,3,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERDE VALLEY,33,96,5,0,0,0,84,6,0,0,0,7,0,1484,39,0,0,0,212,0,0,0,0,0,0,0,3,33,0,0,0,1,6,13,0,219,103072,55734,17425,1109,20380,1695,4105069,0,2705545,175107,11373,3399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JOSEPH CITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,1661,4150,1448,90,271,0,317,0,499555,3187,7544,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURRO CREEK,0,10,0,0,0,0,0,0,0,1,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1467,3765,1768,532,79,5863,20,363943,23,1618911,1043,376,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLE CHINO,3,87,8,0,0,0,0,0,0,1,0,2,0,465,40,0,4,0,68,0,0,0,0,0,0,0,1,16,0,0,0,0,2,3,0,14,43853,24472,12139,1971,41,0,141784,0,647365,14119,5,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA MARIA,0,42,5,0,0,0,0,0,0,1,0,0,0,328,9,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,0,0,0,25,8527,2911,496,131,3362,34,243576,46,2262370,8427,651,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE HAVASU,4,14,1,0,0,0,0,11,0,0,0,0,0,795,110,0,0,0,0,26,0,0,0,0,0,0,0,39,0,0,0,8,2,0,0,37901,12954,45841,25476,2940,1486,49,72,3,592337,26,2035,1751,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UPPER AGUA FRIA,1,17,0,0,0,0,0,0,0,0,0,2,0,250,5,0,14,0,211,0,0,0,0,0,0,4,7,5,0,0,0,0,0,0,0,31,20314,14484,6264,938,37,0,170390,0,282112,633,65,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMO RESERVOIR,0,22,0,0,0,0,0,0,0,0,0,0,0,1012,182,0,0,0,0,0,0,0,0,0,0,0,0,454,1,0,0,3,1,36,0,9268,11399,2158,137,22,550,1009,398,13,2607717,83131,6808,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA FRIA,3,23,1,0,0,0,0,0,0,0,0,0,0,854,37,0,0,0,2,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,0,30597,27422,12247,2420,103,153,0,514912,0,3046069,855,811,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKULL VALLEY,71,143,7,0,0,0,4,48,0,0,0,2,0,1732,226,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,1,0,3,0,1,5306,1427,155,19,43,0,147362,0,729431,1878,68,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CLARA PEAK,0,308,0,0,0,0,0,4,0,0,0,0,0,871,238,0,0,0,0,1,0,0,0,0,0,0,1,1578,0,0,0,994,30,0,0,5674,3715,2015,318,59,141,134,0,38,1466041,450,11090,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERDE CANYON,4,227,0,0,0,0,0,3,0,0,0,0,0,1340,56,0,0,0,1,0,0,0,0,0,0,0,2,22,0,0,0,0,0,86,0,9496,13460,11830,4081,465,4973,0,1119422,0,2599129,4572,6956,2607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER HASSAYAMPA,0,15,4,0,0,0,1,0,0,1,0,0,0,1333,131,0,0,0,4,0,0,0,0,0,0,0,0,124,0,0,0,0,0,32,0,6,17617,6461,1625,391,259,1,304418,0,1795848,136039,1197,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONTO CREEK,0,1,0,0,0,0,1,0,0,0,0,0,0,331,16,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,10,0,161,10787,6010,1569,63,425,0,1217435,0,1508746,4351,1547,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALT RIVER CANYON,0,3,0,0,0,0,4,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21249,5016,535,89,275,0,3914329,0,2177468,9591,840,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA POSA PLAINS,1,4,0,0,0,0,0,0,0,0,0,0,0,241,24,0,0,0,1,49,0,0,0,0,0,0,0,333,8,0,0,1,3,0,0,1832,16465,15118,5167,552,65608,6,37,0,3262037,566,33,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
COLORADO RIVER INDIAN RES.,40,39281,1,0,0,0,0,17504,0,2,0,1771,0,266725,16421,0,0,0,57,309,0,3795,0,0,0,0,11,51873,126,0,0,8077,217,0,0,9934,14360,8894,2025,401,53819,6281,10,12,485218,25892,21087,3120,0,0,0,0,2860,33,24,0,15,798,0,0,0,0,0,191,0,0,1,34,0,0,0,0,51,0,0,0,0
BUTLER VALLEY,0,0,0,0,0,0,103,8,0,0,0,17,0,7278,70,0,1,0,0,0,0,0,0,0,0,0,0,921,2,0,0,1,0,0,0,0,4174,321,10,29,1459,0,43,0,811578,1027,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0
WHITE RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3362,9309,3446,689,168,99,16037,1483623,2,256952,54052,126,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCMULLEN VALLEY,1113,15299,2761,0,0,0,235,4542,0,15,0,28,0,11428,1024,0,7336,0,124,3,7,1,0,0,0,0,4,33272,3,0,0,9,0,0,0,1,36877,3059,569,37,1439,3,1893,1,1469511,271101,700,3315,0,0,43,0,0,121,0,0,1,4,0,0,4,0,0,132,0,0,0,0,0,5,0,0,272,0,0,7,0
LAKE PLEASANT,0,1,0,0,0,0,6,1,0,0,0,0,0,498,39,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,2715,18589,8365,6391,659,23,0,2391,0,641109,1168,528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAREFREE,0,1,0,0,0,0,0,0,0,0,0,0,0,520,4,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,6,0,3,21212,22338,4059,302,1,0,1539,0,355104,16,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HASSAYAMPA,2347,1753,903,0,0,0,1504,491,0,19,2,643,0,44293,1442,65,0,1,16,0,4,0,0,0,0,0,0,57014,0,0,0,0,9,0,0,3408,59468,10839,4071,1043,606,0,20,0,3039951,201862,10501,274,0,0,5,0,0,3,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,1883,0,11,7,0,0,2,0
WEST SALT RIVER VALLEY,17092,41993,5348,0,0,0,10009,16028,0,703,32,1566,0,248474,11568,187,5,1056,4663,0,2167,1,0,0,0,1,2,136293,2,0,0,101,181,26,0,4917,231649,493598,543132,115383,202,0,6,0,1736099,96859,73942,212,0,0,2536,0,0,223,38,5,0,868,0,0,2553,0,20,1047,0,0,0,0,0,200,0,78,4688,0,0,1283,0
BLACK RIVER,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936,5074,1955,880,1862,44,7274,2949060,32,447511,188282,83,3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
