SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,0,66,41,0,0,0,50,0,0,1448,31,60,11,13484,1335,1,0,0,0,0,0,0,0,0,0,0,0,3749,0,0,0,0,0,0,0,341,2042,754,102,0,8,0,0,0,645038,349,351,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1796,0,0,0,0,0
DRIPPING SPRINGS WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3406,2649,367,32,1028,0,42852,0,1037698,5,1976,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,10307,4635,3722,0,0,0,18867,0,0,34515,740,14,28738,147039,1215,1355,0,1,0,0,11,0,0,0,0,0,0,137248,0,0,0,0,0,1,0,213,43732,13810,2738,461,473,0,1,0,3199626,9737,22501,4234,0,851,32,0,0,6,0,0,0,0,0,0,28,7,0,23,0,0,0,0,0,836,3,8280,1,0,0,0,0
GILA VALLEY,5,99946,0,0,0,0,20,0,0,10385,0,47,96,26834,268,0,81,0,0,0,0,0,0,0,0,0,1,51687,0,163,0,0,0,2771,0,119,30712,23599,5665,630,3487,10,315528,71,4131221,1757,22881,10,337,509,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1358,0,0,0,0,0
DONNELLY WASH,0,2,0,0,0,0,2,0,0,2,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,20,5550,860,5,0,114,0,2,0,833073,0,4730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,22166,303511,923,0,0,0,872,0,0,45461,2,210,0,182455,8837,2,12243,3190,253,0,0,0,0,0,0,0,4,399145,0,0,0,0,0,4306,0,510,153621,53031,19475,4270,2154,0,2,0,2395350,297,10727,1728,0,17,0,0,0,230,16,12,0,23,0,0,155,855,1,1204,0,0,0,0,0,568,468,2250,0,0,0,0,32
DUNCAN VALLEY,299,4097,9,0,0,0,688,0,0,326,0,242,0,5627,2191,0,0,0,0,0,0,0,0,0,0,0,0,9955,0,0,0,0,0,4477,0,0,6993,10175,1208,4,98,0,32449,0,1502197,1,1733,14,1,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,325,0,0,0,0,0
ARAVAIPA CANYON,0,33,0,0,0,0,0,0,0,0,0,0,0,512,0,0,5,0,0,0,0,0,0,0,0,0,0,527,0,5,0,0,0,23,0,1,1739,1703,115,2,178,0,195624,0,1281559,4703,2665,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,5338,2551,103,0,9,0,0,0,862339,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,0,1884,622,0,0,0,7,61644,0,0,0,21,0,60454,14383,0,0,0,195,369,1049,2787,0,0,0,1104,1610,120735,0,0,0,25877,50561,2580,0,5751,54177,63998,42984,9488,473623,20,26,1,1071632,932,13269,938,0,0,0,0,14,1318,433,456,0,5087,0,0,13827,0,0,115690,0,0,14101,28146,1000,0,0,0,3419,6415,516,22,0
AVRA VALLEY,21,50468,0,0,0,0,3774,0,0,25096,0,179,0,21254,544,1,55,18,0,0,0,0,0,0,0,0,30,46077,0,0,0,0,0,2089,0,644,136056,31724,5802,1055,5414,0,42034,0,5752170,44546,5344,69,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,724,0,0,0,0,0
TIGER WASH,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,476,39,1,0,13,0,1,0,209549,2880,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,239,27,3,8,0,1333,0,355187,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,467,898,10097,0,0,0,298,0,0,356,0,861,0,17745,1948,0,1,0,0,0,0,0,0,0,0,0,0,230202,0,0,0,0,0,43828,0,0,25400,4566,1123,32,81,0,353301,13814,4154396,34619,285,52,16,24,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,3,4600,0,0,0,0,0
SANTA ROSA VALLEY,104,9005,11,0,0,0,18,0,0,10,0,3,0,270,35,0,0,0,0,0,0,0,0,0,0,0,0,5193,0,0,0,0,1,7,0,30,9684,1185,234,45,1034,0,20,0,2912275,2,5656,7,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,2,1523,0,0,0,0,66,0,0,18,0,0,0,4930,28,0,1,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,3,0,2683,245960,367040,174108,32985,111831,0,327847,106,3684033,2020,9261,24,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
WILLCOX,53287,20369,38,0,0,0,4305,0,0,46884,0,8154,0,56292,1237,0,12645,0,0,0,0,0,0,0,0,0,0,549691,0,2294,0,2,0,12384,0,345,42669,4713,3279,94,146352,37,630169,4814,3639460,233521,24,5,2504,974,0,0,0,0,0,0,0,0,0,0,0,0,24665,0,0,659,0,0,0,0,2,919,0,0,0,0,0
AGUIRRE VALLEY,168,4501,0,0,0,0,0,0,0,3691,0,0,0,239,14,0,11,0,0,0,0,0,0,0,0,0,1,3407,0,0,0,0,0,3,0,0,7831,656,43,1,5216,0,10689,0,2232313,11167,7132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,2,0,0,0,0,0,0,0,0,1,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,65,5756,10224,2282,189,6408,0,4,0,2519024,0,238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,13,26,1,0,0,0,1,0,0,5,0,0,0,317,24,0,0,0,1,0,0,0,0,0,0,0,0,10613,0,0,0,0,0,0,0,17,6513,1431,140,37,7915,0,28940,0,6384928,65302,66871,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
ALLEN FLAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,276,0,1,0,0,0,0,0,0,491,9,4,0,7,0,30798,0,468559,3579,90,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3688,3583,101,3,198585,0,5,0,1548607,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,30,1089,0,0,0,0,15,0,0,21,0,1,0,5336,81,0,412,0,0,0,0,0,0,0,0,0,0,17443,0,32,0,0,0,272,0,53,88419,27065,14323,790,644,0,282808,179,4269166,2548,13114,205,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,32,0,0,0,0,0,47,0,0,0,0,0
CIENEGA CREEK,6,28,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,7,0,0,8303,1280,297,2,5,0,198359,73,1559977,822,882,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9541,0,0,0,0,0,16,0,2,6905,1004,355,16,52,0,52482,0,1064738,153,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CRUZ AMA,30,261,0,0,0,0,11,0,0,244,0,0,0,4257,1550,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,8,0,632,61243,10849,4042,1525,216,0,98451,1,1872395,806,3787,34,968,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN BERNARDINO VALLEY,175,176,175,175,175,175,175,175,175,175,175,175,175,182,177,175,175,175,175,175,175,175,175,175,175,175,175,1200,175,175,175,175,175,318,175,175,2652,374,226,175,181,175,22604,191,1086773,735,400,912,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,2372,58,19,0,0,0,140647,36,506121,9412,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,2,9022,3315,2308,195,853,0,206030,7,1020154,72,3507,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIVWITS PLATEAU,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9052,1990,1815,237,18,110397,2,864207,6,4158675,89919,515,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANAB PLATEAU,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,6000,13170,7853,2683,52,465527,1607,3072001,0,7815306,838546,1405,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11804,2886,570,91,0,181638,0,50541,0,857462,70684,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
