SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,2026,11,17,0,0,0,1891,2,0,2810,0,3,0,10179,62,0,0,0,0,0,0,0,0,0,0,0,0,2939,0,0,0,0,0,0,0,9,4266,1896,157,1,2,0,0,0,641364,888,807,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,0,0,0,0,0,0,0
DRIPPING SPRINGS WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,3551,2858,354,40,956,0,42023,0,1037161,24,3038,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,15716,1290,4837,0,0,0,9664,9001,0,153,0,2800,0,169300,1889,1,0,1,1,2,26,12,0,0,0,2,0,182202,0,0,0,0,0,2,0,672,39895,17058,2633,602,100,0,0,0,3187780,11259,33088,3220,0,0,9,0,0,12,0,0,0,0,0,0,0,0,189,7,0,0,0,0,0,2578,0,0,0,0,0,0,0
GILA VALLEY,61,96232,454,0,0,0,1578,5520,0,4043,0,1693,0,9066,540,0,17,0,0,0,0,0,0,0,0,0,0,76293,0,122,0,0,0,369,0,161,29327,24049,5638,421,3898,14,327564,38,4118589,1376,22747,390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,36,6235,786,8,0,209,0,3,0,832123,0,4951,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,30307,253376,1565,0,0,0,5056,11071,68,50249,0,1555,0,196247,8790,160,3228,2838,184,0,1,2,0,0,0,3,4,407365,0,0,0,0,0,4566,0,747,155048,54173,19773,4540,3404,0,1,0,2397990,170,11485,1324,0,273,1,0,0,24,7,48,0,843,0,0,121,44,6,0,0,0,0,0,0,1708,260,1885,1,0,2,0,63
DUNCAN VALLEY,188,2455,1726,0,0,0,962,47,0,653,0,637,0,5580,507,0,1,0,0,0,0,0,0,0,0,0,0,13851,0,0,0,0,0,684,0,9,7199,12505,1788,11,49,0,35210,0,1497988,2,1016,8,0,143,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAVAIPA CANYON,2,25,0,0,0,0,0,0,0,2,0,4,0,217,13,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,13,0,4,1856,1021,83,2,162,0,193794,3,1283066,5826,2186,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,4861,1414,162,1,66,0,0,0,863955,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,9,23747,211,0,0,0,0,120919,102,516,0,2451,0,66296,1064,515,1083,0,29,43596,904,3736,0,0,0,2651,4,49518,0,0,0,36,65697,290,0,6262,53376,60511,45592,9803,479037,77,58,19,1069512,684,9735,1718,0,0,0,0,0,6416,255,130,0,6841,0,0,14610,0,0,117260,0,0,0,69,0,0,0,0,2714,4344,516,2,0
AVRA VALLEY,2029,41952,473,0,0,0,21,5325,0,18322,0,4,0,19228,767,0,214,46,0,0,0,0,0,0,0,0,0,55677,0,2,0,0,0,2126,0,1741,133055,32007,6200,1086,6813,0,50476,0,5751798,36192,5437,153,0,179,0,0,0,0,0,0,0,20,0,0,0,3894,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
TIGER WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,592,19,2,0,3,0,0,0,210438,1902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,226,23,0,1,0,1812,0,355415,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,323,4442,41,0,0,0,480,267,0,365,0,41,0,22647,10045,0,64,0,0,0,0,0,0,0,0,0,0,239088,0,27,0,0,0,30488,0,29,27107,5818,1918,92,146,0,337967,21178,4156613,38187,678,12,1,0,0,0,0,0,0,0,0,0,0,811,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA ROSA VALLEY,0,9187,0,0,0,0,1,0,0,10,0,3,0,362,0,4,0,0,0,0,0,0,0,0,0,0,0,5021,0,0,0,0,0,10,0,52,9787,2044,275,59,1538,0,95,0,2905714,2,10678,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,21,1245,5,0,0,0,0,2,0,3,0,0,0,4945,201,0,1,0,0,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,571,0,2850,239593,371960,179713,29284,116329,0,328810,40,3676530,1463,10421,539,0,64,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLCOX,55609,7598,1252,0,0,0,8366,1494,0,23,0,566,0,70488,2919,0,1325,0,0,0,0,0,0,0,0,0,0,554186,0,2290,7,0,0,13198,0,632,49018,5186,2513,495,150053,15,619155,2642,3656546,226954,28,41,3070,0,0,0,0,0,0,34,0,0,0,3128,0,1558,61854,0,0,0,0,0,0,544,0,0,0,0,0,0,0
AGUIRRE VALLEY,0,5982,1,0,0,0,1,8,0,3638,0,1,0,111,11,0,0,0,0,0,17,0,0,0,0,0,0,2238,0,0,0,0,0,2,0,14,7583,499,51,0,6345,0,10942,0,2225212,14141,10286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,313,6851,10935,964,182,9915,0,4,0,2514077,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,3,59,0,0,0,0,0,0,0,1,0,0,0,328,2,3,0,0,0,0,0,0,0,0,0,0,0,10636,0,0,0,0,0,4,0,19,8855,1455,140,55,10304,0,31447,0,6371656,62156,75977,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEN FLAT,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,44,0,0,884,16,4,0,5,0,30702,1,468439,3284,219,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,4809,3312,245,46,197348,0,3,0,1548750,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,1975,1096,2,0,0,0,6,20,0,255,0,9,0,4314,983,0,268,0,0,0,0,0,0,0,0,0,0,14354,0,29,0,0,0,1422,0,60,93901,26876,13680,1756,909,36,280289,421,4271230,2102,9162,213,36,0,0,0,0,0,0,0,0,0,0,49,0,1,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CIENEGA CREEK,156,17,0,0,0,0,0,0,0,0,0,0,0,36,43,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,23,0,3,10082,1124,294,3,110,0,200925,107,1555688,574,929,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,5,3,2,0,0,0,0,21,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,6987,0,0,0,0,0,3,0,9,9350,970,459,23,753,0,45931,9,1070533,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CRUZ AMA,137,526,2,0,0,0,1,4,0,457,0,70,0,4888,137,0,12,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,974,0,872,58321,10324,3778,1046,932,0,100569,0,1870823,770,6091,258,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,23,0,0,0,0,0
SAN BERNARDINO VALLEY,183,184,175,175,175,175,175,188,175,175,175,175,175,188,201,175,176,175,175,175,175,175,175,175,175,175,175,1131,175,175,175,175,175,212,175,182,4863,710,377,175,180,175,22986,182,1082875,867,594,1522,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,322,2170,30,36,0,10,1,132610,152,516787,6908,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,31,0,0,0,0,0,3,0,0,0,0,0,225,1,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,23,7418,3309,2112,151,2568,15,202851,0,1022848,58,4303,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIVWITS PLATEAU,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8902,835,700,121,3,115883,3,855074,26,4160793,93305,1338,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANAB PLATEAU,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6304,15450,6419,2228,26,414511,5863,3070187,23,7869044,833604,1460,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456,2567,489,125,0,174131,8,46609,0,869177,71069,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND WASH,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1539,1289,671,45,0,13748,118,301429,4,2427909,590,6034,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONINO PLATEAU,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18933,61246,24429,13544,1295,409987,6115,3502540,0,12314379,380816,570,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
HUALAPAI VALLEY,1,64,0,0,0,0,0,7,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18298,70809,24784,4534,639,136447,1762,201791,8,3011496,11120,1590,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEADVIEW,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,7144,1853,60,1,932,20,40839,0,488825,0,4386,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,24092,2040,220,0,0,0,2691,71,0,24,0,53,0,16413,1515,0,1796,0,0,0,0,0,0,0,0,0,0,238697,0,2,0,0,0,7719,0,867,46911,7380,2295,463,1017,0,12,0,1219278,1000,3,0,73,0,0,0,0,0,0,0,0,0,0,1556,0,14,20829,0,0,0,0,0,0,10,0,0,0,0,0,0,0
DETRITAL VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,93643,28842,10286,667,4,40251,82,45689,0,2339287,481,210,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE MOHAVE,21,11201,0,0,0,0,0,7085,0,0,0,16,0,49988,4335,0,86,0,0,508,0,9,0,0,0,0,0,9375,0,0,0,594,0,0,0,114168,22399,57951,25003,3401,13063,0,311,10,2445841,24,41960,6050,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PEACH SPRINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722,2330,1071,154,5,52897,6,690839,3,2963820,337352,1486,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIG CHINO,4,6,4,0,0,0,6,3,41,0,0,0,0,700,68,0,0,0,0,0,0,0,0,0,0,0,42,726,0,0,0,0,0,0,0,15,24724,11288,1910,171,1722,15,1361016,0,3880793,35168,291,1337,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIKIEUP,0,15,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,12975,1871,255,45,260,14260,309891,181,2871798,26975,5158,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SACRAMENTO VALLEY,0,24,0,0,0,0,0,1,0,0,0,0,0,243,30,0,6,0,0,0,0,0,0,0,0,0,0,126,0,0,0,1,0,0,0,1300,112291,24838,3844,427,4567,3355,229565,0,4172912,6962,1708,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLE COLORADO RIVER PLATEAU,2,205,0,0,0,0,0,0,0,0,0,0,0,74,2,0,0,0,0,0,0,0,0,0,0,0,0,191,0,25,0,0,0,0,0,45467,265890,133077,55777,8706,2253548,9753,12895678,71,58170060,2472112,54343,13665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
