"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19013C_001M","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
"B19013C_001MA","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
"B19013C_001E","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
"B19013C_001EA","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
