"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","83438","null","44937","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","84792","null","61170","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944301","Census Tract 9443.01, Apache County, Arizona","53333","null","25306","null",
"1400000US04001944302","Census Tract 9443.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","67917","null","31295","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","49583","null","31296","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","48698","null","554","null",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","60500","null","8175","null",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","47969","null","20711","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","59815","null","23035","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","62625","null","12471","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","62056","null","10770","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","38203","null","7595","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","40417","null","12168","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","56250","null","7537","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","37802","null","4829","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","45081","null","15860","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","29688","null","5225","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","48750","null","16774","null",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","70881","null","18121","null",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","50685","null","17749","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","44565","null","7901","null",
