"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","65000","null","80714","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","107798","null","19081","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","47750","null","22880","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","76810","null","66452","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","75500","null","10202","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","53750","null","15555","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","43438","null","19771","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","53523","null","1776","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","39412","null","102683","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","17250","null","35282","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","34834","null","9553","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","37050","null","10179","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","51250","null","10315","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","45000","null","8254","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","36574","null","7738","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","56538","null","33693","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","32969","null","16485","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","37554","null","4025","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","24583","null","4496","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","44000","null","9522","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","51081","null","4520","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","26622","null","1841","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","42544","null","3393","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","29500","null","32796","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","61875","null","41735","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","59375","null","14508","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","43571","null","15472","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","43750","null","13812","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","35547","null","7666","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","32569","null","5783","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","49125","null","11584","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","45288","null","10776","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","37247","null","18807","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","66389","null","38667","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","55395","null","18586","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","40294","null","6033","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","63710","null","3066","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","35856","null","7142","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","55066","null","11422","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","43125","null","4615","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","53237","null","8368","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","83452","null","9420","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","100664","null","8727","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","39654","null","8217","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","51548","null","10673","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","53509","null","6105","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","79605","null","9736","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","57060","null","6832","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","52817","null","13795","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","63143","null","11309","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","59410","null","8274","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","74846","null","13435","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","59464","null","14998","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","28655","null","5849","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","69732","null","11541","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","13942","null","3484","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","66461","null","13852","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","34792","null","3814","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","41414","null","11083","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","70517","null","17130","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","68750","null","15725","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","46515","null","13409","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","47969","null","10703","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","57553","null","7690","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","31765","null","12623","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","69068","null","13279","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","56445","null","14113","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","37309","null","6834","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","-","**","**",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","67500","null","26287","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","156089","null","47461","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","95000","null","30342","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","-","**","**",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","114444","null","126467","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","47461","null","8759","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","39464","null","8248","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","48077","null","7129","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","42487","null","7374","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","42337","null","6416","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","33147","null","9745","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","39821","null","10693","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","35817","null","11928","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","38179","null","9665","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","40417","null","25254","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","28947","null","5184","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","40197","null","12861","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","53617","null","7427","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","44236","null","21011","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","-","**","**",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","-","**","**",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","-","**","**",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","43326","null","7280","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","53182","null","28894","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","54494","null","9277","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","36058","null","13653","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","43994","null","16567","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","48854","null","7582","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","51477","null","22583","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","43700","null","12044","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","41919","null","11481","null",
