"GEO_ID","NAME","B19013H_001M","B19013H_001MA","B19013H_001E","B19013H_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","61276","null","108456","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","32014","null","84271","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","**","**","-","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","11790","null","53438","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","9468","null","36760","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","3821","null","35227","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","7114","null","47778","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","4376","null","46101","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","5287","null","41905","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","5003","null","39701","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","13865","null","37500","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","12056","null","27500","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","4314","null","27905","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","18966","null","44063","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","5460","null","31943","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","12056","null","46705","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","6138","null","50734","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","14070","null","27500","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","**","**","-","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","2232","null","29808","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","**","**","-","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","5666","null","41063","null",
