"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","-","**","**",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","-","**","**",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","102614","null","41401","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","52423","null","10551","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","39617","null","12461","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","50775","null","3233","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","50253","null","10262","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","51545","null","8893","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","37438","null","11231","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","35492","null","8393","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","29750","null","5962","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","28269","null","10383","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","33617","null","5616","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","28469","null","8109","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","49226","null","12992","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","42903","null","7078","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","43333","null","6156","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","-","**","**",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","58929","null","45530","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","-","**","**",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","58571","null","11724","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","53708","null","13987","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","72813","null","12465","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","43750","null","13915","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","65369","null","12306","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","53971","null","13558","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","53000","null","8163","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","50690","null","6641","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","50938","null","25884","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","74881","null","15591","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","52727","null","11538","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","41350","null","16995","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","30660","null","8700","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","42639","null","9016","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","44085","null","5252","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","22042","null","9171","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","30000","null","10391","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","44394","null","9571","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","38125","null","5332","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","-","**","**",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","83698","null","14716","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","131667","null","26401","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","107396","null","21836","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","84453","null","16751","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","43533","null","11527","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","42788","null","7171","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","49089","null","6322","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","48520","null","4404","null",
