"GEO_ID","NAME","B19013H_001E","B19013H_001M","B19013H_001MA","B19013H_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","69750","25165","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","64063","60088","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","52500","36944","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","73000","2643","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","81607","26253","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","51563","9973","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","39167","37667","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","53500","22606","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","81111","54131","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","40000","26840","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","49156","4979","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","56111","11438","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","53558","8543","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","65635","7187","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","38173","5468","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","50306","5682","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","32031","12795","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","40192","10026","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","28442","3711","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","45859","11263","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","54706","9243","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","33566","5033","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","40375","5599","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","48162","29735","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","44583","28769","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","40446","18227","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","-","**","**","-",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","30291","5137","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","37328","3658","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","48158","8971","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","45978","10465","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","60100","26428","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","81118","6517","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","37974","11851","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","40917","4123","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","50457","23228","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","38553","9204","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","58271","4074","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","37632","14973","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","62412","7677","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","72992","5922","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","100841","13264","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","55864","14506","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","55216","9944","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","64286","7752","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","96953","5783","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","64180","11195","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","52363","11026","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","67045","12230","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","62031","7887","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","69313","16549","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","64767","10231","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","30455","8142","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","67262","14459","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","12941","4717","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","67391","13720","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","42179","14214","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","55521","14574","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","91118","8406","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","76325","5225","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","57558","8836","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","59131","4393","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","50673","9427","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","48438","22204","null","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","61554","14388","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","84632","24106","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","48529","18769","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","68333","42568","null","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","107614","71229","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","**","**","-",
