"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","57500","null","23613","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","81250","null","35551","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","56667","null","48679","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","95694","null","48446","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","53542","null","5531","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","61667","null","32599","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","55833","null","31418","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","45625","null","23748","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","47997","null","5258","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","59241","null","12670","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","57015","null","9468","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","68651","null","8555","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","36141","null","5858","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","51163","null","5019","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","28472","null","13698","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","47466","null","8249","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","26944","null","5560","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","55208","null","13311","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","51917","null","20578","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","40357","null","8648","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","39091","null","7214","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","-","-","**","**",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","69167","null","40812","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","58077","null","27439","null",
