"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2012 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","29375","null","36093","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","107326","null","54108","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","65313","null","38506","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","74516","null","107016","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","69145","null","9214","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","58750","null","14786","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","44063","null","14100","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","50982","null","1050","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","39333","null","106198","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","2,500-","2,500-","***","***",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","16042","null","38361","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","34489","null","4792","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","40060","null","5808","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","48750","null","9458","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","44738","null","8030","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","34792","null","7456","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","64386","null","17502","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","38415","null","14425","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","37286","null","2803","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","25515","null","3997","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","41994","null","7702","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","44231","null","12061","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","26000","null","2894","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","41441","null","2426","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","29861","null","25836","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","65368","null","26272","null",
