"GEO_ID","NAME","B19013H_001E","B19013H_001M","B19013H_001MA","B19013H_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","66563","15663","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","108088","23992","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","37500","21736","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","71333","7636","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","77708","2432","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","49000","4368","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","null","null","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","53750","6500","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","null","null","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","17212","5650","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","39963","5109","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","38173","15029","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","49107","10487","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","53250","12118","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","35100","5899","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","44821","18737","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","32841","9864","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","40265","5499","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","29004","5937","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","42525","9254","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","53491","2793","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","30038","4315","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","41645","5727","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","null","null","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","68250","38928","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","38060","6515","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","null","null","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","62857","44974","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","28977","3936","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","33705","7695","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","43616","12146","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","48546","5917","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","43750","25181","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","71944","9993","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","35486","22838","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","41996","4081","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","65842","13131","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","37679","6013","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","63176","9718","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","40875","8229","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","59434","12084","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","78707","9224","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","100701","11054","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","42929","12427","null","null",
