"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","7657","1118","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","10472","869","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","12259","1830","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","8511","850","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","12575","2928","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","10598","2481","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","9454","598","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","9544","884","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","10045","1274","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","14106","2652","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","11737","1492","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","9652","1673","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","19221","2329","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","16438","4231","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","17921","2981","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","22848","3023","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","21529","3026","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","28099","7002","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","18649","3281","null","null",
