"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","10018","null","1298","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","12131","null","1212","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","14639","null","1644","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","9042","null","659","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","11136","null","1596","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","11280","null","2215","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","11378","null","794","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","10951","null","1059","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","10705","null","935","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","14186","null","1386","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","12560","null","1552","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","10617","null","1513","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","22207","null","2215","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","17528","null","4243","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","22852","null","2934","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","29005","null","4616","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","21408","null","2418","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","22641","null","3681","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","17394","null","2457","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","24308","null","3821","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","16930","null","1674","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","33165","null","5901","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","26915","null","3759","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","23170","null","2993","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","20631","null","2019","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","17450","null","3152","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","14196","null","1902","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","19115","null","3738","null",
