"GEO_ID","NAME","B19301_001M","B19301_001MA","B19301_001E","B19301_001EA",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","4763","null","17772","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","2304","null","11079","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","1336","null","10372","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","2477","null","13316","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","5578","null","21551","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","4449","null","17444","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","2251","null","21777","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","2633","null","22139","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","5553","null","27607","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","4019","null","26316","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","9698","null","20376","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","3270","null","17345","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","3164","null","17110","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","3399","null","17801","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","2502","null","16470","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","2498","null","17818","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","2936","null","21968","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","2484","null","15533","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","2254","null","5569","null",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","4380","null","11661","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","994","null","8291","null",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","1836","null","17383","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","3130","null","15722","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","3853","null","19998","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","3100","null","17173","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","1773","null","17295","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","2304","null","19174","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","2114","null","11595","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","1893","null","14980","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","2780","null","16843","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","3097","null","26203","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","2345","null","18194","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","2217","null","16191","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","6504","null","25932","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","4607","null","27015","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","5839","null","23844","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","6089","null","28795","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","4359","null","19081","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","2379","null","18936","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","1732","null","14115","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","9311","null","55719","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","19355","null","98800","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","14648","null","74845","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","13367","null","65498","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","3541","null","25973","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","2021","null","28214","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","2437","null","33966","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","7241","null","39407","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","3148","null","34394","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","2797","null","35742","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","3178","null","25116","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","6570","null","35336","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","1805","null","17771","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","2534","null","25157","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","6590","null","53206","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","5475","null","34458","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","4484","null","31205","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","2531","null","32962","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","5063","null","42583","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","6897","null","44757","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","3740","null","41099","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","3140","null","33909","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","2281","null","24967","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","3888","null","39246","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","3840","null","35949","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","2810","null","23560","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","3758","null","25987","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","4222","null","22577","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","3830","null","21638","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","6709","null","30156","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","4992","null","31210","null",
