"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","8598","null","1253","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","11217","null","885","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","11842","null","1523","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","8514","null","821","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","11259","null","1916","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","9704","null","1527","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","10187","null","613","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","10433","null","764","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","9858","null","903","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","14388","null","1845","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","10708","null","1079","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","10139","null","1628","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","20756","null","3245","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","15089","null","2906","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","17969","null","3268","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","26993","null","4638","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","22580","null","2945","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","24607","null","10319","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","18942","null","2697","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","24957","null","3349","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","17333","null","2046","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","24324","null","4215","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","24130","null","3237","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","18638","null","2382","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","17277","null","1762","null",
