"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","16662","null","2193","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","10849","null","1171","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","12798","null","872","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","16614","null","1864","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","30566","null","4005","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","26944","null","4467","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","26633","null","3392","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","24713","null","2830","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","31502","null","4528","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","24377","null","6364","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","23672","null","3732","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","22051","null","3365","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","17610","null","4624","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","16119","null","1653","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","22070","null","3774","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","22738","null","3397","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","26169","null","3054","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","20208","null","3217","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","7678","null","1036","null",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","11207","null","1378","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","9520","null","1319","null",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","19542","null","2499","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","16335","null","3060","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","25263","null","3160","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","16527","null","2006","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","22632","null","2031","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","20840","null","2462","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","17933","null","7633","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","13723","null","2123","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","21292","null","3442","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","27856","null","3490","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","24400","null","5225","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","23989","null","3781","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","21003","null","4373","null",
