"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","13665","2080","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","11096","1096","null","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","11187","854","null","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","16231","2648","null","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","30954","5967","null","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","28924","9487","null","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","23215","2567","null","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","21530","2609","null","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","26515","4024","null","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","21417","2394","null","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","25291","7362","null","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","24515","6637","null","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","25408","8227","null","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","17441","2632","null","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","20270","2779","null","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","19193","2478","null","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","23541","3110","null","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","19450","2772","null","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","7746","1201","null","null",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","10073","1739","null","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","8659","1443","null","null",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","18779","2301","null","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","19562","3668","null","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","27335","3848","null","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","18259","2920","null","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","19686","1730","null","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","19823","2924","null","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","17404","5046","null","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","13666","1811","null","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","23708","3574","null","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","24871","2389","null","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","18014","2448","null","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","18726","2960","null","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","31222","7234","null","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","35763","6845","null","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","18457","3604","null","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","27680","3908","null","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","23262","5595","null","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","20253","2186","null","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","14614","1468","null","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","**","**","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","59795","8420","null","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","98354","21023","null","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","68379","13045","null","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","50005","7926","null","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","23953","3164","null","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","33902","5181","null","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","36569","5775","null","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","33066","2942","null","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","40544","4608","null","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","32716","3014","null","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","26945","4011","null","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","40997","5569","null","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","19123","2693","null","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","21701","2516","null","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","40887","6258","null","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","40105","4567","null","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","24629","2569","null","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","35412","3486","null","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","43294","4695","null","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","40336","5931","null","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","43674","6270","null","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","37205","3938","null","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","26288","4314","null","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","35758","2953","null","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","34954","3011","null","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","20933","3073","null","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","24829","3266","null","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","21630","2993","null","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","17539","2365","null","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","26743","3763","null","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","31902","4995","null","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","17864","3661","null","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","19113","2045","null","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","17629","2345","null","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","23459","3100","null","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","18828","3335","null","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","18663","1942","null","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","13846","1682","null","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","13363","2093","null","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","19951","2771","null","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","18751","2278","null","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","15640","7764","null","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","11585","1559","null","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","17228","2448","null","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","31540","4505","null","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","38413","4574","null","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","20062","2450","null","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","32213","5352","null","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","25465","2895","null","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","27693","5418","null","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","24175","2844","null","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","35511","7060","null","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","1531","534","null","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","43930","4425","null","null",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","24079","3250","null","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","34693","4649","null","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","23488","3785","null","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","20163","1907","null","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","24735","2700","null","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","18283","2828","null","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","24223","2756","null","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","22520","2909","null","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","22884","2658","null","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","25614","4209","null","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","23834","3650","null","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","25501","4709","null","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","23997","2985","null","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","20118","3201","null","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","24884","4500","null","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","25943","4752","null","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","25875","2173","null","null",
