"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","**","**","-","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","**","**","-","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","**","**","-","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","**","**","-","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","**","**","-","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","**","**","-","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","**","**","-","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","**","**","-","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","**","**","-","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","**","**","-","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","**","**","-","-",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","**","**","-","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","11640","null","12321","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","**","**","-","-",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","**","**","-","-",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","**","**","-","-",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","**","**","-","-",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1627","null","36728","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","**","**","-","-",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","**","**","-","-",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","68163","null","56250","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","**","**","-","-",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","**","**","-","-",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","**","**","-","-",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","***","***","2,500-","2,500-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","**","**","-","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","27789","null","20139","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","16756","null","58269","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","32921","null","38571","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","27991","null","49826","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","10446","null","81856","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","14584","null","34415","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","4785","null","21199","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","19674","null","54355","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","6087","null","18261","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","16440","null","40357","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","24168","null","41375","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","12633","null","83271","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","66946","null","106607","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","40050","null","82941","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","254866","null","142895","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","1603","null","130714","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","**","**","-","-",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","162360","null","150250","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","83722","null","64922","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","63100","null","29276","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","**","**","-","-",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","**","**","-","-",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","**","**","-","-",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","104047","null","9850","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","189566","null","110263","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","**","**","-","-",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","**","**","-","-",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","**","**","-","-",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","**","**","-","-",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","**","**","-","-",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","**","**","-","-",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","**","**","-","-",
