"GEO_ID","NAME","B19013B_001E","B19013B_001EA","B19013B_001M","B19013B_001MA",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","43361","null","33469","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","-","-","**","**",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","61518","null","41636","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","173276","null","64751","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","-","-","**","**",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","90139","null","50597","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","56627","null","589","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","44063","null","19148","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","null","null","null","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","-","-","**","**",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","45729","null","31228","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","48958","null","27994","null",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","null","null","null","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","28929","null","13062","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","78942","null","61784","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","55800","null","53214","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","71328","null","50130","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","62650","null","24032","null",
