"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19013B_001E","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"B19013B_001EA","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"B19013B_001M","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"B19013B_001MA","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
