"GEO_ID","NAME","B19013F_001E","B19013F_001EA","B19013F_001M","B19013F_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","-","**","**",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","-","-","**","**",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","37885","null","10009","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","23750","null","8553","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","-","-","**","**",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","33393","null","26696","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","69844","null","301782","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","33077","null","13190","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","26906","null","38844","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","-","-","**","**",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","38625","null","8129","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","16447","null","3457","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","20417","null","11425","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","25565","null","5717","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","19271","null","15919","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","26111","null","6390","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","24135","null","14746","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","14083","null","14391","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","25977","null","11893","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","74097","null","48150","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","-","-","**","**",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","27949","null","30951","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","50150","null","42942","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","-","-","**","**",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","13750","null","34701","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","81354","null","31398","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","250,000+","250,000+","***","***",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","91442","null","9297","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","43155","null","24032","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","-","-","**","**",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","123375","null","125527","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","-","-","**","**",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","31860","null","12929","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","49948","null","31141","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","73088","null","19923","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","-","-","**","**",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","-","-","**","**",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","22778","null","168167","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","10982","null","12360","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","-","-","**","**",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","-","-","**","**",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","53047","null","28989","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","-","-","**","**",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","166875","null","11583","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","-","-","**","**",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","-","-","**","**",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","-","-","**","**",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","28177","null","22397","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","-","-","**","**",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","-","-","**","**",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","-","-","**","**",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","-","-","**","**",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","-","**","**",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","-","-","**","**",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","-","-","**","**",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","-","**","**",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","-","**","**",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","-","-","**","**",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","-","-","**","**",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","-","-","**","**",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","-","-","**","**",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","-","-","**","**",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","-","-","**","**",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","-","-","**","**",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","-","-","**","**",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","-","-","**","**",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","-","-","**","**",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","43393","null","26910","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","-","-","**","**",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","44750","null","33796","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","49866","null","25623","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","37708","null","28332","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","-","**","**",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","-","**","**",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","-","**","**",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","25938","null","42527","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","-","-","**","**",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","105843","null","33610","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","35347","null","19979","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","45476","null","16566","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","57000","null","12732","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","-","-","**","**",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","54327","null","47342","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","25972","null","13332","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","62723","null","22584","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","26417","null","3554","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","29559","null","11436","null",
