"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013814100","Census Tract 8141, Maricopa County, Arizona","1338","null","72","null","26","20","null","null","0","17","null","null","37","43","null","null","10","null","15","null","0","17","null","null","25","null","25","null","8","13","null","null","20","22","null","null","0","17","null","null","116","57","null","null","82","41","null","null","211","null","82","null","285","94","null","null","149","58","null","null","191","79","null","null","178","74","null","null",
"1400000US04013814200","Census Tract 8142, Maricopa County, Arizona","700","null","49","null","15","13","null","null","11","12","null","null","0","12","null","null","21","null","15","null","14","12","null","null","0","null","12","null","34","25","null","null","12","17","null","null","0","12","null","null","18","16","null","null","54","26","null","null","128","null","56","null","100","37","null","null","41","22","null","null","83","33","null","null","169","46","null","null",
"1400000US04013814300","Census Tract 8143, Maricopa County, Arizona","1044","null","94","null","0","12","null","null","25","26","null","null","0","12","null","null","10","null","17","null","22","24","null","null","22","null","25","null","9","13","null","null","36","28","null","null","46","54","null","null","137","83","null","null","156","79","null","null","141","null","71","null","239","83","null","null","46","37","null","null","65","43","null","null","90","52","null","null",
"1400000US04013814400","Census Tract 8144, Maricopa County, Arizona","1331","null","103","null","114","60","null","null","22","24","null","null","0","12","null","null","0","null","12","null","48","39","null","null","60","null","56","null","20","22","null","null","56","37","null","null","31","47","null","null","104","47","null","null","117","50","null","null","209","null","64","null","168","71","null","null","148","65","null","null","130","54","null","null","104","67","null","null",
"1400000US04013814500","Census Tract 8145, Maricopa County, Arizona","1277","null","93","null","0","17","null","null","7","11","null","null","16","17","null","null","19","null","22","null","10","16","null","null","9","null","13","null","36","28","null","null","26","25","null","null","49","51","null","null","36","28","null","null","232","82","null","null","272","null","105","null","107","52","null","null","137","56","null","null","169","59","null","null","152","66","null","null",
"1400000US04013814600","Census Tract 8146, Maricopa County, Arizona","1367","null","139","null","66","63","null","null","13","20","null","null","48","56","null","null","0","null","17","null","83","66","null","null","64","null","50","null","18","20","null","null","41","29","null","null","55","46","null","null","67","41","null","null","250","114","null","null","308","null","110","null","141","81","null","null","111","52","null","null","30","28","null","null","72","54","null","null",
"1400000US04013814700","Census Tract 8147, Maricopa County, Arizona","1074","null","105","null","8","14","null","null","14","15","null","null","16","18","null","null","47","null","36","null","25","30","null","null","18","null","21","null","48","36","null","null","55","47","null","null","29","28","null","null","116","72","null","null","62","38","null","null","198","null","69","null","98","48","null","null","113","59","null","null","103","65","null","null","124","46","null","null",
"1400000US04013814800","Census Tract 8148, Maricopa County, Arizona","1888","null","204","null","82","88","null","null","0","17","null","null","45","41","null","null","33","null","38","null","63","51","null","null","35","null","38","null","62","48","null","null","31","36","null","null","49","39","null","null","213","100","null","null","264","115","null","null","232","null","100","null","274","123","null","null","264","101","null","null","175","110","null","null","66","58","null","null",
"1400000US04013814900","Census Tract 8149, Maricopa County, Arizona","767","null","72","null","7","11","null","null","0","12","null","null","29","40","null","null","0","null","12","null","24","29","null","null","0","null","12","null","21","21","null","null","15","17","null","null","11","17","null","null","29","31","null","null","95","60","null","null","163","null","85","null","101","52","null","null","101","61","null","null","106","53","null","null","65","41","null","null",
"1400000US04013815000","Census Tract 8150, Maricopa County, Arizona","964","null","78","null","9","13","null","null","0","12","null","null","0","12","null","null","18","null","19","null","18","20","null","null","26","null","22","null","0","12","null","null","0","12","null","null","0","12","null","null","45","36","null","null","85","53","null","null","150","null","48","null","223","60","null","null","96","50","null","null","137","51","null","null","157","66","null","null",
"1400000US04013815100","Census Tract 8151, Maricopa County, Arizona","933","null","116","null","12","13","null","null","0","17","null","null","23","35","null","null","14","null","17","null","46","34","null","null","6","null","10","null","29","24","null","null","6","9","null","null","29","26","null","null","80","46","null","null","99","55","null","null","110","null","50","null","223","81","null","null","92","44","null","null","110","64","null","null","54","35","null","null",
"1400000US04013815200","Census Tract 8152, Maricopa County, Arizona","2418","null","200","null","126","98","null","null","32","38","null","null","44","60","null","null","15","null","24","null","92","94","null","null","53","null","43","null","72","79","null","null","18","29","null","null","74","52","null","null","94","97","null","null","263","116","null","null","595","null","170","null","415","140","null","null","246","90","null","null","213","86","null","null","66","53","null","null",
"1400000US04013815300","Census Tract 8153, Maricopa County, Arizona","941","null","47","null","0","12","null","null","0","12","null","null","0","12","null","null","13","null","19","null","0","12","null","null","24","null","27","null","36","33","null","null","0","12","null","null","0","12","null","null","44","66","null","null","27","27","null","null","121","null","60","null","76","60","null","null","178","76","null","null","146","61","null","null","276","69","null","null",
