"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","10","null","12","null","7","null","11","null","0","101","null","null","3","4","null","null","0","101","null","null","0","101","null","null","0","null","101","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","0","null","101","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","21","null","14","null","4","null","7","null","0","101","null","null","0","101","null","null","0","101","null","null","0","101","null","null","0","null","101","null","0","null","101","null","12","15","null","null","0","101","null","null","5","8","null","null","0","null","101","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","1475","null","164","null","222","null","91","null","75","57","null","null","117","61","null","null","76","52","null","null","142","81","null","null","119","null","74","null","51","null","45","null","47","33","null","null","46","43","null","null","105","52","null","null","116","null","62","null","215","null","85","null","53","39","null","null","7","12","null","null","39","41","null","null","45","62","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","847","null","148","null","105","null","72","null","24","27","null","null","99","77","null","null","49","41","null","null","26","28","null","null","17","null","16","null","54","null","41","null","82","53","null","null","29","31","null","null","51","32","null","null","77","null","53","null","107","null","67","null","95","51","null","null","5","9","null","null","0","101","null","null","27","43","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","1380","null","203","null","53","null","38","null","136","100","null","null","56","72","null","null","41","41","null","null","130","81","null","null","82","null","71","null","25","null","36","null","102","108","null","null","102","88","null","null","120","94","null","null","139","null","135","null","200","null","100","null","96","81","null","null","60","71","null","null","19","29","null","null","19","29","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","1256","null","174","null","104","null","58","null","118","84","null","null","33","19","null","null","55","39","null","null","37","31","null","null","73","null","49","null","117","null","76","null","100","70","null","null","85","59","null","null","84","51","null","null","56","null","37","null","126","null","79","null","170","95","null","null","64","47","null","null","26","26","null","null","8","10","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","662","null","84","null","113","null","63","null","54","32","null","null","33","24","null","null","22","20","null","null","32","23","null","null","43","null","30","null","35","null","25","null","62","31","null","null","26","22","null","null","44","30","null","null","47","null","35","null","97","null","45","null","21","16","null","null","21","24","null","null","2","5","null","null","10","15","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","738","null","162","null","65","null","48","null","0","101","null","null","74","62","null","null","39","46","null","null","13","21","null","null","59","null","75","null","14","null","24","null","0","101","null","null","25","39","null","null","42","41","null","null","109","null","81","null","96","null","68","null","35","43","null","null","17","27","null","null","110","106","null","null","40","63","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","952","null","187","null","110","null","88","null","81","73","null","null","39","48","null","null","67","65","null","null","40","63","null","null","71","null","64","null","60","null","44","null","37","43","null","null","89","76","null","null","109","101","null","null","105","null","70","null","100","null","64","null","0","101","null","null","28","33","null","null","0","101","null","null","16","27","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1152","null","134","null","65","null","36","null","163","94","null","null","140","56","null","null","36","29","null","null","92","47","null","null","70","null","42","null","172","null","107","null","51","42","null","null","43","31","null","null","64","35","null","null","113","null","70","null","77","null","43","null","49","41","null","null","14","16","null","null","3","4","null","null","0","101","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","1305","null","208","null","141","null","78","null","139","111","null","null","110","79","null","null","116","90","null","null","212","109","null","null","73","null","56","null","57","null","70","null","52","49","null","null","25","41","null","null","145","99","null","null","121","null","101","null","75","null","63","null","23","30","null","null","0","101","null","null","0","101","null","null","16","24","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","1857","null","228","null","132","null","95","null","28","33","null","null","123","95","null","null","133","95","null","null","228","142","null","null","129","null","77","null","92","null","87","null","174","106","null","null","58","58","null","null","197","118","null","null","154","null","76","null","187","null","103","null","124","77","null","null","26","33","null","null","36","34","null","null","36","35","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1311","null","134","null","95","null","55","null","64","44","null","null","87","51","null","null","87","70","null","null","92","80","null","null","87","null","55","null","125","null","90","null","24","26","null","null","60","56","null","null","132","72","null","null","134","null","60","null","102","null","68","null","121","81","null","null","53","50","null","null","36","32","null","null","12","23","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","757","null","74","null","111","null","48","null","73","33","null","null","84","38","null","null","71","41","null","null","108","52","null","null","25","null","19","null","33","null","33","null","33","28","null","null","36","24","null","null","28","29","null","null","44","null","27","null","71","null","41","null","20","19","null","null","14","16","null","null","6","10","null","null","0","101","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","1061","null","97","null","111","null","61","null","73","33","null","null","99","40","null","null","101","34","null","null","55","24","null","null","50","null","23","null","50","null","25","null","76","34","null","null","52","29","null","null","69","32","null","null","79","null","29","null","98","null","37","null","90","38","null","null","30","24","null","null","13","11","null","null","15","16","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","238","null","72","null","3","null","5","null","24","28","null","null","39","44","null","null","0","101","null","null","11","18","null","null","0","null","101","null","7","null","12","null","11","18","null","null","16","21","null","null","29","35","null","null","0","null","101","null","53","null","40","null","14","18","null","null","16","18","null","null","15","16","null","null","0","101","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","216","null","67","null","6","null","10","null","6","11","null","null","8","12","null","null","10","15","null","null","10","15","null","null","0","null","101","null","0","null","101","null","23","26","null","null","10","16","null","null","32","43","null","null","24","null","26","null","36","null","20","null","22","21","null","null","12","18","null","null","7","13","null","null","10","16","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","293","null","95","null","9","null","15","null","10","17","null","null","17","16","null","null","10","17","null","null","9","14","null","null","14","null","22","null","22","null","24","null","7","12","null","null","0","101","null","null","43","38","null","null","130","null","86","null","9","null","13","null","13","15","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","115","null","58","null","10","null","18","null","0","101","null","null","0","101","null","null","0","101","null","null","15","23","null","null","10","null","17","null","0","null","101","null","27","30","null","null","27","35","null","null","0","101","null","null","0","null","101","null","12","null","22","null","0","101","null","null","14","23","null","null","0","101","null","null","0","101","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","99","null","72","null","0","null","101","null","17","26","null","null","14","23","null","null","0","101","null","null","0","101","null","null","8","null","21","null","0","null","101","null","52","58","null","null","0","101","null","null","0","101","null","null","8","null","16","null","0","null","101","null","0","101","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","721","null","131","null","62","null","48","null","43","45","null","null","5","8","null","null","46","34","null","null","69","56","null","null","60","null","45","null","70","null","67","null","54","47","null","null","19","23","null","null","113","77","null","null","53","null","46","null","75","null","68","null","11","18","null","null","14","23","null","null","27","30","null","null","0","101","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","1026","null","135","null","117","null","52","null","54","32","null","null","88","56","null","null","89","53","null","null","69","42","null","null","80","null","63","null","42","null","53","null","17","20","null","null","71","60","null","null","65","51","null","null","97","null","56","null","121","null","73","null","65","54","null","null","28","31","null","null","12","17","null","null","11","17","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","705","null","117","null","64","null","45","null","50","59","null","null","36","34","null","null","55","36","null","null","33","26","null","null","12","null","17","null","0","null","101","null","40","31","null","null","10","13","null","null","124","56","null","null","35","null","29","null","127","null","73","null","33","24","null","null","51","70","null","null","0","101","null","null","35","34","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","1729","null","177","null","170","null","71","null","80","47","null","null","53","30","null","null","125","64","null","null","106","57","null","null","127","null","71","null","166","null","91","null","130","70","null","null","80","52","null","null","114","46","null","null","110","null","50","null","271","null","106","null","106","52","null","null","38","25","null","null","38","31","null","null","15","19","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","329","null","85","null","10","null","17","null","0","101","null","null","0","101","null","null","0","101","null","null","48","42","null","null","91","null","75","null","0","null","101","null","12","15","null","null","0","101","null","null","4","6","null","null","121","null","63","null","34","null","34","null","9","15","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","219","null","82","null","0","null","101","null","0","101","null","null","27","44","null","null","0","101","null","null","5","9","null","null","28","null","45","null","12","null","22","null","13","18","null","null","22","24","null","null","0","101","null","null","15","null","19","null","26","null","30","null","11","17","null","null","45","63","null","null","15","23","null","null","0","101","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","964","null","172","null","140","null","90","null","24","27","null","null","49","50","null","null","0","101","null","null","23","27","null","null","69","null","60","null","76","null","74","null","83","79","null","null","9","16","null","null","68","53","null","null","168","null","100","null","147","null","85","null","90","80","null","null","9","16","null","null","9","14","null","null","0","101","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","991","null","156","null","74","null","57","null","99","87","null","null","50","39","null","null","80","87","null","null","44","40","null","null","143","null","91","null","42","null","42","null","95","92","null","null","98","80","null","null","56","49","null","null","70","null","61","null","46","null","34","null","75","55","null","null","0","101","null","null","19","28","null","null","0","101","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","1579","null","186","null","90","null","60","null","19","31","null","null","128","92","null","null","77","50","null","null","31","39","null","null","32","null","47","null","73","null","67","null","52","38","null","null","172","119","null","null","138","90","null","null","250","null","125","null","215","null","120","null","202","89","null","null","60","57","null","null","40","62","null","null","0","101","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","1138","null","202","null","96","null","75","null","111","100","null","null","115","77","null","null","106","116","null","null","95","62","null","null","59","null","54","null","116","null","93","null","77","63","null","null","30","34","null","null","167","78","null","null","12","null","18","null","42","null","39","null","43","41","null","null","15","27","null","null","54","50","null","null","0","101","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","1269","null","154","null","83","null","76","null","54","41","null","null","11","20","null","null","10","18","null","null","33","32","null","null","41","null","43","null","47","null","36","null","156","81","null","null","81","60","null","null","143","76","null","null","137","null","131","null","289","null","126","null","107","74","null","null","22","24","null","null","29","33","null","null","26","29","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1031","null","154","null","143","null","83","null","63","55","null","null","25","29","null","null","93","77","null","null","80","74","null","null","18","null","30","null","73","null","73","null","113","98","null","null","8","13","null","null","97","59","null","null","24","null","30","null","89","null","61","null","82","54","null","null","54","51","null","null","40","41","null","null","29","37","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","1320","null","146","null","31","null","36","null","37","44","null","null","69","72","null","null","119","82","null","null","24","30","null","null","120","null","64","null","13","null","23","null","57","45","null","null","68","50","null","null","145","84","null","null","120","null","71","null","214","null","106","null","189","94","null","null","60","56","null","null","49","53","null","null","5","12","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","2939","null","214","null","57","null","46","null","49","48","null","null","142","101","null","null","29","34","null","null","88","59","null","null","33","null","37","null","61","null","41","null","74","53","null","null","211","92","null","null","166","105","null","null","385","null","112","null","650","null","145","null","386","130","null","null","238","98","null","null","200","97","null","null","170","111","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","2138","null","151","null","34","null","38","null","40","40","null","null","61","49","null","null","45","37","null","null","72","52","null","null","61","null","45","null","32","null","27","null","25","24","null","null","49","42","null","null","96","58","null","null","247","null","100","null","261","null","97","null","504","166","null","null","235","103","null","null","206","85","null","null","170","79","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","1370","null","136","null","59","null","52","null","32","30","null","null","36","46","null","null","121","81","null","null","55","56","null","null","68","null","64","null","109","null","79","null","54","40","null","null","24","40","null","null","144","74","null","null","164","null","92","null","167","null","88","null","176","87","null","null","93","81","null","null","68","60","null","null","0","101","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","1363","null","171","null","51","null","81","null","141","121","null","null","26","40","null","null","28","43","null","null","65","59","null","null","86","null","62","null","46","null","51","null","146","89","null","null","72","58","null","null","71","54","null","null","261","null","143","null","97","null","73","null","92","67","null","null","103","65","null","null","49","42","null","null","29","34","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","1551","null","164","null","64","null","47","null","53","51","null","null","18","26","null","null","61","43","null","null","110","82","null","null","119","null","49","null","87","null","68","null","22","26","null","null","104","61","null","null","134","85","null","null","69","null","40","null","324","null","117","null","117","60","null","null","90","42","null","null","79","57","null","null","100","48","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1237","null","122","null","64","null","42","null","10","15","null","null","33","30","null","null","0","101","null","null","12","19","null","null","61","null","42","null","92","null","80","null","78","50","null","null","32","24","null","null","64","40","null","null","189","null","70","null","211","null","73","null","147","73","null","null","122","62","null","null","63","39","null","null","59","33","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1311","null","122","null","78","null","40","null","152","70","null","null","40","33","null","null","33","27","null","null","76","46","null","null","51","null","48","null","37","null","40","null","139","72","null","null","27","22","null","null","111","57","null","null","201","null","78","null","123","null","58","null","116","56","null","null","44","37","null","null","35","33","null","null","48","28","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","1056","null","198","null","38","null","45","null","95","75","null","null","14","22","null","null","91","96","null","null","78","68","null","null","10","null","15","null","54","null","44","null","44","42","null","null","74","61","null","null","189","158","null","null","86","null","62","null","124","null","61","null","111","75","null","null","10","17","null","null","27","32","null","null","11","18","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1262","null","126","null","39","null","32","null","54","56","null","null","40","33","null","null","57","38","null","null","41","33","null","null","148","null","76","null","86","null","55","null","59","47","null","null","46","45","null","null","187","76","null","null","61","null","40","null","174","null","78","null","121","62","null","null","65","43","null","null","43","40","null","null","41","32","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","776","null","104","null","25","null","41","null","44","35","null","null","30","33","null","null","14","21","null","null","84","68","null","null","24","null","23","null","35","null","44","null","119","92","null","null","24","25","null","null","111","69","null","null","68","null","46","null","127","null","57","null","54","42","null","null","11","18","null","null","0","101","null","null","6","10","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","1970","null","185","null","49","null","52","null","98","86","null","null","60","74","null","null","140","86","null","null","96","66","null","null","7","null","13","null","28","null","33","null","83","61","null","null","109","60","null","null","120","76","null","null","194","null","103","null","317","null","131","null","294","101","null","null","155","82","null","null","71","53","null","null","149","89","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","1217","null","124","null","112","null","67","null","40","49","null","null","8","14","null","null","48","37","null","null","18","21","null","null","68","null","51","null","94","null","84","null","18","20","null","null","26","25","null","null","59","39","null","null","197","null","79","null","184","null","89","null","141","67","null","null","53","42","null","null","98","52","null","null","53","52","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","808","null","123","null","163","null","86","null","46","43","null","null","74","47","null","null","111","67","null","null","61","47","null","null","12","null","19","null","0","null","101","null","120","72","null","null","12","17","null","null","66","48","null","null","88","null","61","null","46","null","35","null","9","15","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","2191","null","230","null","372","null","144","null","102","63","null","null","42","57","null","null","120","110","null","null","116","91","null","null","109","null","80","null","65","null","70","null","34","30","null","null","36","34","null","null","187","118","null","null","195","null","120","null","187","null","84","null","273","93","null","null","184","89","null","null","118","62","null","null","51","41","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","489","null","112","null","142","null","75","null","54","46","null","null","57","49","null","null","58","59","null","null","13","16","null","null","66","null","56","null","21","null","22","null","62","38","null","null","0","101","null","null","0","101","null","null","8","null","16","null","8","null","14","null","0","101","null","null","0","101","null","null","0","101","null","null","0","101","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","1536","null","185","null","96","null","75","null","25","31","null","null","44","44","null","null","79","76","null","null","16","24","null","null","125","null","74","null","43","null","40","null","31","36","null","null","16","26","null","null","110","72","null","null","211","null","123","null","144","null","79","null","316","106","null","null","108","81","null","null","147","85","null","null","25","29","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","1972","null","235","null","337","null","135","null","276","130","null","null","42","39","null","null","77","50","null","null","51","59","null","null","155","null","119","null","61","null","48","null","142","86","null","null","76","60","null","null","170","87","null","null","187","null","92","null","119","null","58","null","153","116","null","null","100","74","null","null","12","21","null","null","14","23","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","1121","null","141","null","125","null","82","null","75","62","null","null","64","60","null","null","127","86","null","null","65","58","null","null","54","null","35","null","66","null","57","null","16","19","null","null","89","61","null","null","113","74","null","null","15","null","18","null","126","null","46","null","48","32","null","null","82","69","null","null","56","46","null","null","0","101","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","1652","null","163","null","33","null","37","null","0","101","null","null","93","111","null","null","106","90","null","null","76","82","null","null","61","null","58","null","33","null","38","null","23","35","null","null","84","71","null","null","179","115","null","null","105","null","72","null","355","null","146","null","215","126","null","null","73","47","null","null","132","73","null","null","84","62","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","1821","null","235","null","111","null","116","null","70","93","null","null","84","83","null","null","95","63","null","null","79","90","null","null","23","null","27","null","27","null","23","null","80","95","null","null","41","47","null","null","289","141","null","null","185","null","107","null","309","null","129","null","231","134","null","null","131","87","null","null","66","60","null","null","0","101","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","1304","null","203","null","125","null","72","null","103","70","null","null","55","62","null","null","26","30","null","null","105","77","null","null","19","null","23","null","46","null","41","null","25","22","null","null","31","24","null","null","132","79","null","null","260","null","103","null","196","null","106","null","138","84","null","null","15","16","null","null","17","28","null","null","11","18","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","1560","null","164","null","137","null","91","null","48","35","null","null","87","65","null","null","30","28","null","null","150","63","null","null","64","null","62","null","151","null","80","null","47","49","null","null","65","50","null","null","103","66","null","null","131","null","67","null","149","null","69","null","60","37","null","null","37","27","null","null","122","67","null","null","179","78","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","858","null","149","null","31","null","24","null","70","51","null","null","26","23","null","null","57","39","null","null","10","11","null","null","21","null","17","null","102","null","73","null","57","38","null","null","37","31","null","null","109","64","null","null","116","null","55","null","130","null","70","null","75","45","null","null","0","101","null","null","17","20","null","null","0","101","null","null",
