"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004113","Census Tract 41.13, Pima County, Arizona","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04019004114","Census Tract 41.14, Pima County, Arizona","367","78","null","null","0","12","null","null","0","12","null","null","8","null","13","null","56","null","52","null","34","32","null","null","16","19","null","null","46","40","null","null","38","null","30","null","0","null","12","null","38","39","null","null","74","50","null","null","28","26","null","null","19","20","null","null","0","null","12","null","0","null","12","null","10","17","null","null",
"1400000US04019004115","Census Tract 41.15, Pima County, Arizona","392","138","null","null","61","56","null","null","15","25","null","null","62","null","66","null","17","null","26","null","26","30","null","null","24","29","null","null","0","17","null","null","68","null","54","null","0","null","17","null","37","40","null","null","25","40","null","null","13","21","null","null","13","20","null","null","0","null","17","null","31","null","50","null","0","17","null","null",
"1400000US04019004116","Census Tract 41.16, Pima County, Arizona","253","57","null","null","0","12","null","null","32","33","null","null","13","null","18","null","45","null","30","null","16","18","null","null","15","14","null","null","17","15","null","null","35","null","30","null","5","null","9","null","38","25","null","null","22","15","null","null","0","12","null","null","4","7","null","null","0","null","12","null","11","null","17","null","0","12","null","null",
"1400000US04019004117","Census Tract 41.17, Pima County, Arizona","371","115","null","null","27","43","null","null","7","11","null","null","55","null","45","null","24","null","20","null","8","12","null","null","33","32","null","null","43","47","null","null","18","null","21","null","6","null","11","null","19","23","null","null","26","33","null","null","59","52","null","null","23","26","null","null","12","null","19","null","0","null","17","null","11","17","null","null",
"1400000US04019004118","Census Tract 41.18, Pima County, Arizona","582","131","null","null","27","26","null","null","11","16","null","null","14","null","22","null","26","null","19","null","31","25","null","null","36","28","null","null","30","40","null","null","75","null","52","null","17","null","19","null","53","36","null","null","53","48","null","null","140","82","null","null","29","25","null","null","29","null","26","null","0","null","12","null","11","19","null","null",
"1400000US04019004119","Census Tract 41.19, Pima County, Arizona","2637","209","null","null","15","24","null","null","102","62","null","null","39","null","36","null","75","null","55","null","97","83","null","null","170","110","null","null","114","78","null","null","99","null","58","null","93","null","59","null","317","146","null","null","343","102","null","null","564","127","null","null","228","87","null","null","171","null","79","null","127","null","66","null","83","56","null","null",
"1400000US04019004120","Census Tract 41.20, Pima County, Arizona","225","51","null","null","5","7","null","null","20","29","null","null","10","null","11","null","5","null","8","null","9","10","null","null","15","24","null","null","4","7","null","null","20","null","25","null","5","null","8","null","5","8","null","null","30","26","null","null","20","16","null","null","39","26","null","null","10","null","11","null","18","null","23","null","10","11","null","null",
"1400000US04019004121","Census Tract 41.21, Pima County, Arizona","634","126","null","null","25","27","null","null","53","52","null","null","26","null","34","null","0","null","17","null","20","23","null","null","47","50","null","null","49","39","null","null","12","null","14","null","37","null","39","null","51","37","null","null","140","82","null","null","136","62","null","null","32","36","null","null","0","null","17","null","0","null","17","null","6","10","null","null",
"1400000US04019004122","Census Tract 41.22, Pima County, Arizona","201","73","null","null","11","17","null","null","21","29","null","null","16","null","25","null","0","null","12","null","43","34","null","null","0","12","null","null","9","15","null","null","6","null","9","null","0","null","12","null","8","13","null","null","22","27","null","null","17","19","null","null","0","12","null","null","31","null","29","null","0","null","12","null","17","29","null","null",
