"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1042","null","140","null","76","35","null","null","71","null","51","null","96","null","43","null","29","null","19","null","69","null","35","null","67","39","null","null","117","68","null","null","86","50","null","null","67","null","43","null","79","33","null","null","73","null","39","null","91","48","null","null","57","null","39","null","15","null","24","null","21","31","null","null","28","null","35","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","1319","null","176","null","145","79","null","null","70","null","44","null","224","null","134","null","86","null","59","null","115","null","72","null","63","50","null","null","78","63","null","null","95","71","null","null","89","null","68","null","205","96","null","null","25","null","29","null","41","38","null","null","68","null","47","null","15","null","23","null","0","13","null","null","0","null","13","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","2028","null","170","null","147","107","null","null","48","null","74","null","172","null","109","null","109","null","78","null","156","null","137","null","109","70","null","null","139","94","null","null","172","105","null","null","152","null","86","null","265","149","null","null","113","null","89","null","208","85","null","null","90","null","68","null","98","null","84","null","26","31","null","null","24","null","27","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1251","null","150","null","89","64","null","null","35","null","35","null","61","null","46","null","87","null","54","null","84","null","51","null","89","83","null","null","56","39","null","null","4","7","null","null","74","null","52","null","290","103","null","null","71","null","39","null","141","76","null","null","82","null","89","null","60","null","40","null","15","18","null","null","13","null","20","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","824","null","97","null","130","48","null","null","88","null","36","null","63","null","36","null","58","null","29","null","96","null","45","null","27","19","null","null","31","21","null","null","75","45","null","null","42","null","26","null","50","47","null","null","51","null","28","null","44","28","null","null","20","null","20","null","25","null","25","null","14","16","null","null","10","null","12","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","1108","null","101","null","108","39","null","null","90","null","33","null","40","null","21","null","100","null","34","null","61","null","26","null","77","38","null","null","29","14","null","null","87","25","null","null","71","null","32","null","75","29","null","null","91","null","31","null","127","51","null","null","79","null","32","null","49","null","28","null","22","20","null","null","2","null","3","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","193","null","63","null","23","26","null","null","22","null","23","null","22","null","35","null","3","null","4","null","0","null","13","null","9","15","null","null","6","10","null","null","10","16","null","null","10","null","13","null","9","15","null","null","30","null","26","null","23","23","null","null","6","null","10","null","13","null","18","null","7","11","null","null","0","null","13","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","160","null","55","null","6","10","null","null","5","null","9","null","15","null","18","null","16","null","19","null","8","null","13","null","7","11","null","null","12","15","null","null","0","13","null","null","0","null","13","null","7","12","null","null","21","null","18","null","27","34","null","null","8","null","13","null","6","null","11","null","11","15","null","null","11","null","18","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","242","null","79","null","11","17","null","null","6","null","11","null","36","null","29","null","24","null","22","null","12","null","18","null","9","15","null","null","22","21","null","null","11","17","null","null","0","null","13","null","14","17","null","null","60","null","52","null","21","23","null","null","8","null","14","null","8","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","56","null","37","null","29","26","null","null","0","null","13","null","0","null","13","null","6","null","11","null","0","null","13","null","0","13","null","null","10","15","null","null","0","13","null","null","6","null","11","null","0","13","null","null","5","null","10","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","79","null","44","null","0","13","null","null","12","null","19","null","21","null","24","null","6","null","9","null","0","null","13","null","0","13","null","null","0","13","null","null","15","17","null","null","0","null","13","null","0","13","null","null","8","null","11","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","17","null","25","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","711","null","95","null","120","53","null","null","62","null","40","null","25","null","20","null","41","null","29","null","64","null","35","null","75","46","null","null","48","55","null","null","19","15","null","null","17","null","20","null","104","69","null","null","38","null","37","null","31","31","null","null","28","null","26","null","15","null","23","null","19","29","null","null","5","null","9","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","1002","null","153","null","191","86","null","null","63","null","46","null","34","null","31","null","59","null","55","null","60","null","47","null","101","63","null","null","74","57","null","null","12","19","null","null","54","null","50","null","58","34","null","null","62","null","36","null","95","49","null","null","104","null","80","null","29","null","27","null","0","13","null","null","6","null","10","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","714","null","117","null","77","46","null","null","27","null","26","null","109","null","76","null","21","null","20","null","24","null","25","null","49","34","null","null","19","20","null","null","34","32","null","null","12","null","16","null","63","47","null","null","80","null","59","null","84","46","null","null","47","null","32","null","39","null","27","null","13","15","null","null","16","null","18","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","1821","null","187","null","244","117","null","null","94","null","51","null","71","null","48","null","83","null","56","null","92","null","56","null","191","96","null","null","72","61","null","null","67","48","null","null","113","null","104","null","182","72","null","null","79","null","58","null","358","157","null","null","48","null","42","null","115","null","71","null","9","14","null","null","3","null","5","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","373","null","102","null","12","19","null","null","0","null","13","null","3","null","6","null","32","null","33","null","45","null","44","null","30","30","null","null","94","95","null","null","14","14","null","null","6","null","9","null","6","9","null","null","64","null","62","null","62","52","null","null","0","null","13","null","0","null","13","null","5","8","null","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","132","null","38","null","0","13","null","null","0","null","13","null","3","null","5","null","0","null","13","null","14","null","17","null","0","13","null","null","0","13","null","null","9","10","null","null","28","null","24","null","7","9","null","null","33","null","21","null","14","16","null","null","7","null","9","null","4","null","7","null","13","13","null","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","1007","null","142","null","149","93","null","null","68","null","46","null","95","null","88","null","16","null","19","null","36","null","47","null","74","79","null","null","15","19","null","null","8","14","null","null","33","null","38","null","117","66","null","null","137","null","98","null","134","59","null","null","87","null","90","null","12","null","18","null","17","26","null","null","9","null","16","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","1036","null","152","null","130","86","null","null","23","null","30","null","47","null","39","null","46","null","43","null","59","null","45","null","102","75","null","null","65","45","null","null","105","92","null","null","22","null","33","null","173","101","null","null","60","null","43","null","91","60","null","null","38","null","46","null","31","null","40","null","44","43","null","null","0","null","13","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","1343","null","205","null","100","66","null","null","118","null","96","null","23","null","36","null","36","null","46","null","56","null","59","null","50","56","null","null","31","41","null","null","36","55","null","null","112","null","86","null","52","40","null","null","241","null","108","null","242","111","null","null","64","null","60","null","86","null","71","null","95","92","null","null","1","null","25","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","958","null","151","null","91","57","null","null","131","null","98","null","66","null","46","null","51","null","41","null","0","null","13","null","37","32","null","null","75","53","null","null","56","51","null","null","66","null","58","null","87","63","null","null","55","null","45","null","124","81","null","null","42","null","43","null","36","null","31","null","41","37","null","null","0","null","13","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","1258","null","223","null","68","82","null","null","87","null","62","null","54","null","84","null","0","null","13","null","102","null","62","null","0","13","null","null","33","43","null","null","119","74","null","null","26","null","31","null","154","87","null","null","166","null","144","null","159","73","null","null","232","null","122","null","20","null","31","null","25","27","null","null","13","null","21","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1000","null","156","null","147","102","null","null","95","null","64","null","26","null","32","null","82","null","57","null","89","null","92","null","30","35","null","null","58","44","null","null","75","109","null","null","11","null","20","null","39","41","null","null","51","null","37","null","164","89","null","null","42","null","26","null","66","null","41","null","16","25","null","null","9","null","11","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","1391","null","178","null","49","46","null","null","31","null","36","null","20","null","27","null","110","null","99","null","124","null","100","null","58","58","null","null","16","26","null","null","21","31","null","null","117","null","71","null","213","124","null","null","64","null","52","null","349","121","null","null","70","null","66","null","94","null","73","null","55","52","null","null","0","null","13","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","3009","null","242","null","78","57","null","null","45","null","32","null","44","null","44","null","68","null","73","null","65","null","59","null","105","69","null","null","37","34","null","null","140","95","null","null","84","null","47","null","205","95","null","null","423","null","126","null","578","135","null","null","426","null","144","null","263","null","115","null","217","94","null","null","231","null","108","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","2085","null","168","null","15","25","null","null","79","null","52","null","78","null","58","null","27","null","31","null","13","null","21","null","63","50","null","null","80","58","null","null","0","18","null","null","47","null","44","null","144","81","null","null","187","null","78","null","317","110","null","null","334","null","113","null","192","null","98","null","170","79","null","null","339","null","131","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","1330","null","203","null","60","48","null","null","64","null","62","null","93","null","71","null","87","null","53","null","114","null","69","null","158","97","null","null","67","60","null","null","103","85","null","null","16","null","27","null","112","75","null","null","99","null","77","null","110","70","null","null","101","null","62","null","87","null","66","null","59","53","null","null","0","null","13","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","1409","null","133","null","167","116","null","null","96","null","99","null","23","null","29","null","49","null","52","null","37","null","36","null","98","59","null","null","53","49","null","null","139","77","null","null","51","null","58","null","64","48","null","null","154","null","103","null","204","116","null","null","95","null","60","null","113","null","67","null","29","30","null","null","37","null","36","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","1768","null","194","null","90","58","null","null","73","null","62","null","103","null","101","null","12","null","18","null","131","null","104","null","108","72","null","null","99","86","null","null","59","43","null","null","104","null","82","null","307","142","null","null","86","null","57","null","318","133","null","null","90","null","53","null","21","null","26","null","79","67","null","null","88","null","90","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1228","null","128","null","75","45","null","null","20","null","23","null","42","null","29","null","9","null","14","null","9","null","14","null","51","34","null","null","58","53","null","null","27","20","null","null","66","null","36","null","62","42","null","null","122","null","55","null","232","76","null","null","220","null","86","null","82","null","43","null","95","45","null","null","58","null","36","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1369","null","142","null","54","31","null","null","71","null","61","null","40","null","26","null","84","null","37","null","26","null","24","null","93","66","null","null","40","29","null","null","60","33","null","null","79","null","55","null","123","71","null","null","199","null","82","null","174","71","null","null","85","null","46","null","85","null","61","null","66","37","null","null","90","null","50","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","1147","null","175","null","101","76","null","null","113","null","76","null","38","null","56","null","44","null","41","null","129","null","71","null","50","47","null","null","71","59","null","null","11","17","null","null","18","null","32","null","135","105","null","null","60","null","35","null","147","89","null","null","131","null","73","null","18","null","22","null","37","37","null","null","44","null","37","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1189","null","118","null","28","44","null","null","13","null","16","null","41","null","31","null","28","null","25","null","65","null","44","null","94","63","null","null","97","67","null","null","23","23","null","null","77","null","53","null","73","38","null","null","187","null","73","null","167","69","null","null","129","null","64","null","72","null","57","null","60","38","null","null","35","null","28","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","878","null","104","null","23","21","null","null","26","null","25","null","43","null","29","null","22","null","25","null","57","null","35","null","7","13","null","null","55","49","null","null","45","43","null","null","56","null","34","null","97","60","null","null","152","null","70","null","119","56","null","null","72","null","56","null","68","null","60","null","17","21","null","null","19","null","23","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","1924","null","207","null","0","18","null","null","46","null","49","null","80","null","89","null","118","null","64","null","87","null","66","null","70","52","null","null","87","78","null","null","76","92","null","null","124","null","93","null","217","91","null","null","70","null","50","null","315","127","null","null","159","null","95","null","155","null","73","null","94","66","null","null","226","null","119","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","1067","null","126","null","102","60","null","null","38","null","40","null","7","null","11","null","40","null","32","null","15","null","19","null","58","41","null","null","38","32","null","null","19","18","null","null","23","null","23","null","124","80","null","null","147","null","62","null","171","74","null","null","107","null","67","null","37","null","27","null","98","51","null","null","43","null","31","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","1056","null","150","null","228","88","null","null","88","null","84","null","62","null","56","null","125","null","71","null","86","null","61","null","93","53","null","null","0","13","null","null","116","59","null","null","28","null","24","null","19","21","null","null","86","null","55","null","102","61","null","null","23","null","22","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","1854","null","206","null","140","80","null","null","50","null","46","null","103","null","101","null","113","null","67","null","102","null","85","null","98","67","null","null","94","80","null","null","75","52","null","null","26","null","33","null","86","53","null","null","138","null","75","null","284","121","null","null","115","null","63","null","221","null","88","null","62","43","null","null","147","null","76","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","357","null","72","null","126","64","null","null","75","null","47","null","47","null","40","null","46","null","45","null","4","null","7","null","0","18","null","null","0","18","null","null","33","14","null","null","0","null","18","null","15","19","null","null","0","null","18","null","11","18","null","null","0","null","18","null","0","null","18","null","0","18","null","null","0","null","18","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","1531","null","157","null","155","85","null","null","60","null","67","null","28","null","24","null","56","null","30","null","57","null","50","null","44","34","null","null","52","38","null","null","26","31","null","null","34","null","29","null","74","48","null","null","216","null","152","null","224","98","null","null","251","null","81","null","113","null","82","null","100","49","null","null","41","null","42","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","1892","null","272","null","338","127","null","null","180","null","104","null","121","null","67","null","77","null","54","null","103","null","67","null","89","116","null","null","198","125","null","null","60","55","null","null","115","null","92","null","211","105","null","null","121","null","84","null","110","70","null","null","90","null","87","null","45","null","56","null","34","35","null","null","0","null","18","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","1012","null","130","null","88","65","null","null","67","null","58","null","25","null","25","null","45","null","37","null","53","null","48","null","95","50","null","null","16","18","null","null","99","78","null","null","58","null","42","null","94","58","null","null","75","null","59","null","131","79","null","null","46","null","36","null","49","null","38","null","50","29","null","null","21","null","19","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","1488","null","139","null","19","23","null","null","11","null","18","null","18","null","27","null","84","null","77","null","21","null","25","null","52","59","null","null","40","40","null","null","83","69","null","null","21","null","24","null","135","105","null","null","207","null","106","null","289","114","null","null","204","null","101","null","114","null","64","null","128","86","null","null","62","null","45","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","1533","null","182","null","70","53","null","null","12","null","21","null","64","null","46","null","90","null","55","null","114","null","77","null","26","27","null","null","24","21","null","null","95","98","null","null","34","null","34","null","131","67","null","null","107","null","56","null","316","119","null","null","192","null","87","null","145","null","75","null","95","55","null","null","18","null","22","null",
