"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013216902","Census Tract 2169.02, Maricopa County, Arizona","1663","null","104","null","60","54","null","null","42","null","43","null","33","26","null","null","66","null","42","null","101","null","54","null","50","null","45","null","88","null","48","null","138","80","null","null","111","null","60","null","153","null","67","null","147","null","65","null","188","null","72","null","245","null","83","null","39","31","null","null","64","null","40","null","138","null","78","null",
"1400000US04013217001","Census Tract 2170.01, Maricopa County, Arizona","2649","null","188","null","126","103","null","null","62","null","47","null","145","74","null","null","230","null","149","null","152","null","89","null","43","null","39","null","99","null","83","null","89","54","null","null","124","null","65","null","200","null","107","null","288","null","136","null","383","null","133","null","329","null","128","null","98","63","null","null","148","null","90","null","133","null","65","null",
"1400000US04013217002","Census Tract 2170.02, Maricopa County, Arizona","2057","null","193","null","88","66","null","null","80","null","89","null","136","93","null","null","92","null","53","null","75","null","55","null","61","null","55","null","8","null","13","null","86","68","null","null","136","null","114","null","101","null","57","null","352","null","153","null","342","null","138","null","147","null","99","null","84","65","null","null","91","null","68","null","178","null","110","null",
"1400000US04013217101","Census Tract 2171.01, Maricopa County, Arizona","1028","null","122","null","89","55","null","null","28","null","30","null","30","24","null","null","86","null","63","null","47","null","34","null","33","null","45","null","64","null","41","null","78","52","null","null","21","null","25","null","37","null","32","null","172","null","72","null","124","null","72","null","52","null","42","null","29","31","null","null","79","null","53","null","59","null","37","null",
"1400000US04013217102","Census Tract 2171.02, Maricopa County, Arizona","1220","null","83","null","73","50","null","null","8","null","13","null","9","13","null","null","33","null","43","null","34","null","28","null","25","null","23","null","5","null","8","null","15","18","null","null","41","null","42","null","139","null","63","null","208","null","94","null","111","null","53","null","165","null","74","null","193","91","null","null","63","null","35","null","98","null","57","null",
"1400000US04013217201","Census Tract 2172.01, Maricopa County, Arizona","708","null","100","null","74","41","null","null","32","null","31","null","37","41","null","null","46","null","38","null","9","null","9","null","5","null","7","null","13","null","12","null","5","7","null","null","59","null","41","null","48","null","29","null","84","null","42","null","98","null","46","null","55","null","28","null","45","34","null","null","41","null","27","null","57","null","31","null",
"1400000US04013217203","Census Tract 2172.03, Maricopa County, Arizona","1823","null","188","null","96","50","null","null","36","null","30","null","98","46","null","null","84","null","40","null","128","null","66","null","66","null","37","null","84","null","41","null","99","45","null","null","83","null","46","null","113","null","68","null","238","null","98","null","235","null","96","null","119","null","60","null","63","53","null","null","80","null","41","null","201","null","90","null",
"1400000US04013217204","Census Tract 2172.04, Maricopa County, Arizona","1346","null","153","null","98","65","null","null","71","null","49","null","28","28","null","null","110","null","61","null","64","null","54","null","59","null","59","null","101","null","68","null","141","88","null","null","63","null","38","null","85","null","53","null","148","null","74","null","188","null","96","null","42","null","34","null","79","70","null","null","54","null","41","null","15","null","17","null",
"1400000US04013217300","Census Tract 2173, Maricopa County, Arizona","1651","null","166","null","76","44","null","null","58","null","54","null","29","26","null","null","64","null","36","null","10","null","15","null","100","null","73","null","37","null","29","null","69","51","null","null","80","null","60","null","74","null","38","null","103","null","62","null","140","null","65","null","143","null","69","null","83","48","null","null","139","null","76","null","446","null","120","null",
"1400000US04013217400","Census Tract 2174, Maricopa County, Arizona","1535","null","125","null","140","79","null","null","16","null","18","null","153","73","null","null","99","null","63","null","58","null","44","null","51","null","30","null","68","null","42","null","47","46","null","null","51","null","40","null","99","null","56","null","127","null","52","null","128","null","64","null","154","null","65","null","53","35","null","null","138","null","59","null","153","null","76","null",
