"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013614200","Census Tract 6142, Maricopa County, Arizona","1743","104","null","null","11","19","null","null","126","null","87","null","0","132","null","null","16","20","null","null","79","null","52","null","37","null","31","null","63","38","null","null","11","20","null","null","96","null","58","null","75","44","null","null","200","null","84","null","187","70","null","null","187","70","null","null","251","null","83","null","265","86","null","null","139","null","63","null",
"1400000US04013614300","Census Tract 6143, Maricopa County, Arizona","945","114","null","null","30","47","null","null","13","null","20","null","12","19","null","null","12","19","null","null","15","null","23","null","0","null","132","null","0","132","null","null","0","132","null","null","75","null","57","null","55","54","null","null","93","null","72","null","160","71","null","null","135","66","null","null","64","null","46","null","123","96","null","null","158","null","94","null",
"1400000US04013614400","Census Tract 6144, Maricopa County, Arizona","1104","101","null","null","64","51","null","null","0","null","132","null","45","33","null","null","29","27","null","null","23","null","23","null","87","null","60","null","82","53","null","null","28","29","null","null","71","null","51","null","213","81","null","null","99","null","63","null","184","81","null","null","89","52","null","null","61","null","56","null","20","22","null","null","9","null","15","null",
"1400000US04013614500","Census Tract 6145, Maricopa County, Arizona","1267","189","null","null","83","76","null","null","156","null","123","null","23","29","null","null","15","27","null","null","19","null","20","null","14","null","24","null","24","29","null","null","69","43","null","null","77","null","61","null","95","58","null","null","160","null","91","null","234","76","null","null","112","79","null","null","85","null","58","null","43","39","null","null","58","null","78","null",
"1400000US04013614600","Census Tract 6146, Maricopa County, Arizona","2389","226","null","null","53","43","null","null","70","null","74","null","53","50","null","null","56","51","null","null","134","null","98","null","247","null","133","null","233","129","null","null","209","116","null","null","148","null","92","null","188","106","null","null","287","null","146","null","418","165","null","null","129","80","null","null","97","null","91","null","67","61","null","null","0","null","132","null",
"1400000US04013614700","Census Tract 6147, Maricopa County, Arizona","990","136","null","null","74","63","null","null","71","null","62","null","36","34","null","null","94","62","null","null","142","null","75","null","74","null","67","null","139","81","null","null","52","54","null","null","78","null","68","null","74","53","null","null","75","null","62","null","32","31","null","null","38","37","null","null","0","null","132","null","0","132","null","null","11","null","18","null",
"1400000US04013614800","Census Tract 6148, Maricopa County, Arizona","1411","145","null","null","13","21","null","null","24","null","33","null","0","132","null","null","59","43","null","null","147","null","84","null","47","null","32","null","125","56","null","null","180","100","null","null","99","null","65","null","140","59","null","null","182","null","79","null","244","83","null","null","105","71","null","null","46","null","72","null","0","132","null","null","0","null","132","null",
"1400000US04013614900","Census Tract 6149, Maricopa County, Arizona","1182","125","null","null","13","21","null","null","27","null","36","null","38","34","null","null","74","69","null","null","47","null","57","null","51","null","64","null","76","59","null","null","67","44","null","null","24","null","27","null","27","28","null","null","142","null","73","null","108","73","null","null","172","68","null","null","130","null","85","null","96","56","null","null","90","null","68","null",
"1400000US04013615000","Census Tract 6150, Maricopa County, Arizona","1744","183","null","null","20","25","null","null","26","null","29","null","93","62","null","null","90","72","null","null","25","null","29","null","36","null","34","null","82","47","null","null","50","61","null","null","78","null","50","null","143","80","null","null","183","null","83","null","157","68","null","null","125","66","null","null","114","null","62","null","179","63","null","null","343","null","110","null",
"1400000US04013615100","Census Tract 6151, Maricopa County, Arizona","1056","103","null","null","6","11","null","null","38","null","55","null","7","12","null","null","12","20","null","null","19","null","32","null","0","null","132","null","32","33","null","null","33","36","null","null","44","null","41","null","36","33","null","null","75","null","53","null","180","96","null","null","101","65","null","null","78","null","53","null","141","91","null","null","254","null","100","null",
"1400000US04013615200","Census Tract 6152, Maricopa County, Arizona","2044","241","null","null","135","96","null","null","8","null","12","null","31","34","null","null","32","38","null","null","84","null","68","null","125","null","79","null","181","110","null","null","100","74","null","null","130","null","82","null","79","57","null","null","194","null","98","null","292","104","null","null","141","79","null","null","81","null","50","null","219","73","null","null","212","null","67","null",
"1400000US04013615300","Census Tract 6153, Maricopa County, Arizona","1287","131","null","null","90","58","null","null","10","null","16","null","77","40","null","null","74","45","null","null","97","null","51","null","77","null","46","null","59","40","null","null","87","47","null","null","67","null","41","null","177","88","null","null","179","null","63","null","210","84","null","null","43","29","null","null","9","null","15","null","20","23","null","null","11","null","17","null",
"1400000US04013615400","Census Tract 6154, Maricopa County, Arizona","1561","117","null","null","92","55","null","null","101","null","69","null","92","59","null","null","124","66","null","null","119","null","55","null","247","null","75","null","96","51","null","null","99","49","null","null","69","null","40","null","121","46","null","null","216","null","85","null","113","58","null","null","43","35","null","null","12","null","19","null","7","11","null","null","10","null","16","null",
