"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019003303","Census Tract 33.03, Pima County, Arizona","1358","165","null","null","266","null","117","null","165","null","100","null","108","null","58","null","71","null","46","null","100","74","null","null","34","32","null","null","67","null","63","null","71","null","53","null","12","null","20","null","115","75","null","null","156","80","null","null","104","null","60","null","35","null","38","null","36","null","32","null","12","null","20","null","6","12","null","null",
"1400000US04019003304","Census Tract 33.04, Pima County, Arizona","918","163","null","null","28","null","32","null","103","null","97","null","68","null","59","null","116","null","65","null","39","39","null","null","0","13","null","null","30","null","29","null","59","null","80","null","25","null","30","null","57","46","null","null","131","61","null","null","77","null","54","null","52","null","47","null","66","null","62","null","49","null","42","null","18","23","null","null",
"1400000US04019003400","Census Tract 34, Pima County, Arizona","1566","153","null","null","126","null","88","null","72","null","59","null","65","null","65","null","134","null","94","null","76","69","null","null","48","43","null","null","68","null","53","null","56","null","49","null","136","null","83","null","66","52","null","null","167","85","null","null","256","null","104","null","158","null","83","null","71","null","60","null","50","null","35","null","17","27","null","null",
"1400000US04019003501","Census Tract 35.01, Pima County, Arizona","1180","209","null","null","167","null","98","null","128","null","68","null","166","null","113","null","161","null","113","null","93","60","null","null","80","63","null","null","21","null","26","null","60","null","55","null","45","null","39","null","22","25","null","null","96","71","null","null","104","null","63","null","37","null","29","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04019003502","Census Tract 35.02, Pima County, Arizona","959","156","null","null","114","null","80","null","70","null","55","null","105","null","74","null","25","null","28","null","39","30","null","null","29","31","null","null","40","null","35","null","39","null","43","null","81","null","68","null","163","66","null","null","74","47","null","null","114","null","62","null","32","null","49","null","16","null","25","null","18","null","21","null","0","13","null","null",
"1400000US04019003503","Census Tract 35.03, Pima County, Arizona","684","114","null","null","81","null","48","null","14","null","16","null","60","null","57","null","83","null","53","null","45","34","null","null","48","41","null","null","84","null","59","null","55","null","36","null","78","null","58","null","35","33","null","null","23","21","null","null","53","null","36","null","7","null","12","null","10","null","16","null","0","null","13","null","8","13","null","null",
"1400000US04019003504","Census Tract 35.04, Pima County, Arizona","593","80","null","null","45","null","29","null","41","null","41","null","49","null","35","null","26","null","22","null","42","34","null","null","53","43","null","null","0","null","13","null","38","null","31","null","30","null","29","null","56","35","null","null","101","64","null","null","79","null","49","null","27","null","28","null","0","null","13","null","6","null","12","null","0","13","null","null",
"1400000US04019003600","Census Tract 36, Pima County, Arizona","860","141","null","null","40","null","40","null","23","null","25","null","19","null","20","null","21","null","20","null","53","35","null","null","118","60","null","null","42","null","39","null","40","null","40","null","88","null","59","null","164","94","null","null","111","53","null","null","57","null","46","null","38","null","43","null","36","null","43","null","10","null","16","null","0","19","null","null",
"1400000US04019003702","Census Tract 37.02, Pima County, Arizona","201","97","null","null","35","null","40","null","16","null","24","null","27","null","22","null","29","null","35","null","0","19","null","null","0","19","null","null","38","null","44","null","12","null","19","null","0","null","19","null","44","39","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04019003704","Census Tract 37.04, Pima County, Arizona","122","59","null","null","16","null","18","null","8","null","13","null","13","null","21","null","0","null","13","null","0","13","null","null","30","26","null","null","0","null","13","null","10","null","15","null","0","null","13","null","45","44","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019003705","Census Tract 37.05, Pima County, Arizona","240","94","null","null","51","null","51","null","9","null","13","null","0","null","19","null","13","null","16","null","19","22","null","null","6","10","null","null","24","null","28","null","20","null","34","null","6","null","10","null","0","19","null","null","48","49","null","null","44","null","37","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04019003706","Census Tract 37.06, Pima County, Arizona","323","90","null","null","46","null","55","null","27","null","36","null","28","null","31","null","15","null","18","null","21","31","null","null","42","47","null","null","25","null","24","null","12","null","14","null","54","null","59","null","19","22","null","null","12","19","null","null","22","null","23","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04019003707","Census Tract 37.07, Pima County, Arizona","131","58","null","null","20","null","21","null","13","null","19","null","8","null","11","null","0","null","13","null","0","13","null","null","8","15","null","null","0","null","13","null","7","null","14","null","18","null","30","null","10","16","null","null","17","17","null","null","2","null","11","null","28","null","40","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019003801","Census Tract 38.01, Pima County, Arizona","43","24","null","null","0","null","13","null","0","null","13","null","3","null","7","null","7","null","12","null","0","13","null","null","20","20","null","null","0","null","13","null","0","null","13","null","0","null","13","null","2","7","null","null","0","13","null","null","11","null","14","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019003802","Census Tract 38.02, Pima County, Arizona","99","51","null","null","21","null","23","null","14","null","23","null","26","null","29","null","0","null","19","null","9","15","null","null","8","13","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","21","23","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04019003901","Census Tract 39.01, Pima County, Arizona","27","24","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","2","3","null","null","0","null","13","null","3","null","7","null","11","null","13","null","11","18","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019003902","Census Tract 39.02, Pima County, Arizona","103","35","null","null","8","null","14","null","34","null","26","null","7","null","11","null","3","null","6","null","10","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","27","19","null","null","0","null","13","null","14","null","21","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019003903","Census Tract 39.03, Pima County, Arizona","117","52","null","null","6","null","9","null","5","null","9","null","13","null","14","null","24","null","26","null","6","11","null","null","0","13","null","null","7","null","11","null","6","null","10","null","26","null","31","null","16","17","null","null","0","13","null","null","2","null","9","null","6","null","11","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1400000US04019004008","Census Tract 40.08, Pima County, Arizona","1243","125","null","null","97","null","51","null","61","null","42","null","29","null","26","null","70","null","51","null","47","44","null","null","117","54","null","null","70","null","42","null","137","null","75","null","52","null","42","null","132","52","null","null","136","57","null","null","219","null","99","null","34","null","29","null","42","null","31","null","0","null","13","null","0","13","null","null",
"1400000US04019004010","Census Tract 40.10, Pima County, Arizona","1073","156","null","null","129","null","73","null","99","null","66","null","83","null","80","null","16","null","18","null","108","74","null","null","12","19","null","null","112","null","67","null","15","null","18","null","32","null","26","null","72","39","null","null","142","71","null","null","144","null","74","null","80","null","41","null","0","null","13","null","29","null","29","null","0","13","null","null",
"1400000US04019004011","Census Tract 40.11, Pima County, Arizona","2159","271","null","null","112","null","52","null","195","null","122","null","85","null","69","null","186","null","117","null","212","113","null","null","202","111","null","null","94","null","56","null","93","null","58","null","109","null","71","null","248","103","null","null","290","120","null","null","161","null","71","null","95","null","61","null","35","null","32","null","42","null","28","null","0","19","null","null",
"1400000US04019004022","Census Tract 40.22, Pima County, Arizona","2127","178","null","null","24","null","28","null","31","null","35","null","52","null","49","null","79","null","56","null","142","74","null","null","39","37","null","null","135","null","76","null","121","null","86","null","87","null","62","null","365","126","null","null","312","99","null","null","277","null","111","null","164","null","80","null","174","null","84","null","68","null","56","null","57","53","null","null",
"1400000US04019004025","Census Tract 40.25, Pima County, Arizona","2362","158","null","null","28","null","32","null","44","null","40","null","24","null","30","null","59","null","49","null","96","61","null","null","70","56","null","null","72","null","72","null","70","null","47","null","162","null","81","null","123","65","null","null","265","121","null","null","434","null","140","null","155","null","100","null","173","null","91","null","229","null","103","null","358","112","null","null",
"1400000US04019004026","Census Tract 40.26, Pima County, Arizona","1943","142","null","null","55","null","48","null","65","null","68","null","48","null","41","null","52","null","46","null","99","57","null","null","50","42","null","null","62","null","57","null","64","null","46","null","27","null","31","null","186","124","null","null","382","158","null","null","255","null","82","null","246","null","87","null","142","null","74","null","104","null","64","null","106","60","null","null",
"1400000US04019004029","Census Tract 40.29, Pima County, Arizona","1156","115","null","null","45","null","39","null","50","null","41","null","76","null","65","null","64","null","49","null","142","84","null","null","34","32","null","null","56","null","38","null","158","null","94","null","41","null","33","null","131","63","null","null","141","73","null","null","105","null","54","null","94","null","66","null","9","null","14","null","10","null","16","null","0","13","null","null",
"1400000US04019004030","Census Tract 40.30, Pima County, Arizona","674","50","null","null","4","null","7","null","0","null","13","null","9","null","10","null","5","null","7","null","11","14","null","null","0","13","null","null","9","null","13","null","33","null","29","null","12","null","19","null","35","24","null","null","78","54","null","null","113","null","42","null","108","null","57","null","61","null","37","null","37","null","24","null","159","64","null","null",
"1400000US04019004031","Census Tract 40.31, Pima County, Arizona","1984","206","null","null","64","null","56","null","124","null","117","null","78","null","66","null","173","null","105","null","103","85","null","null","81","52","null","null","188","null","123","null","65","null","49","null","19","null","30","null","247","97","null","null","106","60","null","null","320","null","103","null","201","null","109","null","75","null","62","null","70","null","50","null","70","58","null","null",
"1400000US04019004032","Census Tract 40.32, Pima County, Arizona","1298","127","null","null","55","null","41","null","86","null","46","null","55","null","52","null","73","null","54","null","95","59","null","null","62","50","null","null","172","null","80","null","67","null","43","null","54","null","32","null","199","97","null","null","134","67","null","null","82","null","40","null","86","null","56","null","10","null","15","null","60","null","41","null","8","13","null","null",
"1400000US04019004033","Census Tract 40.33, Pima County, Arizona","979","144","null","null","139","null","81","null","23","null","22","null","84","null","48","null","38","null","31","null","100","69","null","null","78","52","null","null","9","null","14","null","97","null","61","null","41","null","32","null","67","39","null","null","135","76","null","null","92","null","58","null","25","null","29","null","15","null","24","null","36","null","39","null","0","13","null","null",
"1400000US04019004034","Census Tract 40.34, Pima County, Arizona","725","101","null","null","48","null","38","null","46","null","45","null","12","null","20","null","61","null","58","null","30","28","null","null","76","53","null","null","77","null","56","null","25","null","37","null","37","null","31","null","61","54","null","null","93","61","null","null","82","null","47","null","30","null","28","null","39","null","36","null","8","null","13","null","0","13","null","null",
"1400000US04019004035","Census Tract 40.35, Pima County, Arizona","1230","148","null","null","68","null","44","null","108","null","66","null","42","null","35","null","91","null","44","null","93","52","null","null","79","46","null","null","136","null","70","null","148","null","80","null","70","null","41","null","167","71","null","null","144","70","null","null","68","null","45","null","0","null","13","null","0","null","13","null","16","null","24","null","0","13","null","null",
"1400000US04019004036","Census Tract 40.36, Pima County, Arizona","733","113","null","null","7","null","12","null","27","null","24","null","45","null","48","null","15","null","17","null","48","53","null","null","73","56","null","null","83","null","42","null","67","null","43","null","15","null","17","null","46","31","null","null","98","51","null","null","98","null","44","null","83","null","55","null","11","null","17","null","17","null","26","null","0","13","null","null",
"1400000US04019004037","Census Tract 40.37, Pima County, Arizona","706","101","null","null","0","null","13","null","61","null","55","null","10","null","15","null","43","null","31","null","37","30","null","null","55","40","null","null","11","null","16","null","78","null","63","null","29","null","26","null","46","32","null","null","145","58","null","null","57","null","44","null","89","null","44","null","19","null","25","null","17","null","20","null","9","14","null","null",
