"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013422637","Census Tract 4226.37, Maricopa County, Arizona","944","138","null","null","0","null","13","null","0","13","null","null","0","13","null","null","15","19","null","null","5","9","null","null","0","13","null","null","18","null","20","null","76","null","55","null","55","51","null","null","140","101","null","null","196","null","109","null","174","null","84","null","205","null","78","null","51","null","52","null","8","14","null","null","1","8","null","null",
"1400000US04013422638","Census Tract 4226.38, Maricopa County, Arizona","993","187","null","null","184","null","128","null","35","42","null","null","92","87","null","null","60","45","null","null","55","40","null","null","21","34","null","null","0","null","13","null","104","null","83","null","10","16","null","null","12","14","null","null","134","null","102","null","171","null","86","null","23","null","20","null","48","null","42","null","13","20","null","null","31","36","null","null",
"1400000US04013422639","Census Tract 4226.39, Maricopa County, Arizona","2034","160","null","null","187","null","103","null","164","99","null","null","93","65","null","null","104","90","null","null","142","115","null","null","156","90","null","null","207","null","124","null","138","null","79","null","100","59","null","null","157","91","null","null","229","null","119","null","79","null","61","null","137","null","79","null","41","null","39","null","12","19","null","null","88","106","null","null",
"1400000US04013422640","Census Tract 4226.40, Maricopa County, Arizona","1823","166","null","null","57","null","37","null","63","48","null","null","40","35","null","null","87","53","null","null","165","74","null","null","190","80","null","null","102","null","73","null","99","null","51","null","153","86","null","null","177","92","null","null","191","null","84","null","184","null","78","null","124","null","59","null","115","null","66","null","34","32","null","null","42","41","null","null",
"1400000US04013422641","Census Tract 4226.41, Maricopa County, Arizona","1255","155","null","null","26","null","30","null","30","35","null","null","0","18","null","null","49","63","null","null","0","18","null","null","86","97","null","null","35","null","34","null","31","null","38","null","152","69","null","null","111","72","null","null","156","null","109","null","287","null","122","null","101","null","64","null","123","null","81","null","45","42","null","null","23","26","null","null",
"1400000US04013422642","Census Tract 4226.42, Maricopa County, Arizona","1351","197","null","null","17","null","30","null","42","55","null","null","55","61","null","null","48","53","null","null","7","11","null","null","49","40","null","null","45","null","37","null","44","null","61","null","78","77","null","null","56","43","null","null","165","null","94","null","313","null","117","null","144","null","65","null","165","null","95","null","105","70","null","null","18","20","null","null",
"1400000US04013422643","Census Tract 4226.43, Maricopa County, Arizona","1452","146","null","null","19","null","25","null","10","19","null","null","12","20","null","null","0","18","null","null","0","18","null","null","94","77","null","null","16","null","21","null","95","null","80","null","68","63","null","null","104","70","null","null","159","null","79","null","412","null","169","null","183","null","80","null","181","null","72","null","90","63","null","null","9","15","null","null",
"1400000US04013422644","Census Tract 4226.44, Maricopa County, Arizona","2335","235","null","null","40","null","40","null","22","28","null","null","62","52","null","null","27","32","null","null","38","48","null","null","110","67","null","null","107","null","77","null","214","null","151","null","68","54","null","null","240","133","null","null","315","null","146","null","358","null","138","null","340","null","146","null","195","null","114","null","138","98","null","null","61","61","null","null",
"1400000US04013422646","Census Tract 4226.46, Maricopa County, Arizona","1748","151","null","null","0","null","18","null","14","23","null","null","0","18","null","null","39","56","null","null","55","59","null","null","6","14","null","null","16","null","27","null","23","null","28","null","76","85","null","null","111","79","null","null","160","null","89","null","477","null","163","null","295","null","129","null","230","null","119","null","195","91","null","null","51","54","null","null",
"1400000US04013522800","Census Tract 5228, Maricopa County, Arizona","387","66","null","null","41","null","33","null","33","23","null","null","18","26","null","null","20","15","null","null","80","43","null","null","19","16","null","null","11","null","18","null","44","null","39","null","6","9","null","null","15","17","null","null","47","null","35","null","25","null","29","null","28","null","22","null","0","null","13","null","0","13","null","null","0","13","null","null",
"1400000US04013522901","Census Tract 5229.01, Maricopa County, Arizona","1221","131","null","null","17","null","27","null","43","40","null","null","58","54","null","null","59","37","null","null","63","47","null","null","121","72","null","null","63","null","54","null","37","null","28","null","28","28","null","null","143","64","null","null","221","null","78","null","134","null","63","null","72","null","40","null","97","null","59","null","24","25","null","null","41","39","null","null",
"1400000US04013522903","Census Tract 5229.03, Maricopa County, Arizona","288","80","null","null","7","null","11","null","14","17","null","null","21","24","null","null","30","33","null","null","28","27","null","null","11","18","null","null","9","null","13","null","49","null","46","null","0","18","null","null","12","19","null","null","45","null","37","null","11","null","20","null","27","null","35","null","24","null","27","null","0","18","null","null","0","18","null","null",
