"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04019004324","Census Tract 43.24, Pima County, Arizona","1688","119","null","null","53","44","null","null","50","46","null","null","76","null","42","null","116","null","44","null","105","null","52","null","74","null","45","null","96","null","40","null","152","null","56","null","100","null","47","null","116","null","48","null","190","74","null","null","174","59","null","null","180","78","null","null","70","null","53","null","71","null","38","null","65","null","42","null",
"1400000US04019004325","Census Tract 43.25, Pima County, Arizona","836","99","null","null","28","20","null","null","10","11","null","null","5","null","8","null","30","null","20","null","40","null","26","null","44","null","23","null","27","null","16","null","50","null","28","null","33","null","21","null","84","null","28","null","97","31","null","null","103","37","null","null","89","31","null","null","27","null","18","null","68","null","37","null","101","null","52","null",
"1400000US04019004326","Census Tract 43.26, Pima County, Arizona","605","87","null","null","18","21","null","null","37","32","null","null","6","null","11","null","7","null","11","null","26","null","24","null","9","null","13","null","46","null","35","null","11","null","18","null","0","null","12","null","130","null","59","null","128","64","null","null","119","54","null","null","19","22","null","null","30","null","21","null","7","null","13","null","12","null","18","null",
"1400000US04019004327","Census Tract 43.27, Pima County, Arizona","1476","144","null","null","29","26","null","null","70","56","null","null","46","null","34","null","96","null","59","null","109","null","70","null","58","null","45","null","122","null","83","null","57","null","33","null","80","null","57","null","149","null","73","null","214","77","null","null","121","64","null","null","119","66","null","null","94","null","48","null","94","null","54","null","18","null","24","null",
"1400000US04019004328","Census Tract 43.28, Pima County, Arizona","1940","180","null","null","57","40","null","null","53","41","null","null","119","null","77","null","70","null","44","null","110","null","62","null","113","null","70","null","109","null","63","null","106","null","59","null","136","null","98","null","171","null","82","null","250","94","null","null","293","94","null","null","142","61","null","null","99","null","57","null","34","null","31","null","78","null","49","null",
"1400000US04019004329","Census Tract 43.29, Pima County, Arizona","2054","190","null","null","57","47","null","null","45","50","null","null","54","null","50","null","78","null","57","null","66","null","38","null","57","null","44","null","52","null","62","null","32","null","37","null","84","null","65","null","107","null","67","null","200","104","null","null","421","126","null","null","384","138","null","null","231","null","99","null","129","null","68","null","57","null","51","null",
"1400000US04019004330","Census Tract 43.30, Pima County, Arizona","1057","127","null","null","81","58","null","null","55","47","null","null","52","null","41","null","89","null","49","null","58","null","47","null","49","null","23","null","39","null","30","null","56","null","28","null","38","null","21","null","101","null","59","null","80","47","null","null","198","75","null","null","58","32","null","null","41","null","29","null","25","null","23","null","37","null","26","null",
"1400000US04019004331","Census Tract 43.31, Pima County, Arizona","2152","161","null","null","133","71","null","null","143","78","null","null","105","null","64","null","57","null","50","null","142","null","78","null","102","null","59","null","98","null","60","null","154","null","81","null","190","null","87","null","143","null","69","null","311","109","null","null","314","112","null","null","100","69","null","null","66","null","67","null","62","null","49","null","32","null","36","null",
"1400000US04019004332","Census Tract 43.32, Pima County, Arizona","811","76","null","null","26","20","null","null","49","33","null","null","33","null","30","null","37","null","21","null","41","null","23","null","55","null","36","null","87","null","36","null","21","null","17","null","22","null","17","null","88","null","49","null","151","48","null","null","86","40","null","null","55","31","null","null","37","null","30","null","11","null","13","null","12","null","12","null",
"1400000US04019004333","Census Tract 43.33, Pima County, Arizona","334","68","null","null","9","14","null","null","8","12","null","null","0","null","12","null","15","null","18","null","34","null","35","null","8","null","12","null","5","null","9","null","8","null","14","null","0","null","12","null","23","null","20","null","42","51","null","null","77","40","null","null","65","43","null","null","15","null","23","null","5","null","9","null","20","null","23","null",
