"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","131","null","3291","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","207","null","2900","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","125","null","1712","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","157","null","2956","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","166","null","2776","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","121","null","1068","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","98","null","1173","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","122","null","1249","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","113","null","1693","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","215","null","2522","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","170","null","1892","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","183","null","2300","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","75","null","673","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","81","null","380","null",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","165","null","1464","null",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","125","null","1186","null",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","117","null","1601","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","148","null","1256","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","145","null","1382","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","133","null","1530","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","152","null","1794","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","172","null","1758","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","62","null","506","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","138","null","1608","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","102","null","1168","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","100","null","1727","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","119","null","1295","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","150","null","1608","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","271","null","2836","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","159","null","1704","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","142","null","983","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","448","null","3686","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","171","null","847","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","174","null","1327","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","267","null","3016","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","132","null","0","null",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","164","null","2582","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","237","null","3209","null",
