"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_001MA","B19001C_001EA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007EA","B19001C_007M","B19001C_007MA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009M","B19001C_009MA","B19001C_009EA","B19001C_010E","B19001C_010EA","B19001C_010M","B19001C_010MA","B19001C_011E","B19001C_011EA","B19001C_011M","B19001C_011MA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017EA","B19001C_017M","B19001C_017MA",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1079","161","null","null","136","83","null","null","134","87","null","null","16","null","19","null","32","null","37","null","81","57","null","null","75","null","49","null","38","34","null","null","30","29","null","null","60","null","49","null","72","null","51","null","218","null","139","null","103","78","null","null","54","64","null","null","0","null","13","null","30","null","23","null","0","null","13","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1027","99","null","null","306","71","null","null","99","37","null","null","108","null","51","null","89","null","41","null","34","18","null","null","44","null","23","null","23","19","null","null","42","21","null","null","26","null","19","null","116","null","50","null","32","null","19","null","59","25","null","null","28","18","null","null","0","null","13","null","12","null","14","null","9","null","9","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","478","57","null","null","114","34","null","null","32","20","null","null","33","null","28","null","38","null","23","null","28","30","null","null","25","null","14","null","25","18","null","null","25","18","null","null","7","null","8","null","32","null","22","null","35","null","26","null","54","29","null","null","15","12","null","null","0","null","13","null","15","null","16","null","0","null","13","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","24","23","null","null","0","19","null","null","0","19","null","null","0","null","19","null","8","null","13","null","0","19","null","null","7","null","11","null","9","16","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","45","31","null","null","0","13","null","null","10","16","null","null","0","null","13","null","0","null","13","null","0","13","null","null","8","null","13","null","0","13","null","null","9","15","null","null","0","null","13","null","10","null","16","null","8","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","49","38","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","7","null","13","null","0","19","null","null","0","19","null","null","29","null","28","null","13","null","22","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","62","27","null","null","14","10","null","null","6","7","null","null","4","null","5","null","10","null","11","null","0","13","null","null","6","null","7","null","1","3","null","null","1","3","null","null","6","null","6","null","2","null","5","null","1","null","3","null","2","4","null","null","7","10","null","null","0","null","13","null","2","null","4","null","0","null","13","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","4","5","null","null","4","5","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
