"GEO_ID","NAME","B19001C_001E","B19001C_001EA","B19001C_001M","B19001C_001MA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007M","B19001C_007MA","B19001C_007EA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009EA","B19001C_009M","B19001C_009MA","B19001C_010E","B19001C_010M","B19001C_010MA","B19001C_010EA","B19001C_011E","B19001C_011M","B19001C_011MA","B19001C_011EA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017M","B19001C_017MA","B19001C_017EA",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1204","null","98","null","224","78","null","null","112","51","null","null","80","null","42","null","66","null","38","null","54","35","null","null","31","25","null","null","78","39","null","null","74","null","38","null","66","39","null","null","127","49","null","null","100","null","41","null","91","40","null","null","51","33","null","null","31","null","28","null","19","null","21","null","0","12","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1058","null","63","null","310","53","null","null","97","27","null","null","101","null","32","null","86","null","26","null","69","25","null","null","35","21","null","null","60","23","null","null","10","null","7","null","41","19","null","null","34","14","null","null","87","null","33","null","50","19","null","null","40","20","null","null","17","null","15","null","17","null","16","null","4","5","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","537","null","46","null","146","39","null","null","44","22","null","null","45","null","19","null","30","null","16","null","48","29","null","null","21","13","null","null","12","12","null","null","32","null","19","null","8","11","null","null","58","24","null","null","32","null","19","null","31","17","null","null","4","6","null","null","20","null","14","null","6","null","9","null","0","12","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","10","null","17","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","10","17","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","72","null","68","null","32","52","null","null","0","12","null","null","4","null","6","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","9","14","null","null","27","42","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","112","null","94","null","0","17","null","null","0","17","null","null","13","null","22","null","0","null","17","null","9","14","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","9","null","14","null","0","17","null","null","81","88","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","117","null","19","null","14","9","null","null","7","7","null","null","10","null","7","null","18","null","9","null","6","6","null","null","7","7","null","null","2","3","null","null","6","null","5","null","9","12","null","null","18","10","null","null","8","null","6","null","5","6","null","null","4","5","null","null","3","null","4","null","0","null","12","null","0","12","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","3","null","5","null","3","5","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","18","null","21","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","10","16","null","null","8","13","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","18","null","23","null","0","12","null","null","0","12","null","null","0","null","12","null","9","null","15","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","9","16","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
