"GEO_ID","NAME","B19013I_001E","B19013I_001M","B19013I_001MA","B19013I_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","**","**","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","**","**","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","**","**","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","4500","4233","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","35783","8637","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","17132","7555","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","41250","28085","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","76563","31289","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","34018","9498","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","47857","23380","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","43085","19688","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","40250","20479","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","26071","22722","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","71250","51351","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","43295","40324","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","42891","17644","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","36500","8726","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","35842","7207","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","31062","3706","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","40423","5203","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","18285","4018","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","22958","4531","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","51250","24720","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","31227","4870","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","20917","5255","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","17419","11471","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","83600","8537","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","62250","9790","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","31582","8556","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","28796","7499","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","43393","15541","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","71523","22676","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","50156","29464","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","76212","33353","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","54588","32844","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","86161","62272","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","47599","22873","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","89414","14533","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","-","**","**","-",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","-","**","**","-",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","-","**","**","-",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","36275","9153","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","75662","44359","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","73899","13796","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","72654","38424","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","75795","13468","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","30087","3427","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","57578","30317","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","33542","32308","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","40536","17026","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","-","**","**","-",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","-","**","**","-",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","83068","34418","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","57222","30248","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","50481","29013","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","15030","12598","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","43750","28554","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","-","**","**","-",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","51908","22103","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","103960","1120","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","37292","12520","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","-","**","**","-",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","-","**","**","-",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","**","**","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","**","**","-",
