"GEO_ID","NAME","B19013I_001E","B19013I_001M","B19013I_001MA","B19013I_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","null","null","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","**","**","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","**","**","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","4167","1166","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","33808","5875","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","33636","14694","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","40313","24839","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","null","null","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","32760","18469","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","56891","27524","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","43086","14890","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","35000","16949","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","null","null","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","97500","93187","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","null","null","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","34750","15946","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","42500","10138","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","25703","11820","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","26149","5955","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","33160","8301","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","21134","5633","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","20781","6631","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","null","null","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","25455","9081","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","22440","17640","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","22969","20818","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","48125","39340","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","61477","1934","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","30616","3254","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","40536","19936","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","53814","15042","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","30239","18627","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","73382","21527","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","null","null","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","48804","15417","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","null","null","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","115050","52533","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","25872","20407","null","null",
